game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__MCTS+__seed10010001__Astart,0,A,1,1,CIRCLE,1.281167,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,1,B,2,0,DIAMOND,1.200273,53,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,2,A,2,2,SQUARE,1.255993,49,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,3,B,0,1,TRIANGLE,1.200099,39,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,4,A,3,0,TRIANGLE,0.898916,36,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,5,B,3,3,CIRCLE,1.200074,26,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,6,A,1,3,DIAMOND,0.106996,24,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,7,B,0,3,CIRCLE,1.200037,16,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,8,A,0,0,SQUARE,0.015213,16,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,9,B,2,1,DIAMOND,1.200021,7,0,0,1,1,ok
AlphaBeta++__vs__MCTS+__seed10010001__Astart,10,A,1,0,CIRCLE,0.000210,7,1,1,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,0,B,2,1,TRIANGLE,1.200326,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,1,A,1,2,CIRCLE,1.261015,53,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,2,B,0,0,DIAMOND,1.200247,49,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,3,A,1,3,SQUARE,1.259076,38,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,4,B,3,1,CIRCLE,1.200087,36,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,5,A,0,3,CIRCLE,0.266448,25,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,6,B,3,3,DIAMOND,1.200066,27,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,7,A,2,3,SQUARE,0.012565,12,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,8,B,2,2,TRIANGLE,1.200024,12,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,9,A,1,0,TRIANGLE,0.001272,1,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10010002__Bstart,10,B,3,0,SQUARE,1.200011,4,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10020001__Astart,0,A,1,1,CIRCLE,1.279950,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10020001__Astart,1,B,3,2,TRIANGLE,1.200224,53,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed10020001__Astart,2,A,2,2,SQUARE,1.260143,49,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed10020001__Astart,3,B,0,3,DIAMOND,1.200107,39,0,0,0,0,ok
