game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed1130002__Bstart,,B,B,victory,9,"2,0,TRIANGLE | 1,2,DIAMOND | 3,3,CIRCLE | 2,1,CIRCLE",8.293377,4.800718,4,5,134,184,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1140001__Astart,,A,A,victory,13,"3,1,SQUARE | 2,2,DIAMOND | 1,2,CIRCLE | 3,0,TRIANGLE",5.835106,7.200549,7,6,191,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1140002__Bstart,,B,B,victory,7,"0,3,CIRCLE | 2,1,DIAMOND | 3,2,DIAMOND | 1,1,CIRCLE",9.576413,3.600706,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1150001__Astart,,A,A,victory,9,"3,2,DIAMOND | 3,1,TRIANGLE | 1,1,CIRCLE | 0,3,SQUARE",4.686228,4.800533,5,4,191,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1150002__Bstart,,B,B,victory,7,"3,0,DIAMOND | 1,1,SQUARE | 2,3,SQUARE | 2,2,DIAMOND",8.925433,3.600720,3,4,118,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1160001__Astart,,A,A,victory,11,"0,0,DIAMOND | 1,1,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",5.759728,6.000831,6,5,198,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1160002__Bstart,,B,B,victory,7,"3,0,TRIANGLE | 1,2,SQUARE | 0,1,DIAMOND | 2,0,CIRCLE",7.344193,3.600718,3,4,118,165,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1170001__Astart,,A,A,victory,11,"0,1,TRIANGLE | 1,0,SQUARE | 1,2,DIAMOND | 0,3,CIRCLE",5.279560,6.000451,6,5,197,141,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1170002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 2,1,TRIANGLE | 3,3,SQUARE | 1,0,SQUARE",10.758651,3.604279,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1180001__Astart,,A,A,victory,11,"0,1,SQUARE | 3,0,CIRCLE | 3,3,DIAMOND | 1,1,TRIANGLE",4.881906,6.000526,6,5,189,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1180002__Bstart,,B,B,victory,9,"3,0,TRIANGLE | 1,2,CIRCLE | 0,1,DIAMOND | 2,0,DIAMOND",7.910883,4.800508,4,5,134,183,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1190001__Astart,,A,A,victory,9,"0,1,SQUARE | 3,0,TRIANGLE | 2,2,TRIANGLE | 1,1,CIRCLE",4.611772,4.800625,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1190002__Bstart,,B,A,victory,10,"2,2,SQUARE | 1,1,CIRCLE | 0,3,DIAMOND | 3,0,TRIANGLE",8.904809,6.000896,5,5,141,183,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1200001__Astart,,A,A,victory,9,"2,3,SQUARE | 3,0,DIAMOND | 1,2,TRIANGLE | 0,1,SQUARE",3.631214,4.800428,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1200002__Bstart,,B,B,victory,9,"0,0,SQUARE | 2,2,TRIANGLE | 1,3,CIRCLE | 1,1,DIAMOND",9.234415,4.800759,4,5,139,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1210001__Astart,,A,A,victory,9,"0,1,DIAMOND | 2,0,TRIANGLE | 1,2,SQUARE | 3,3,CIRCLE",4.487762,4.800526,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1210002__Bstart,,B,B,victory,9,"1,2,DIAMOND | 2,2,CIRCLE | 3,3,TRIANGLE | 0,0,SQUARE",7.675497,4.800589,4,5,141,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1220001__Astart,,A,A,victory,9,"1,2,DIAMOND | 2,3,TRIANGLE | 2,1,SQUARE | 0,0,CIRCLE",5.507549,4.800427,5,4,192,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1220002__Bstart,,B,B,victory,9,"3,1,SQUARE | 1,2,TRIANGLE | 2,3,DIAMOND | 0,1,CIRCLE",8.225639,4.800507,4,5,135,181,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1230001__Astart,,A,A,victory,9,"0,3,SQUARE | 1,1,DIAMOND | 2,1,CIRCLE | 0,2,TRIANGLE",4.718663,4.800431,5,4,185,126,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1230002__Bstart,,B,B,victory,9,"3,3,DIAMOND | 1,1,SQUARE | 0,2,CIRCLE | 2,2,TRIANGLE",7.676210,4.800590,4,5,139,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1240001__Astart,,A,A,victory,11,"2,1,TRIANGLE | 0,3,SQUARE | 1,2,DIAMOND | 1,0,CIRCLE",5.071281,6.000648,6,5,192,149,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1240002__Bstart,,B,B,victory,9,"3,0,CIRCLE | 1,2,TRIANGLE | 0,1,DIAMOND | 2,1,SQUARE",8.926672,4.800629,4,5,139,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1250001__Astart,,A,A,victory,9,"2,1,TRIANGLE | 0,0,DIAMOND | 1,2,DIAMOND | 3,1,SQUARE",4.934334,4.800476,5,4,193,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1250002__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,1,DIAMOND | 3,0,DIAMOND | 1,3,CIRCLE",10.177333,6.000596,5,5,137,187,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1260001__Astart,,A,A,victory,9,"2,0,CIRCLE | 0,3,SQUARE | 1,1,SQUARE | 3,2,TRIANGLE",5.921786,4.800576,5,4,192,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1260002__Bstart,,B,B,victory,7,"2,0,CIRCLE | 1,2,SQUARE | 3,3,SQUARE | 1,1,CIRCLE",9.552934,3.600604,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1270001__Astart,,A,A,victory,9,"3,2,SQUARE | 0,0,SQUARE | 2,1,DIAMOND | 1,3,CIRCLE",6.391827,4.800403,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1270002__Bstart,,B,B,victory,11,"3,0,SQUARE | 1,2,DIAMOND | 2,2,TRIANGLE | 0,1,TRIANGLE",8.356345,6.000564,5,6,138,191,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1280001__Astart,,A,A,victory,9,"2,1,TRIANGLE | 3,3,CIRCLE | 1,2,CIRCLE | 0,0,DIAMOND",5.386113,4.800417,5,4,191,134,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1280002__Bstart,,B,B,victory,7,"1,0,CIRCLE | 2,2,CIRCLE | 3,1,DIAMOND | 1,3,SQUARE",9.524616,3.607996,3,4,117,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1290001__Astart,,A,A,victory,9,"3,0,CIRCLE | 0,3,SQUARE | 1,1,SQUARE | 2,2,TRIANGLE",5.822406,4.800484,5,4,192,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1290002__Bstart,,B,A,victory,10,"0,0,DIAMOND | 2,2,TRIANGLE | 3,1,SQUARE | 1,1,CIRCLE",8.577727,6.000730,5,5,146,175,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1300001__Astart,,A,A,victory,7,"3,2,DIAMOND | 2,3,TRIANGLE | 2,1,SQUARE | 1,2,CIRCLE",3.902205,3.600279,4,3,182,122,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1300002__Bstart,,B,A,victory,10,"3,3,CIRCLE | 1,1,SQUARE | 0,2,TRIANGLE | 3,0,DIAMOND",8.943782,6.000632,5,5,144,187,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1310001__Astart,,A,B,victory,8,"2,1,SQUARE | 1,0,DIAMOND | 1,2,TRIANGLE | 3,3,CIRCLE",4.752134,3.600415,4,4,173,140,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1310002__Bstart,,B,B,victory,7,"3,3,TRIANGLE | 1,1,DIAMOND | 1,2,CIRCLE | 2,0,SQUARE",8.101669,3.600636,3,4,118,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1320001__Astart,,A,A,victory,9,"3,2,CIRCLE | 0,2,SQUARE | 2,1,TRIANGLE | 1,0,DIAMOND",5.066954,4.800386,5,4,190,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1320002__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 1,1,TRIANGLE | 2,0,CIRCLE | 0,2,SQUARE",8.304321,4.800540,4,5,126,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1330001__Astart,,A,A,victory,9,"0,1,CIRCLE | 3,3,TRIANGLE | 1,2,TRIANGLE | 2,0,SQUARE",6.413629,4.800472,5,4,192,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1330002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 2,0,DIAMOND | 2,3,CIRCLE",10.363944,3.600475,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1340001__Astart,,A,B,victory,10,"2,1,TRIANGLE | 2,0,CIRCLE | 1,2,SQUARE | 3,3,DIAMOND",4.708104,4.800532,5,5,187,139,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1340002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,1,SQUARE | 0,3,TRIANGLE | 3,3,CIRCLE",11.236788,4.800542,4,5,132,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1350001__Astart,,A,A,victory,9,"0,2,SQUARE | 3,3,SQUARE | 2,1,CIRCLE | 2,0,DIAMOND",5.395915,4.800434,5,4,187,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1350002__Bstart,,B,A,victory,10,"0,0,SQUARE | 2,2,CIRCLE | 3,1,TRIANGLE | 1,1,DIAMOND",9.092764,6.000519,5,5,144,172,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1360001__Astart,,A,B,victory,8,"3,0,TRIANGLE | 2,1,CIRCLE | 1,2,CIRCLE | 0,0,DIAMOND",5.633444,3.600414,4,4,174,141,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1360002__Bstart,,B,B,victory,9,"3,0,DIAMOND | 1,2,TRIANGLE | 0,1,CIRCLE | 2,1,SQUARE",7.578430,4.800450,4,5,139,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010003__Astart,,A,A,victory,9,"1,3,TRIANGLE | 1,0,DIAMOND | 2,2,CIRCLE | 3,1,SQUARE",3.486884,4.800371,5,4,186,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010004__Bstart,,B,B,victory,11,"0,1,SQUARE | 2,2,SQUARE | 1,3,CIRCLE | 3,1,DIAMOND",9.421440,6.000542,5,6,138,183,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1020003__Astart,,A,A,victory,9,"3,2,TRIANGLE | 1,3,DIAMOND | 2,1,DIAMOND | 0,0,TRIANGLE",4.363463,4.800421,5,4,186,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1020004__Bstart,,B,A,victory,10,"0,0,SQUARE | 2,2,DIAMOND | 1,3,TRIANGLE | 0,3,CIRCLE",8.158631,6.000495,5,5,148,185,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030003__Astart,,A,A,victory,11,"2,1,DIAMOND | 3,3,TRIANGLE | 1,2,SQUARE | 2,0,CIRCLE",4.645658,6.000459,6,5,185,131,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030004__Bstart,,B,B,victory,7,"0,1,TRIANGLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,DIAMOND",6.952638,3.600741,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1040003__Astart,,A,B,victory,12,"3,2,TRIANGLE | 2,1,TRIANGLE | 2,2,DIAMOND | 0,3,SQUARE",5.735012,6.000469,6,6,189,163,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1040004__Bstart,,B,B,victory,9,"1,0,TRIANGLE | 2,1,TRIANGLE | 0,2,SQUARE | 3,3,SQUARE",8.307467,4.800778,4,5,135,184,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1050003__Astart,,A,B,victory,12,"1,3,DIAMOND | 3,1,SQUARE | 2,1,CIRCLE | 0,0,TRIANGLE",5.193765,6.000370,6,6,182,156,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1050004__Bstart,,B,A,victory,10,"0,2,TRIANGLE | 1,1,DIAMOND | 3,3,SQUARE | 3,0,CIRCLE",7.546476,6.000679,5,5,144,175,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1060003__Astart,,A,A,victory,9,"0,0,DIAMOND | 3,3,TRIANGLE | 1,2,TRIANGLE | 2,1,DIAMOND",4.584698,4.800479,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1060004__Bstart,,B,B,victory,11,"3,3,SQUARE | 2,1,TRIANGLE | 2,0,CIRCLE | 1,2,CIRCLE",8.477236,6.000514,5,6,129,184,0,1,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1070003__Astart,,A,A,victory,9,"0,3,TRIANGLE | 1,0,CIRCLE | 1,1,DIAMOND | 0,2,SQUARE",4.898004,4.800380,5,4,179,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1070004__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,SQUARE | 3,2,DIAMOND | 1,2,CIRCLE",8.715877,4.800782,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1080003__Astart,,A,A,victory,9,"2,0,CIRCLE | 1,3,SQUARE | 1,2,DIAMOND | 0,1,CIRCLE",6.356464,4.800404,5,4,186,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1080004__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,DIAMOND | 0,2,TRIANGLE | 2,0,CIRCLE",8.560602,4.800606,4,5,132,189,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1090003__Astart,,A,B,victory,12,"2,1,CIRCLE | 3,3,DIAMOND | 1,2,TRIANGLE | 2,0,SQUARE",5.623363,6.000624,6,6,184,156,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1090004__Bstart,,B,A,victory,10,"0,2,SQUARE | 2,1,DIAMOND | 1,0,CIRCLE | 1,3,TRIANGLE",9.140457,6.000437,5,5,146,175,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1100003__Astart,,A,A,victory,9,"2,0,TRIANGLE | 1,1,TRIANGLE | 3,3,CIRCLE | 0,2,SQUARE",5.993851,4.800512,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1100004__Bstart,,B,A,victory,10,"2,2,DIAMOND | 1,1,DIAMOND | 0,3,CIRCLE | 3,0,CIRCLE",8.620516,6.000993,5,5,147,184,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1110003__Astart,,A,A,victory,9,"0,3,SQUARE | 1,1,SQUARE | 2,2,CIRCLE | 3,0,TRIANGLE",7.322644,4.800419,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1110004__Bstart,,B,A,victory,10,"2,2,TRIANGLE | 1,2,CIRCLE | 3,0,SQUARE | 0,1,DIAMOND",8.426111,6.000779,5,5,145,176,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120003__Astart,,A,A,victory,9,"2,2,SQUARE | 0,0,DIAMOND | 1,1,TRIANGLE | 1,3,CIRCLE",4.545336,4.800344,5,4,186,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120004__Bstart,,B,B,victory,7,"2,2,DIAMOND | 2,1,SQUARE | 1,3,CIRCLE | 0,0,DIAMOND",7.590093,3.600450,3,4,118,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1130003__Astart,,A,A,victory,9,"0,2,DIAMOND | 3,3,TRIANGLE | 2,1,TRIANGLE | 1,2,CIRCLE",4.594247,4.800576,5,4,185,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1130004__Bstart,,B,B,victory,9,"1,3,TRIANGLE | 2,2,CIRCLE | 3,2,SQUARE | 0,0,DIAMOND",8.397361,4.800407,4,5,125,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1140003__Astart,,A,A,victory,9,"0,3,SQUARE | 2,0,TRIANGLE | 1,1,TRIANGLE | 3,2,CIRCLE",4.652030,4.800543,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1140004__Bstart,,B,B,victory,7,"3,2,SQUARE | 2,1,DIAMOND | 0,3,CIRCLE | 1,0,SQUARE",8.437207,3.600467,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1150003__Astart,,A,A,victory,11,"0,2,DIAMOND | 3,1,TRIANGLE | 1,1,SQUARE | 2,3,CIRCLE",4.442651,6.000505,6,5,191,146,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1150004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,TRIANGLE | 3,2,TRIANGLE | 1,0,SQUARE",7.752723,4.800613,4,5,134,180,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1160003__Astart,,A,A,victory,9,"0,3,SQUARE | 2,1,TRIANGLE | 1,1,CIRCLE | 3,3,DIAMOND",4.869848,4.800488,5,4,191,140,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1160004__Bstart,,B,B,victory,11,"2,0,SQUARE | 1,2,CIRCLE | 0,1,TRIANGLE | 3,1,DIAMOND",8.849619,6.000565,5,6,149,179,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1170003__Astart,,A,B,victory,10,"3,3,CIRCLE | 0,2,DIAMOND | 1,2,SQUARE | 2,3,TRIANGLE",4.538332,4.800413,5,5,179,145,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1170004__Bstart,,B,B,victory,7,"2,1,TRIANGLE | 1,1,DIAMOND | 3,2,SQUARE | 0,2,TRIANGLE",8.599157,3.600661,3,4,119,176,0,0,0,0,1,0
