game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed1180003__Astart,,A,A,victory,11,"3,0,CIRCLE | 2,1,TRIANGLE | 1,2,TRIANGLE | 3,3,SQUARE",5.579476,6.000386,6,5,189,142,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1180004__Bstart,,B,B,victory,9,"2,1,DIAMOND | 2,2,SQUARE | 0,0,TRIANGLE | 1,3,DIAMOND",7.404082,4.800636,4,5,131,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1190003__Astart,,A,A,victory,9,"3,0,CIRCLE | 0,2,TRIANGLE | 2,2,SQUARE | 1,1,DIAMOND",4.968278,4.800449,5,4,190,140,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1190004__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 1,1,DIAMOND | 2,0,CIRCLE | 2,3,SQUARE",7.649155,4.800579,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1200003__Astart,,A,A,victory,9,"3,2,SQUARE | 1,2,DIAMOND | 2,1,DIAMOND | 0,0,CIRCLE",4.047273,4.800509,5,4,192,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1200004__Bstart,,B,A,victory,10,"0,0,TRIANGLE | 2,2,DIAMOND | 1,3,SQUARE | 0,3,CIRCLE",7.747105,6.000436,5,5,149,185,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1210003__Astart,,A,A,victory,11,"3,2,TRIANGLE | 0,3,DIAMOND | 2,1,SQUARE | 2,2,CIRCLE",3.718563,6.000388,6,5,193,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1210004__Bstart,,B,B,victory,7,"0,1,CIRCLE | 1,2,DIAMOND | 1,3,SQUARE | 2,0,TRIANGLE",8.585592,3.600687,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1220003__Astart,,A,A,victory,9,"3,0,DIAMOND | 2,2,TRIANGLE | 1,1,TRIANGLE | 0,3,CIRCLE",4.280400,4.800435,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1220004__Bstart,,B,A,victory,10,"0,2,TRIANGLE | 1,1,CIRCLE | 2,3,SQUARE | 3,2,DIAMOND",8.241587,6.000766,5,5,144,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1230003__Astart,,A,A,victory,9,"1,2,SQUARE | 2,0,TRIANGLE | 3,3,TRIANGLE | 0,1,DIAMOND",5.437074,4.800468,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1230004__Bstart,,B,B,victory,9,"2,3,SQUARE | 1,2,CIRCLE | 0,2,TRIANGLE | 3,0,DIAMOND",8.588728,4.800567,4,5,125,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1240003__Astart,,A,A,victory,11,"3,2,CIRCLE | 1,3,DIAMOND | 1,1,SQUARE | 2,2,TRIANGLE",4.825437,6.000559,6,5,195,149,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1240004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,TRIANGLE | 3,2,SQUARE | 1,2,CIRCLE",7.986984,4.800503,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1250003__Astart,,A,A,victory,9,"1,0,SQUARE | 0,2,TRIANGLE | 2,1,DIAMOND | 3,3,CIRCLE",5.622762,4.800520,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1250004__Bstart,,B,B,victory,9,"2,3,TRIANGLE | 1,2,TRIANGLE | 3,0,CIRCLE | 1,1,CIRCLE",8.360149,4.800610,4,5,133,186,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1260003__Astart,,A,A,victory,11,"0,0,SQUARE | 3,2,DIAMOND | 2,2,CIRCLE | 1,3,TRIANGLE",4.206120,6.000360,6,5,183,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1260004__Bstart,,B,A,victory,10,"0,0,DIAMOND | 2,2,CIRCLE | 3,1,TRIANGLE | 1,1,SQUARE",7.880256,6.000653,5,5,144,172,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1270003__Astart,,A,A,victory,9,"0,2,CIRCLE | 0,1,TRIANGLE | 2,1,SQUARE | 3,3,DIAMOND",5.749681,4.800409,5,4,189,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1270004__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,SQUARE | 0,0,TRIANGLE | 3,3,CIRCLE",9.972265,4.800780,4,5,130,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1280003__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,TRIANGLE | 2,1,DIAMOND | 2,0,SQUARE",5.606546,4.801742,5,5,181,132,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1280004__Bstart,,B,B,victory,9,"0,0,SQUARE | 2,2,DIAMOND | 1,3,CIRCLE | 0,1,CIRCLE",8.445510,4.800572,4,5,134,183,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1290003__Astart,,A,A,victory,11,"2,3,DIAMOND | 3,0,SQUARE | 1,1,CIRCLE | 2,2,TRIANGLE",4.064690,6.000472,6,5,183,145,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1290004__Bstart,,B,B,victory,9,"3,0,DIAMOND | 1,2,SQUARE | 0,1,CIRCLE | 2,1,TRIANGLE",8.376793,4.800527,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1300003__Astart,,A,A,victory,11,"0,1,SQUARE | 3,3,DIAMOND | 1,2,TRIANGLE | 2,0,TRIANGLE",4.966509,6.002026,6,5,190,145,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1300004__Bstart,,B,B,victory,9,"1,0,CIRCLE | 2,2,CIRCLE | 0,3,DIAMOND | 1,1,DIAMOND",9.931674,4.800645,4,5,132,192,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1310003__Astart,,A,A,victory,9,"1,0,CIRCLE | 3,1,SQUARE | 2,2,DIAMOND | 0,3,SQUARE",6.348554,4.800506,5,4,174,119,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1310004__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 2,1,SQUARE | 1,0,CIRCLE | 3,2,DIAMOND",8.671623,4.800510,4,5,133,189,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1320003__Astart,,A,A,victory,9,"1,0,CIRCLE | 2,2,SQUARE | 2,1,DIAMOND | 0,3,TRIANGLE",7.407278,4.800567,5,4,188,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1320004__Bstart,,B,B,victory,7,"1,3,SQUARE | 2,2,CIRCLE | 0,1,TRIANGLE | 3,1,SQUARE",8.679767,3.600829,3,4,118,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1330003__Astart,,A,A,victory,9,"1,0,TRIANGLE | 3,2,CIRCLE | 2,1,SQUARE | 0,3,DIAMOND",4.874861,4.800476,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1330004__Bstart,,B,B,victory,9,"0,1,DIAMOND | 2,2,SQUARE | 3,0,CIRCLE | 1,3,CIRCLE",7.895925,4.800568,4,5,130,184,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1340003__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,TRIANGLE | 1,0,SQUARE",6.261782,6.000462,6,5,183,134,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1340004__Bstart,,B,B,victory,9,"1,2,CIRCLE | 2,1,DIAMOND | 0,0,TRIANGLE | 1,3,TRIANGLE",10.726435,4.800736,4,5,132,187,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1350003__Astart,,A,A,victory,9,"2,3,TRIANGLE | 0,2,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND",4.304749,4.800305,5,4,186,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1350004__Bstart,,B,B,victory,9,"2,1,TRIANGLE | 1,1,DIAMOND | 3,3,SQUARE | 0,3,TRIANGLE",7.585897,4.800505,4,5,136,184,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1360003__Astart,,A,A,victory,9,"1,0,DIAMOND | 0,2,SQUARE | 2,1,SQUARE | 3,3,CIRCLE",5.043872,4.800478,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1360004__Bstart,,B,A,victory,10,"2,1,TRIANGLE | 1,1,CIRCLE | 3,3,SQUARE | 2,0,SQUARE",8.741777,6.000736,5,5,144,186,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010005__Astart,,A,A,victory,9,"2,3,DIAMOND | 1,2,SQUARE | 1,1,CIRCLE | 3,3,TRIANGLE",6.037982,4.800413,5,4,187,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010006__Bstart,,B,B,victory,7,"0,1,CIRCLE | 2,2,CIRCLE | 1,3,TRIANGLE | 0,0,TRIANGLE",9.857582,3.606025,3,4,118,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1020005__Astart,,A,B,victory,10,"2,0,DIAMOND | 3,2,TRIANGLE | 1,2,SQUARE | 2,1,CIRCLE",4.121707,4.800595,5,5,180,144,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1020006__Bstart,,B,B,victory,7,"3,3,CIRCLE | 1,1,DIAMOND | 0,2,TRIANGLE | 2,2,SQUARE",7.314109,3.600717,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1030005__Astart,,A,A,victory,13,"0,0,SQUARE | 0,3,CIRCLE | 1,2,TRIANGLE | 1,1,DIAMOND",5.237605,7.200511,7,6,202,143,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030006__Bstart,,B,B,victory,7,"0,2,CIRCLE | 2,1,DIAMOND | 1,0,SQUARE | 0,3,TRIANGLE",8.017280,3.600480,3,4,118,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1040005__Astart,,A,A,victory,11,"2,0,DIAMOND | 1,3,SQUARE | 1,2,TRIANGLE | 0,1,CIRCLE",4.329365,6.000541,6,5,184,149,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1040006__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,DIAMOND | 2,3,CIRCLE | 2,1,TRIANGLE",8.693417,4.800499,4,5,139,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1050005__Astart,,A,A,victory,9,"1,1,SQUARE | 2,2,TRIANGLE | 3,3,CIRCLE | 0,3,DIAMOND",6.170481,4.811929,5,4,183,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1050006__Bstart,,B,B,victory,7,"2,0,CIRCLE | 1,1,CIRCLE | 3,3,SQUARE | 1,2,SQUARE",9.599745,3.600686,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1060005__Astart,,A,A,victory,9,"3,2,CIRCLE | 0,1,CIRCLE | 2,1,TRIANGLE | 1,3,DIAMOND",6.968945,4.800483,5,4,188,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1060006__Bstart,,B,B,victory,9,"3,1,CIRCLE | 1,2,DIAMOND | 2,3,SQUARE | 2,0,TRIANGLE",9.495644,4.800500,4,5,139,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1070005__Astart,,A,A,victory,9,"2,0,DIAMOND | 0,3,SQUARE | 1,1,SQUARE | 3,2,DIAMOND",5.066981,4.800329,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1070006__Bstart,,B,B,victory,7,"0,0,SQUARE | 2,2,TRIANGLE | 3,1,TRIANGLE | 1,2,SQUARE",8.254433,3.600371,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1080005__Astart,,A,A,victory,11,"3,3,DIAMOND | 2,2,SQUARE | 2,1,CIRCLE | 3,0,TRIANGLE",4.349686,6.000434,6,5,195,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1080006__Bstart,,B,B,victory,7,"0,1,DIAMOND | 1,2,DIAMOND | 2,0,SQUARE | 3,2,SQUARE",8.263597,3.608502,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1090005__Astart,,A,A,victory,9,"2,2,SQUARE | 0,3,SQUARE | 1,1,DIAMOND | 1,0,CIRCLE",5.098290,4.800542,5,4,193,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1090006__Bstart,,B,B,victory,9,"0,1,TRIANGLE | 1,2,SQUARE | 1,3,CIRCLE | 3,0,DIAMOND",7.055222,4.800471,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1100005__Astart,,A,A,victory,9,"3,3,DIAMOND | 1,3,CIRCLE | 2,1,SQUARE | 0,0,TRIANGLE",4.511937,4.800483,5,4,190,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1100006__Bstart,,B,B,victory,7,"0,3,SQUARE | 2,1,TRIANGLE | 3,2,DIAMOND | 1,2,CIRCLE",7.335921,3.600621,3,4,119,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1110005__Astart,,A,A,victory,9,"1,3,SQUARE | 2,0,CIRCLE | 2,1,DIAMOND | 3,2,TRIANGLE",5.852539,4.800490,5,4,182,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1110006__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,DIAMOND | 1,0,SQUARE | 3,3,SQUARE",8.871810,4.800682,4,5,135,182,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1120005__Astart,,A,A,victory,9,"0,1,TRIANGLE | 2,0,CIRCLE | 1,2,SQUARE | 3,3,DIAMOND",4.992525,4.800444,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120006__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,DIAMOND | 2,0,DIAMOND | 0,2,SQUARE",8.950513,4.810934,4,5,125,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1130005__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 2,1,SQUARE | 2,3,TRIANGLE",5.524541,4.800347,5,4,186,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1130006__Bstart,,B,B,victory,9,"0,2,CIRCLE | 1,1,SQUARE | 1,0,DIAMOND | 3,3,TRIANGLE",8.292612,4.800606,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1140005__Astart,,A,A,victory,9,"0,0,DIAMOND | 3,3,TRIANGLE | 2,1,TRIANGLE | 1,2,CIRCLE",4.238045,4.800415,5,4,187,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1140006__Bstart,,B,B,victory,9,"3,1,CIRCLE | 1,2,DIAMOND | 0,0,TRIANGLE | 2,3,SQUARE",9.401490,4.800490,4,5,134,180,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1150005__Astart,,A,A,victory,11,"3,2,SQUARE | 1,0,DIAMOND | 1,1,TRIANGLE | 0,3,CIRCLE",4.542689,6.000545,6,5,182,133,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1150006__Bstart,,B,B,victory,9,"1,0,TRIANGLE | 2,1,SQUARE | 3,1,DIAMOND | 0,3,CIRCLE",8.152254,4.800567,4,5,125,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1160005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,SQUARE | 2,2,DIAMOND | 1,0,TRIANGLE",6.210614,4.800381,5,4,183,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1160006__Bstart,,B,B,victory,7,"3,3,SQUARE | 1,1,TRIANGLE | 2,0,CIRCLE | 0,2,DIAMOND",8.271231,3.600655,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1170005__Astart,,A,A,victory,9,"0,0,TRIANGLE | 1,3,DIAMOND | 2,1,DIAMOND | 3,2,TRIANGLE",4.302667,4.800387,5,4,186,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1170006__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,1,TRIANGLE | 3,2,DIAMOND | 2,0,DIAMOND",10.130588,4.800622,4,5,128,189,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1180005__Astart,,A,A,victory,9,"3,1,TRIANGLE | 0,2,SQUARE | 2,2,DIAMOND | 1,1,CIRCLE",5.104905,4.800533,5,4,190,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1180006__Bstart,,B,B,victory,9,"3,2,CIRCLE | 2,1,CIRCLE | 1,3,TRIANGLE | 0,0,TRIANGLE",9.049562,4.800647,4,5,136,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1190005__Astart,,A,B,victory,10,"1,1,TRIANGLE | 0,3,CIRCLE | 2,2,DIAMOND | 1,0,SQUARE",5.659687,4.800492,5,5,184,134,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1190006__Bstart,,B,B,victory,9,"1,0,TRIANGLE | 2,2,TRIANGLE | 3,1,CIRCLE | 1,3,CIRCLE",9.333267,4.800615,4,5,133,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1200005__Astart,,A,A,victory,9,"1,2,DIAMOND | 0,1,SQUARE | 2,1,CIRCLE | 3,3,TRIANGLE",5.897470,4.800399,5,4,192,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1200006__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 2,3,SQUARE | 1,0,DIAMOND",6.809591,6.003836,5,5,144,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1210005__Astart,,A,A,victory,9,"2,3,DIAMOND | 1,2,DIAMOND | 1,1,TRIANGLE | 3,0,CIRCLE",4.768121,4.800621,5,4,187,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1210006__Bstart,,B,B,victory,7,"0,2,CIRCLE | 2,1,CIRCLE | 3,3,TRIANGLE | 1,0,DIAMOND",9.435645,3.600879,3,4,117,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1220005__Astart,,A,A,victory,9,"1,2,CIRCLE | 0,0,SQUARE | 2,1,SQUARE | 1,3,DIAMOND",6.158495,4.805320,5,4,186,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1220006__Bstart,,B,B,victory,9,"2,3,DIAMOND | 1,2,TRIANGLE | 3,0,CIRCLE | 2,1,SQUARE",7.567812,4.800615,4,5,139,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1230005__Astart,,A,A,victory,9,"3,1,DIAMOND | 0,0,CIRCLE | 2,2,SQUARE | 1,3,TRIANGLE",4.529149,4.800484,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1230006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,2,TRIANGLE",10.487103,6.000916,5,5,146,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1240005__Astart,,A,A,victory,9,"3,0,TRIANGLE | 0,2,SQUARE | 2,2,DIAMOND | 1,1,CIRCLE",4.187905,4.800452,5,4,190,140,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1240006__Bstart,,B,B,victory,9,"0,1,CIRCLE | 1,2,DIAMOND | 2,0,DIAMOND | 2,3,SQUARE",9.947068,4.800755,4,5,126,186,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1250005__Astart,,A,A,victory,9,"1,3,DIAMOND | 3,0,CIRCLE | 2,2,CIRCLE | 0,1,DIAMOND",5.164372,4.800452,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1250006__Bstart,,B,A,victory,12,"3,3,TRIANGLE | 1,1,DIAMOND | 0,2,SQUARE | 0,3,CIRCLE",8.231445,7.200650,6,6,146,189,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1260005__Astart,,A,A,victory,11,"1,0,DIAMOND | 3,3,CIRCLE | 2,1,SQUARE | 0,2,TRIANGLE",4.513275,6.000446,6,5,194,143,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1260006__Bstart,,B,B,victory,7,"0,3,DIAMOND | 2,1,SQUARE | 3,2,CIRCLE | 1,2,TRIANGLE",6.959493,3.600518,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1270005__Astart,,A,A,victory,9,"2,3,TRIANGLE | 3,0,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE",4.100571,4.800584,5,4,182,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1270006__Bstart,,B,B,victory,7,"1,3,TRIANGLE | 2,1,TRIANGLE | 0,0,CIRCLE | 1,2,CIRCLE",8.964033,3.600660,3,4,118,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1280005__Astart,,A,A,victory,11,"0,1,TRIANGLE | 3,2,CIRCLE | 2,2,SQUARE | 1,3,DIAMOND",5.842124,6.000440,6,5,181,134,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1280006__Bstart,,B,B,victory,11,"2,0,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND | 2,1,TRIANGLE",8.812186,6.000665,5,6,127,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1290005__Astart,,A,A,victory,11,"0,2,SQUARE | 0,1,DIAMOND | 2,1,CIRCLE | 3,3,TRIANGLE",4.780633,6.000421,6,5,190,144,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1290006__Bstart,,B,B,victory,7,"1,2,TRIANGLE | 2,1,DIAMOND | 0,0,SQUARE | 3,2,SQUARE",8.599301,3.600518,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1300005__Astart,,A,A,victory,9,"1,3,SQUARE | 0,0,DIAMOND | 2,1,DIAMOND | 1,2,CIRCLE",4.684661,4.806576,5,4,187,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1300006__Bstart,,B,B,victory,7,"1,1,DIAMOND | 1,2,TRIANGLE | 2,0,SQUARE | 2,3,DIAMOND",7.963691,3.601430,3,4,119,178,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1310005__Astart,,A,A,victory,11,"2,3,SQUARE | 1,1,TRIANGLE | 1,2,CIRCLE | 3,0,DIAMOND",5.112260,6.000515,6,5,191,146,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1310006__Bstart,,B,B,victory,7,"0,2,SQUARE | 2,1,CIRCLE | 1,0,DIAMOND | 3,2,TRIANGLE",8.360983,3.600634,3,4,118,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1320005__Astart,,A,A,victory,9,"2,1,CIRCLE | 0,2,TRIANGLE | 3,3,TRIANGLE | 1,0,SQUARE",6.696137,4.800512,5,4,188,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1320006__Bstart,,B,A,victory,10,"3,2,DIAMOND | 2,1,CIRCLE | 1,3,SQUARE | 0,2,TRIANGLE",8.356007,6.000686,5,5,146,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1330005__Astart,,A,A,victory,11,"3,2,CIRCLE | 1,3,SQUARE | 1,1,DIAMOND | 2,2,TRIANGLE",5.487242,6.000369,6,5,194,134,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1330006__Bstart,,B,B,victory,9,"3,0,CIRCLE | 1,2,SQUARE | 2,3,TRIANGLE | 2,1,DIAMOND",9.160581,4.800470,4,5,139,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1340005__Astart,,A,A,victory,11,"3,1,TRIANGLE | 0,0,SQUARE | 2,2,DIAMOND | 1,3,CIRCLE",4.657292,6.000531,6,5,193,143,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1340006__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 2,2,DIAMOND | 0,3,CIRCLE | 0,0,SQUARE",8.111314,3.600667,3,4,119,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1350005__Astart,,A,B,victory,8,"0,3,DIAMOND | 3,0,SQUARE | 2,2,CIRCLE | 2,3,TRIANGLE",3.634177,3.600493,4,4,164,132,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1350006__Bstart,,B,B,victory,9,"2,2,SQUARE | 1,2,TRIANGLE | 3,0,CIRCLE | 0,0,SQUARE",9.087104,4.800676,4,5,126,189,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1360005__Astart,,A,B,victory,8,"3,0,CIRCLE | 2,1,TRIANGLE | 1,2,DIAMOND | 3,2,SQUARE",4.667044,3.600382,4,4,176,141,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1360006__Bstart,,B,B,victory,9,"1,2,SQUARE | 2,2,TRIANGLE | 3,3,CIRCLE | 0,1,DIAMOND",9.294132,4.800771,4,5,141,178,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010007__Astart,,A,B,victory,12,"2,2,SQUARE | 0,3,DIAMOND | 1,1,TRIANGLE | 1,0,CIRCLE",5.252586,6.000551,6,6,183,157,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010008__Bstart,,B,B,no_move,13,"2,2,TRIANGLE | 1,2,DIAMOND | 3,0,CIRCLE | 0,0,TRIANGLE",7.851869,8.401002,6,7,140,196,0,0,0,0,0,0
Génétique (éval AB)__vs__MCTS+__seed1020007__Astart,,A,A,victory,9,"1,2,CIRCLE | 2,0,TRIANGLE | 2,1,DIAMOND | 3,3,CIRCLE",6.102254,4.800448,5,4,193,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1020008__Bstart,,B,A,victory,10,"3,1,CIRCLE | 2,2,DIAMOND | 2,3,TRIANGLE | 3,0,SQUARE",8.881496,6.000543,5,5,147,186,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030007__Astart,,A,A,victory,9,"0,0,SQUARE | 3,2,CIRCLE | 2,1,CIRCLE | 1,3,DIAMOND",5.265817,4.800448,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030008__Bstart,,B,B,victory,7,"2,2,CIRCLE | 1,2,TRIANGLE | 3,0,SQUARE | 0,1,DIAMOND",8.584881,3.600434,3,4,118,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1040007__Astart,,A,A,victory,11,"2,2,SQUARE | 0,3,TRIANGLE | 0,1,CIRCLE | 3,2,DIAMOND",5.124999,6.000431,6,5,183,132,1,0,0,0,0,1
