game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,0,A,3,3,SQUARE,0.000030,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,1,B,0,2,TRIANGLE,1.200194,53,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,2,A,1,2,CIRCLE,3.563975,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,3,B,2,3,DIAMOND,1.200110,39,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,4,A,2,1,TRIANGLE,1.566583,36,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,5,B,1,0,SQUARE,1.200071,26,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,6,A,2,0,CIRCLE,0.143843,23,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,7,B,0,3,DIAMOND,1.200047,17,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,8,A,2,2,SQUARE,0.000025,9,1,1,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,0,B,0,0,DIAMOND,1.200162,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,1,A,2,1,SQUARE,7.189790,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,2,B,3,1,TRIANGLE,1.200152,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,3,A,1,2,CIRCLE,2.123296,39,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,4,B,1,3,TRIANGLE,1.200083,35,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,5,A,1,1,SQUARE,0.125437,27,0,0,1,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,6,B,1,0,DIAMOND,0.000037,19,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,0,A,1,3,DIAMOND,0.000028,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,1,B,3,0,SQUARE,1.200529,53,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,2,A,2,1,CIRCLE,4.311926,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,3,B,0,1,TRIANGLE,1.200395,39,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,4,A,0,3,SQUARE,1.318651,36,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,5,B,3,2,CIRCLE,1.200180,28,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,6,A,2,2,TRIANGLE,0.627895,24,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,7,B,0,0,DIAMOND,1.200107,16,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,8,A,0,2,SQUARE,0.074148,15,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,9,B,1,2,CIRCLE,1.200031,12,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,10,A,2,0,CIRCLE,0.010828,7,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,11,B,1,0,TRIANGLE,0.000038,7,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,0,B,0,3,TRIANGLE,1.200396,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,1,A,2,1,SQUARE,7.259913,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,2,B,3,3,TRIANGLE,1.200126,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,3,A,1,0,CIRCLE,1.743053,42,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,4,B,1,1,DIAMOND,1.200058,22,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,5,A,3,2,DIAMOND,1.152927,29,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,6,B,0,2,CIRCLE,1.200076,12,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,7,A,3,0,CIRCLE,0.041656,18,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,8,B,0,0,SQUARE,1.200033,9,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,9,A,3,1,SQUARE,0.000047,9,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,0,A,0,1,CIRCLE,0.000035,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,1,B,2,0,TRIANGLE,1.200151,53,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,2,A,1,2,SQUARE,6.331875,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,3,B,3,3,DIAMOND,1.200177,38,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,4,A,0,0,DIAMOND,1.675878,34,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,5,B,2,1,SQUARE,1.200082,26,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,6,A,0,2,TRIANGLE,0.272643,23,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,7,B,2,3,SQUARE,1.200054,18,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,8,A,1,3,CIRCLE,0.026586,15,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,9,B,2,2,DIAMOND,1.200042,10,0,0,1,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,10,A,0,3,TRIANGLE,0.000039,6,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,0,B,3,3,SQUARE,1.200559,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,1,A,1,2,TRIANGLE,7.715582,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,2,B,0,2,DIAMOND,1.200238,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,3,A,2,1,CIRCLE,1.057113,39,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,4,B,2,0,DIAMOND,1.200099,35,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,5,A,2,2,TRIANGLE,0.443368,27,0,0,1,1,ok
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,6,B,2,3,SQUARE,0.000037,19,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,0,A,2,3,CIRCLE,0.000029,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,1,B,3,1,SQUARE,1.200145,53,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,2,A,1,1,TRIANGLE,5.125092,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,3,B,2,2,DIAMOND,1.200110,39,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,4,A,3,0,DIAMOND,1.111735,36,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,5,B,1,3,SQUARE,1.200078,26,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,6,A,0,0,SQUARE,0.111215,25,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,7,B,0,2,CIRCLE,1.200089,13,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,8,A,2,1,TRIANGLE,0.021919,15,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,9,B,0,3,DIAMOND,1.200033,9,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,10,A,2,0,CIRCLE,0.000017,4,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,0,B,3,2,CIRCLE,1.200418,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,1,A,1,1,CIRCLE,7.591323,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,2,B,0,3,SQUARE,1.200191,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,3,A,2,0,SQUARE,3.007580,38,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,4,B,2,1,DIAMOND,1.200086,34,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,5,A,0,1,TRIANGLE,1.045413,25,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,6,B,3,3,SQUARE,1.200082,25,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,7,A,0,2,DIAMOND,0.067013,18,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,8,B,2,2,TRIANGLE,1.200046,12,0,0,1,1,ok
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,9,A,0,0,CIRCLE,0.000025,13,1,1,0,0,ok
