game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__MCTS+__seed1010001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.463224,3.600313,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6060002__Bstart,,B,B,victory,11,"3,3,DIAMOND | 1,1,CIRCLE | 1,2,SQUARE | 3,2,TRIANGLE",2.865584,6.000709,5,6,144,202,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070001__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.558833,4.800408,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070002__Bstart,,B,A,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 3,3,CIRCLE | 0,1,DIAMOND",2.815373,6.000584,5,5,146,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8080001__Astart,,A,B,victory,8,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",3.472158,3.600434,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8080002__Bstart,,B,B,no_move,11,"2,2,CIRCLE | 1,1,CIRCLE | 3,0,TRIANGLE | 2,3,SQUARE",2.842578,7.200522,5,6,129,183,0,1,0,0,0,0
AlphaBeta++__vs__MCTS+__seed9090001__Astart,,A,B,victory,12,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.684393,6.000461,6,6,176,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9090002__Bstart,,B,B,no_move,11,"1,1,CIRCLE | 2,2,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE",3.235891,7.200589,5,6,137,203,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1120001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,TRIANGLE",3.710825,4.800368,5,4,187,137,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1120002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 1,1,CIRCLE | 3,3,SQUARE | 1,3,TRIANGLE",2.631011,4.800779,4,5,134,200,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2130001__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.461472,4.800391,5,4,187,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2130002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 1,1,CIRCLE | 3,3,DIAMOND | 2,0,DIAMOND",2.844050,4.801335,4,5,133,182,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3140001__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.436879,4.800431,5,4,187,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3140002__Bstart,,B,B,victory,9,"3,2,CIRCLE | 1,1,CIRCLE | 2,0,DIAMOND | 0,2,DIAMOND",2.812555,4.800688,4,5,133,190,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed4150001__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 0,1,DIAMOND",3.517187,6.000473,6,5,194,141,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4150002__Bstart,,B,B,victory,9,"2,1,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND | 0,1,DIAMOND",2.933102,4.800698,4,5,134,184,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5160001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,2,SQUARE | 2,2,TRIANGLE | 0,3,DIAMOND",3.512381,7.200403,6,6,174,139,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed5160002__Bstart,,B,B,victory,11,"1,2,SQUARE | 2,1,CIRCLE | 3,3,CIRCLE | 0,0,SQUARE",2.909931,6.000928,5,6,144,186,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6170001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,3,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.440855,7.200428,6,6,173,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed6170002__Bstart,,B,B,no_move,13,"1,3,TRIANGLE | 2,1,CIRCLE | 3,2,SQUARE | 2,2,DIAMOND",2.646937,8.400610,6,7,144,176,1,1,0,0,0,0
AlphaBeta++__vs__MCTS+__seed7180001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,1,DIAMOND",3.513422,4.800393,5,4,187,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed7180002__Bstart,,B,B,victory,13,"1,1,CIRCLE | 2,2,CIRCLE | 0,3,TRIANGLE | 0,2,DIAMOND",3.102164,7.200741,6,7,141,200,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8190001__Astart,,A,A,victory,11,"1,1,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 1,2,TRIANGLE",3.511436,6.000475,6,5,184,138,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8190002__Bstart,,B,B,victory,13,"0,3,DIAMOND | 2,1,CIRCLE | 1,0,TRIANGLE | 3,1,SQUARE",2.875575,7.200953,6,7,139,205,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9200001__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.499706,6.000497,6,5,196,141,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9200002__Bstart,,B,A,victory,10,"0,2,DIAMOND | 1,1,CIRCLE | 3,3,SQUARE | 3,0,DIAMOND",2.854733,6.000676,5,5,149,180,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1010003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,CIRCLE | 2,0,SQUARE | 3,2,SQUARE",3.890461,4.800618,5,4,187,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1010004__Bstart,,B,A,victory,10,"0,1,SQUARE | 2,2,TRIANGLE | 0,3,SQUARE | 3,1,DIAMOND",2.916647,6.000605,5,5,154,161,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2020003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,3,DIAMOND",3.613227,6.000611,6,5,197,145,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2020004__Bstart,,B,B,victory,11,"1,0,SQUARE | 2,2,TRIANGLE | 0,3,CIRCLE | 3,2,DIAMOND",2.790656,6.000600,5,6,131,193,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3030003__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.584824,4.800369,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3030004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,CIRCLE | 1,0,SQUARE | 0,2,SQUARE",2.801238,4.800754,4,5,136,183,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed4040003__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.630258,6.000434,5,5,171,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4040004__Bstart,,B,B,victory,9,"3,2,CIRCLE | 1,1,CIRCLE | 2,0,DIAMOND | 0,2,DIAMOND",2.809664,4.800759,4,5,133,190,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE | 2,0,DIAMOND",3.873171,4.808774,5,4,187,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5050004__Bstart,,B,A,victory,10,"0,1,SQUARE | 2,2,TRIANGLE | 3,0,CIRCLE | 1,2,CIRCLE",2.816482,6.000791,5,5,140,188,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6060003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 1,2,TRIANGLE",3.570339,4.800464,5,4,185,127,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6060004__Bstart,,B,B,victory,9,"1,3,SQUARE | 2,2,TRIANGLE | 0,1,TRIANGLE | 3,1,SQUARE",2.823777,4.800762,4,5,133,185,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070003__Astart,,A,B,victory,12,"1,1,CIRCLE | 0,3,SQUARE | 0,2,TRIANGLE | 1,0,DIAMOND",3.660119,6.005110,6,6,176,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070004__Bstart,,B,B,no_move,11,"1,1,DIAMOND | 2,2,CIRCLE | 0,3,TRIANGLE | 3,2,SQUARE",2.837176,7.200672,5,6,129,192,1,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed8080003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,DIAMOND",3.859816,4.800379,5,4,188,136,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8080004__Bstart,,B,A,victory,10,"2,2,SQUARE | 1,1,CIRCLE | 3,0,TRIANGLE | 0,3,TRIANGLE",2.802474,6.000494,5,5,139,183,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090003__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.477083,6.000435,5,5,171,134,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed9090004__Bstart,,B,B,no_move,13,"3,2,CIRCLE | 1,1,CIRCLE | 0,3,DIAMOND | 1,3,SQUARE",3.178786,8.400523,6,7,138,204,1,1,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1120003__Astart,,A,B,victory,12,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.554698,6.000406,6,6,181,147,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1120004__Bstart,,B,B,no_move,9,"2,2,DIAMOND | 1,1,CIRCLE | 0,3,SQUARE | 3,2,TRIANGLE",2.711674,6.000722,4,5,127,170,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed2130003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,DIAMOND",3.653311,4.806491,5,4,192,139,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2130004__Bstart,,B,B,victory,13,"3,3,SQUARE | 1,1,CIRCLE | 2,0,CIRCLE | 1,0,SQUARE",3.358255,7.200668,6,7,134,217,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3140003__Astart,,A,A,victory,11,"1,1,CIRCLE | 3,2,CIRCLE | 3,0,SQUARE | 0,3,TRIANGLE",3.902588,6.000407,6,5,190,151,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3140004__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 0,2,DIAMOND | 0,3,TRIANGLE",2.756243,6.000792,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4150003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,1,DIAMOND",3.504962,4.800455,5,4,186,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4150004__Bstart,,B,A,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 0,1,TRIANGLE | 3,0,SQUARE",2.815679,6.000674,5,5,144,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5160003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,3,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.468462,7.200335,6,6,171,137,0,1,0,0,0,0
AlphaBeta++__vs__MCTS+__seed5160004__Bstart,,B,B,victory,11,"0,1,SQUARE | 2,2,TRIANGLE | 3,0,DIAMOND | 1,2,CIRCLE",2.781134,6.000725,5,6,142,178,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6170003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,SQUARE | 2,2,TRIANGLE | 1,0,DIAMOND",3.468243,4.800414,5,4,187,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6170004__Bstart,,B,B,victory,11,"3,1,DIAMOND | 1,2,CIRCLE | 2,3,SQUARE | 3,0,SQUARE",2.800845,6.000778,5,6,145,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7180003__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.830573,6.000464,5,5,171,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed7180004__Bstart,,B,B,no_move,11,"0,1,SQUARE | 2,2,TRIANGLE | 1,3,CIRCLE | 0,0,CIRCLE",2.797207,7.200798,5,6,141,182,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed8190003__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,0,SQUARE | 2,2,SQUARE | 3,1,DIAMOND",3.472093,6.004918,6,5,184,134,1,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8190004__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,CIRCLE | 2,3,DIAMOND | 0,0,DIAMOND",2.713714,4.801112,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9200003__Astart,,A,B,victory,12,"1,1,CIRCLE | 0,3,SQUARE | 0,2,TRIANGLE | 1,0,DIAMOND",3.775831,6.000498,6,6,176,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9200004__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,CIRCLE | 2,0,CIRCLE | 3,1,SQUARE",2.632630,4.800531,4,5,134,201,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010005__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.517211,6.007271,6,5,191,139,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1010006__Bstart,,B,B,victory,9,"0,1,CIRCLE | 1,2,CIRCLE | 2,0,DIAMOND | 1,0,SQUARE",2.653908,4.800594,4,5,134,201,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2020005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,TRIANGLE | 2,2,SQUARE | 3,3,DIAMOND",3.515193,4.800552,5,4,186,131,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2020006__Bstart,,B,B,victory,9,"2,0,CIRCLE | 1,1,CIRCLE | 3,2,SQUARE | 3,1,TRIANGLE",2.672634,4.800576,4,5,134,201,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3030005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,3,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.540861,7.200648,6,6,174,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed3030006__Bstart,,B,A,victory,10,"1,3,SQUARE | 2,2,TRIANGLE | 3,2,DIAMOND | 0,3,CIRCLE",2.760039,6.007000,5,5,147,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4040005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.492771,4.800400,5,4,185,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4040006__Bstart,,B,B,victory,9,"2,0,DIAMOND | 1,1,CIRCLE | 3,3,SQUARE | 0,3,DIAMOND",2.722408,4.800617,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5050005__Astart,,A,B,victory,8,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",3.531089,3.600419,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5050006__Bstart,,B,B,victory,9,"2,1,SQUARE | 1,2,CIRCLE | 3,3,TRIANGLE | 0,0,TRIANGLE",2.760501,4.815165,4,5,126,183,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6060005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,CIRCLE | 3,0,SQUARE | 2,3,TRIANGLE",3.879651,4.801621,5,4,187,136,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6060006__Bstart,,B,B,victory,13,"0,0,CIRCLE | 2,2,SQUARE | 1,3,TRIANGLE | 3,1,TRIANGLE",2.844911,7.200519,6,7,146,196,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070005__Astart,,A,B,victory,8,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",3.522321,3.600339,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070006__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,CIRCLE | 0,1,TRIANGLE | 3,2,TRIANGLE",2.970233,4.800935,4,5,126,199,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8080005__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE | 2,0,DIAMOND",3.881952,4.800335,5,4,187,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8080006__Bstart,,B,A,victory,10,"2,0,TRIANGLE | 1,1,CIRCLE | 0,1,SQUARE | 3,0,DIAMOND",2.775461,6.000593,5,5,147,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090005__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.635885,6.001302,5,5,171,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed9090006__Bstart,,B,A,victory,10,"0,2,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 0,3,DIAMOND",2.744754,6.000789,5,5,147,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1120005__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.558399,4.800383,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1120006__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,CIRCLE | 0,2,SQUARE | 3,0,SQUARE",2.829695,4.800558,4,5,135,188,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2130005__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.658904,6.000357,5,5,171,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed2130006__Bstart,,B,A,no_move,12,"2,3,DIAMOND | 1,1,CIRCLE | 3,0,CIRCLE | 1,2,DIAMOND",2.757665,7.200752,6,6,141,184,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed3140005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,TRIANGLE",3.867039,4.800434,5,4,188,136,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3140006__Bstart,,B,A,victory,10,"0,2,SQUARE | 1,1,CIRCLE | 1,0,DIAMOND | 0,3,TRIANGLE",2.763338,6.000817,5,5,142,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4150005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,3,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.547310,7.200684,6,6,174,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4150006__Bstart,,B,B,victory,11,"1,3,TRIANGLE | 2,1,CIRCLE | 3,2,DIAMOND | 0,3,DIAMOND",2.811630,6.000609,5,6,145,180,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5160005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,CIRCLE | 2,0,SQUARE | 3,2,TRIANGLE",3.674658,4.800500,5,4,186,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5160006__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,SQUARE | 1,0,TRIANGLE | 3,2,TRIANGLE",2.779183,4.800762,4,5,135,180,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6170005__Astart,,A,B,victory,12,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 0,0,TRIANGLE",3.865129,6.000599,6,6,176,143,1,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6170006__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,1,CIRCLE | 0,3,DIAMOND | 3,0,DIAMOND",3.020222,6.000606,5,5,147,184,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed7180005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.622108,4.801230,5,4,181,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed7180006__Bstart,,B,B,victory,13,"1,2,TRIANGLE | 2,1,CIRCLE | 0,0,CIRCLE | 2,0,TRIANGLE",3.345840,7.200948,6,7,134,216,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8190005__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,1,DIAMOND",3.663520,6.000584,6,5,196,141,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8190006__Bstart,,B,A,victory,10,"0,3,TRIANGLE | 2,1,CIRCLE | 1,0,DIAMOND | 2,2,TRIANGLE",2.839747,6.000589,5,5,140,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9200005__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.607567,3.600485,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9200006__Bstart,,B,A,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE | 3,0,TRIANGLE",2.741086,6.000460,5,5,142,185,0,0,0,0,0,1
