game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__MCTS+__seed1010001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.463224,3.600313,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,,B,B,victory,9,"0,0,DIAMOND | 2,2,CIRCLE | 1,3,SQUARE | 0,1,SQUARE",2.799670,4.800570,4,5,136,183,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2020001__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.449796,6.000350,5,5,170,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed2020002__Bstart,,B,B,victory,11,"2,0,SQUARE | 1,1,CIRCLE | 3,2,DIAMOND | 3,3,SQUARE",2.801982,6.000467,5,6,145,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3030001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,DIAMOND",3.708330,4.800397,5,4,188,137,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3030002__Bstart,,B,A,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE | 3,0,TRIANGLE",2.738344,6.000506,5,5,147,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4040001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.356751,7.200404,6,6,174,138,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4040002__Bstart,,B,B,victory,11,"3,2,TRIANGLE | 1,1,CIRCLE | 2,0,SQUARE | 3,3,SQUARE",2.811802,6.000571,5,6,145,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5050001__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,3,TRIANGLE | 2,2,SQUARE | 3,2,DIAMOND",3.462402,6.000477,6,5,189,147,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5050002__Bstart,,B,A,victory,10,"3,1,DIAMOND | 1,2,CIRCLE | 0,0,TRIANGLE | 2,2,TRIANGLE",2.888151,6.000645,5,5,140,188,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6060001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.439058,7.200412,6,6,173,138,0,0,0,0,0,0
