game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__MCTS+__seed1010001__Astart,0,A,1,1,CIRCLE,1.276450,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,1,B,0,3,DIAMOND,1.200140,53,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,2,A,0,2,SQUARE,1.253505,49,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,3,B,1,0,TRIANGLE,1.200081,39,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,4,A,3,1,SQUARE,0.927252,36,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,5,B,2,1,DIAMOND,1.200068,29,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,6,A,0,1,CIRCLE,0.006016,15,0,0,1,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,7,B,0,0,TRIANGLE,0.000024,16,1,1,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,0,B,0,0,DIAMOND,1.200123,64,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,1,A,2,2,CIRCLE,1.268176,53,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,2,B,1,3,SQUARE,1.200279,49,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,3,A,0,1,SQUARE,1.254869,38,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,4,B,1,2,TRIANGLE,1.200084,35,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,5,A,3,2,DIAMOND,0.263422,27,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,6,B,3,3,TRIANGLE,1.200059,24,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,7,A,2,3,CIRCLE,0.013202,18,0,0,1,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,8,B,0,3,DIAMOND,0.000024,11,1,1,0,0,ok
AlphaBeta++__vs__MCTS+__seed2020001__Astart,0,A,1,1,CIRCLE,1.279523,64,0,0,0,1,ok
