game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,0,A,1,1,CIRCLE,1.253678,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,1,B,2,2,TRIANGLE,10.725660,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,2,A,0,2,SQUARE,1.261082,49,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,3,B,3,1,SQUARE,3.145507,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,4,A,3,2,DIAMOND,0.870908,36,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,5,B,2,1,SQUARE,0.133994,29,0,0,1,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,6,A,1,2,CIRCLE,0.000463,31,1,1,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,0,B,1,0,TRIANGLE,0.000030,64,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,1,A,2,1,CIRCLE,1.268809,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,2,B,2,2,DIAMOND,5.959223,49,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,3,A,3,3,TRIANGLE,1.258790,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,4,B,0,0,CIRCLE,1.560315,36,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,5,A,3,2,SQUARE,0.232988,27,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,6,B,1,2,CIRCLE,0.041524,24,0,0,1,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,7,A,2,3,CIRCLE,0.000309,21,1,1,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,0,A,1,1,CIRCLE,1.260014,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,1,B,1,2,DIAMOND,9.202166,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,2,A,0,3,SQUARE,1.261706,50,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,3,B,3,0,TRIANGLE,1.843462,40,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,4,A,0,2,TRIANGLE,1.257542,36,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,5,B,2,2,CIRCLE,0.115216,28,0,0,1,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,6,A,1,3,CIRCLE,0.000461,25,1,1,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,0,B,0,0,CIRCLE,0.000030,64,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,1,A,2,2,SQUARE,1.288395,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,2,B,1,2,TRIANGLE,6.576226,49,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,3,A,2,3,CIRCLE,1.261194,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,4,B,3,3,DIAMOND,1.501645,37,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,5,A,3,2,CIRCLE,0.083503,26,0,0,1,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,6,B,0,2,DIAMOND,0.000148,30,1,1,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1030001__Astart,0,A,1,1,CIRCLE,1.254376,64,0,0,0,1,ok
