game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,1,SQUARE",3.386131,14.005162,4,3,180,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,,B,A,victory,8,"1,0,TRIANGLE | 2,1,CIRCLE | 2,2,DIAMOND | 3,3,TRIANGLE",2.760896,7.561092,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1020001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.779723,11.160843,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1020002__Bstart,,B,B,victory,7,"0,0,CIRCLE | 2,2,SQUARE | 1,2,TRIANGLE | 2,3,CIRCLE",2.633093,8.078049,3,4,118,180,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1030001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,SQUARE",3.764069,14.060882,4,3,175,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1030002__Bstart,,B,A,victory,8,"1,0,TRIANGLE | 2,1,CIRCLE | 2,2,DIAMOND | 3,3,TRIANGLE",2.757768,7.727904,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1040001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,DIAMOND",3.770336,14.207521,4,3,173,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1040002__Bstart,,B,B,victory,11,"2,3,DIAMOND | 1,1,CIRCLE | 1,2,TRIANGLE | 3,3,TRIANGLE",2.822101,6.190572,5,6,135,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1050001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,2,TRIANGLE",3.777811,11.052980,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1050002__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 1,1,CIRCLE | 3,0,SQUARE | 0,3,TRIANGLE",2.837994,8.977127,4,5,134,186,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1060001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 2,0,CIRCLE",3.929146,14.958947,5,4,196,132,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1060002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,TRIANGLE | 3,1,TRIANGLE",2.904638,10.258109,5,5,149,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1070001__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.895214,13.956819,5,4,195,140,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1070002__Bstart,,B,A,victory,10,"3,1,CIRCLE | 1,2,CIRCLE | 2,2,DIAMOND | 0,1,DIAMOND",2.923491,9.776274,5,5,153,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1080001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.773125,11.639334,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1080002__Bstart,,B,B,victory,11,"1,3,DIAMOND | 2,1,CIRCLE | 2,2,TRIANGLE | 3,1,SQUARE",2.810953,5.619775,5,6,130,193,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1090001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,DIAMOND",3.224836,11.292231,4,3,178,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1090002__Bstart,,B,B,victory,9,"1,1,TRIANGLE | 2,2,CIRCLE | 2,0,DIAMOND | 1,2,SQUARE",2.731020,7.675893,4,5,137,192,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1100001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,2,DIAMOND",3.715041,12.162664,4,3,176,119,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1100002__Bstart,,B,A,victory,10,"3,1,SQUARE | 2,2,TRIANGLE | 1,2,DIAMOND | 0,3,SQUARE",2.898680,6.208391,5,5,146,180,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1110001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.765077,11.346453,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1110002__Bstart,,B,B,victory,9,"2,2,DIAMOND | 1,1,CIRCLE | 1,3,SQUARE | 0,1,DIAMOND",2.740438,7.560577,4,5,131,199,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120001__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 0,1,DIAMOND",3.803546,11.051852,5,4,194,138,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120002__Bstart,,B,A,victory,10,"1,2,CIRCLE | 2,1,CIRCLE | 2,3,TRIANGLE | 1,0,TRIANGLE",2.820141,9.076827,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1130001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.796483,9.727026,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1130002__Bstart,,B,A,victory,10,"1,0,TRIANGLE | 2,1,CIRCLE | 2,2,SQUARE | 3,3,TRIANGLE",2.799869,7.721617,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1140001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,SQUARE",3.797974,12.519066,4,3,177,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1140002__Bstart,,B,A,victory,10,"1,3,CIRCLE | 2,1,CIRCLE | 3,0,SQUARE | 1,0,DIAMOND",2.879542,7.952385,5,5,155,192,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1150001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.793741,10.388971,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1150002__Bstart,,B,B,victory,11,"2,1,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND | 0,1,DIAMOND",2.814604,7.329116,5,6,134,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1160001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,DIAMOND",3.882494,11.816457,5,4,187,136,0,0,0,0,0,1
