game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,0,A,1,1,CIRCLE,1.278051,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,1,B,2,2,TRIANGLE,8.152841,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,2,A,0,2,SQUARE,1.254882,49,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,3,B,3,1,SQUARE,2.378822,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,4,A,3,2,DIAMOND,0.642671,36,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,5,B,2,1,SQUARE,0.098852,29,0,0,1,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,6,A,1,2,CIRCLE,0.000398,31,1,1,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,0,B,1,0,TRIANGLE,0.000025,64,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,1,A,2,1,CIRCLE,1.271360,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,2,B,2,2,DIAMOND,4.727608,49,0,0,0,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,3,A,3,3,TRIANGLE,1.262750,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,4,B,0,0,CIRCLE,1.210510,36,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,5,A,3,2,SQUARE,0.183331,27,0,0,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,6,B,1,2,CIRCLE,0.032266,24,0,0,1,1,ok
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,7,A,2,3,CIRCLE,0.000262,21,1,1,0,0,ok
AlphaBeta++__vs__Génétique (éval AB)__seed2020001__Astart,0,A,1,1,CIRCLE,1.273987,64,0,0,0,1,ok
