game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__Génétique+__seed1010001__Astart,0,A,1,1,CIRCLE,1.273986,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,1,B,3,0,DIAMOND,1.337185,53,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,2,A,2,0,SQUARE,1.263991,49,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,3,B,1,2,DIAMOND,1.323930,39,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,4,A,2,1,TRIANGLE,1.234853,38,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,5,B,3,3,CIRCLE,0.926402,19,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,6,A,3,2,SQUARE,0.092200,26,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,7,B,2,2,CIRCLE,0.273532,12,0,0,1,1,ok
AlphaBeta++__vs__Génétique+__seed1010001__Astart,8,A,0,2,TRIANGLE,0.000326,13,1,1,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,0,B,1,1,CIRCLE,1.316635,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,1,A,2,2,CIRCLE,1.261972,53,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,2,B,3,3,TRIANGLE,1.305445,49,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,3,A,3,1,DIAMOND,1.258359,39,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,4,B,1,0,SQUARE,1.235326,37,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,5,A,2,3,SQUARE,0.235661,28,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,6,B,1,2,DIAMOND,0.583135,25,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,7,A,0,2,TRIANGLE,0.014738,19,0,0,0,0,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,8,B,2,1,TRIANGLE,0.301112,14,0,0,1,1,ok
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,9,A,3,2,SQUARE,0.000359,11,1,1,0,0,ok
AlphaBeta++__vs__Génétique+__seed2020001__Astart,0,A,1,1,CIRCLE,1.276070,64,0,0,0,1,ok
AlphaBeta++__vs__Génétique+__seed2020001__Astart,1,B,2,0,TRIANGLE,1.353940,53,0,0,0,0,ok
