game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique+__seed1120003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 1,2,DIAMOND",3.969880,4.577769,5,4,196,134,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1120004__Bstart,,B,A,victory,8,"2,1,SQUARE | 1,2,CIRCLE | 1,1,SQUARE | 2,2,TRIANGLE",2.811426,4.607012,4,4,148,156,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2130003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 0,2,TRIANGLE",3.729804,4.503622,5,4,193,142,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2130004__Bstart,,B,A,victory,10,"2,1,CIRCLE | 1,2,CIRCLE | 0,1,SQUARE | 2,3,SQUARE",3.240835,5.619758,5,5,146,179,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 3,2,SQUARE",4.168446,4.391839,5,4,193,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140004__Bstart,,B,B,victory,11,"1,2,DIAMOND | 2,1,CIRCLE | 0,1,SQUARE | 3,0,TRIANGLE",2.733324,5.365540,5,6,142,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed4150003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,DIAMOND",3.891316,4.387045,5,4,183,140,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4150004__Bstart,,B,A,victory,8,"2,1,SQUARE | 1,2,CIRCLE | 0,2,DIAMOND | 3,3,TRIANGLE",2.849762,4.759464,4,4,142,171,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5160003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,2,SQUARE | 2,2,TRIANGLE | 2,0,SQUARE",3.936774,4.532751,5,4,187,122,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5160004__Bstart,,B,A,victory,8,"2,2,TRIANGLE | 1,1,CIRCLE | 3,2,TRIANGLE | 1,2,SQUARE",3.203463,4.613651,4,4,140,161,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6170003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE | 1,2,DIAMOND",3.674476,4.646547,5,4,189,141,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6170004__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,CIRCLE | 3,0,DIAMOND | 0,2,DIAMOND",2.960495,5.270804,4,5,140,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed7180003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 2,1,TRIANGLE",3.758055,4.584998,5,4,194,134,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7180004__Bstart,,B,A,victory,8,"1,1,TRIANGLE | 2,2,CIRCLE | 0,1,DIAMOND | 3,0,SQUARE",3.045252,4.596265,4,4,137,175,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8190003__Astart,,A,A,victory,7,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 2,2,TRIANGLE",3.786255,3.151804,4,3,180,111,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8190004__Bstart,,B,A,victory,10,"0,3,TRIANGLE | 2,1,CIRCLE | 1,2,SQUARE | 3,2,DIAMOND",2.839734,5.143637,5,5,143,171,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,1,DIAMOND",3.831216,4.515688,5,4,188,141,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200004__Bstart,,B,A,victory,10,"2,1,SQUARE | 1,2,CIRCLE | 2,0,SQUARE | 2,2,DIAMOND",3.428092,5.527869,5,5,160,176,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1010005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 3,2,DIAMOND",3.449357,4.240953,5,4,193,140,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1010006__Bstart,,B,A,victory,8,"0,2,TRIANGLE | 1,1,CIRCLE | 2,1,DIAMOND | 3,0,TRIANGLE",3.473661,4.969502,4,4,139,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2020005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,SQUARE | 2,2,TRIANGLE | 3,0,SQUARE",3.919413,4.467054,5,4,189,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2020006__Bstart,,B,A,victory,10,"1,1,TRIANGLE | 2,2,CIRCLE | 0,3,SQUARE | 2,1,SQUARE",3.002268,5.641388,5,5,137,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3030005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.941118,4.374945,5,4,186,127,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3030006__Bstart,,B,A,victory,10,"1,2,TRIANGLE | 2,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE",2.957301,5.848965,5,5,150,182,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4040005__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 1,2,DIAMOND",3.923052,4.440602,5,4,190,123,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4040006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,3,TRIANGLE | 3,0,SQUARE",2.863939,4.965250,4,5,136,188,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed5050005__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.878212,5.080725,6,5,184,144,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5050006__Bstart,,B,B,victory,9,"1,1,SQUARE | 2,2,CIRCLE | 0,3,TRIANGLE | 1,0,TRIANGLE",3.022194,4.974099,4,5,132,193,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed6060005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,TRIANGLE",3.814780,4.432815,5,4,189,133,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6060006__Bstart,,B,B,victory,11,"2,1,SQUARE | 1,2,CIRCLE | 3,3,TRIANGLE | 2,0,TRIANGLE",3.154491,5.995642,5,6,140,189,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed7070005__Astart,,A,B,victory,10,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,SQUARE",3.887937,4.786775,5,5,180,148,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed7070006__Bstart,,B,A,victory,8,"1,1,TRIANGLE | 2,2,CIRCLE | 1,2,TRIANGLE | 2,1,SQUARE",2.843042,4.776066,4,4,146,157,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080005__Astart,,A,A,victory,7,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 2,3,TRIANGLE",3.632736,3.132102,4,3,173,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080006__Bstart,,B,A,victory,8,"3,1,CIRCLE | 1,2,CIRCLE | 1,3,TRIANGLE | 0,0,SQUARE",2.897107,4.559098,4,4,137,172,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9090005__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 2,1,TRIANGLE",3.918852,4.245280,5,4,198,143,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9090006__Bstart,,B,B,no_move,13,"2,1,DIAMOND | 1,2,CIRCLE | 1,0,TRIANGLE | 3,0,SQUARE",2.837574,5.649311,6,7,137,193,1,1,0,0,0,0
AlphaBeta++__vs__Génétique+__seed1120005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,1,TRIANGLE",3.924315,4.443207,5,4,182,136,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1120006__Bstart,,B,A,victory,10,"2,2,DIAMOND | 1,1,CIRCLE | 0,2,DIAMOND | 1,2,SQUARE",2.996928,5.631515,5,5,157,166,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2130005__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,2,TRIANGLE",3.795110,3.416557,4,3,180,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2130006__Bstart,,B,A,victory,8,"2,1,TRIANGLE | 1,2,CIRCLE | 3,3,DIAMOND | 2,0,DIAMOND",2.771045,4.490363,4,4,139,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,3,SQUARE | 2,2,TRIANGLE | 0,1,SQUARE",3.913784,4.334715,5,4,182,123,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140006__Bstart,,B,B,victory,11,"1,1,SQUARE | 2,2,CIRCLE | 2,0,TRIANGLE | 0,0,DIAMOND",2.991792,5.665349,5,6,142,182,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed4150005__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,0,SQUARE | 2,2,TRIANGLE | 3,2,SQUARE",3.899691,4.508342,5,4,187,123,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4150006__Bstart,,B,A,no_move,10,"2,2,SQUARE | 1,1,CIRCLE | 0,3,DIAMOND | 3,2,TRIANGLE",2.850078,5.285737,5,5,129,165,1,1,0,0,0,0
AlphaBeta++__vs__Génétique+__seed5160005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,0,DIAMOND",3.950264,4.547713,5,4,195,138,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5160006__Bstart,,B,A,victory,8,"2,1,TRIANGLE | 1,2,CIRCLE | 1,3,TRIANGLE | 0,0,SQUARE",2.731163,4.625285,4,4,142,153,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6170005__Astart,,A,A,victory,7,"1,1,CIRCLE | 0,3,SQUARE | 0,2,TRIANGLE | 2,2,DIAMOND",3.264292,3.225689,4,3,176,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6170006__Bstart,,B,A,victory,8,"1,2,SQUARE | 2,1,CIRCLE | 2,2,SQUARE | 1,1,TRIANGLE",2.882634,4.689031,4,4,150,158,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7180005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 2,0,TRIANGLE",3.946004,4.469542,5,4,183,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7180006__Bstart,,B,A,victory,10,"2,2,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 0,3,DIAMOND",3.216029,5.690410,5,5,144,171,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8190005__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,3,TRIANGLE | 2,2,SQUARE | 3,0,DIAMOND",3.853558,4.756203,6,6,171,140,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed8190006__Bstart,,B,A,victory,8,"2,3,CIRCLE | 1,1,CIRCLE | 2,2,TRIANGLE | 3,0,SQUARE",3.088019,4.657233,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 3,3,TRIANGLE",3.934457,4.506558,5,4,186,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200006__Bstart,,B,A,victory,12,"1,2,CIRCLE | 2,1,CIRCLE | 0,0,DIAMOND | 3,3,DIAMOND",2.994169,6.272130,6,6,152,188,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1010001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.782382,3.604104,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,,B,A,victory,8,"1,3,DIAMOND | 1,1,CIRCLE | 0,0,TRIANGLE | 0,2,SQUARE",2.799169,4.800850,4,4,142,169,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2020001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,CIRCLE",3.667487,4.800499,5,4,186,138,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2020002__Bstart,,B,A,victory,10,"3,2,SQUARE | 1,1,CIRCLE | 2,0,TRIANGLE | 1,2,TRIANGLE",3.004664,6.001503,5,5,146,191,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3030001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,CIRCLE | 0,2,SQUARE | 2,3,SQUARE",3.913582,4.802100,5,4,188,136,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3030002__Bstart,,B,A,victory,10,"0,2,TRIANGLE | 1,1,CIRCLE | 2,3,SQUARE | 2,1,TRIANGLE",3.084743,6.001392,5,5,146,191,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4040001__Astart,,A,B,victory,12,"1,1,CIRCLE | 0,0,SQUARE | 2,2,SQUARE | 1,3,DIAMOND",3.992278,6.001087,6,6,182,159,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed4040002__Bstart,,B,A,victory,10,"3,2,TRIANGLE | 1,1,CIRCLE | 2,0,DIAMOND | 2,3,SQUARE",2.996478,6.003971,5,5,144,173,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5050001__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.824503,4.800981,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5050002__Bstart,,B,B,victory,11,"3,1,DIAMOND | 1,2,CIRCLE | 2,3,TRIANGLE | 3,0,TRIANGLE",2.902220,6.000912,5,6,145,180,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6060001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.722275,7.200679,6,6,173,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed6060002__Bstart,,B,B,victory,9,"3,3,DIAMOND | 1,1,CIRCLE | 0,2,CIRCLE | 2,0,DIAMOND",2.795753,4.801451,4,5,134,186,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070001__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.833542,4.800996,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070002__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,CIRCLE | 3,2,DIAMOND | 0,0,DIAMOND",2.931640,4.802924,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8080001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",3.789850,7.201228,6,6,175,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed8080002__Bstart,,B,A,victory,12,"2,2,DIAMOND | 1,1,CIRCLE | 3,0,CIRCLE | 0,3,DIAMOND",2.871590,7.201410,6,6,139,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090001__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 0,0,DIAMOND",3.938958,4.800780,5,4,195,133,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090002__Bstart,,B,B,victory,9,"0,0,TRIANGLE | 2,2,CIRCLE | 3,1,CIRCLE | 2,0,SQUARE",2.736036,4.801036,4,5,134,197,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1120001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,TRIANGLE",3.917024,4.800911,5,4,189,137,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1120002__Bstart,,B,A,victory,8,"0,2,CIRCLE | 1,1,CIRCLE | 2,3,DIAMOND | 0,3,SQUARE",2.584690,4.801287,4,4,144,175,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2130001__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.920827,6.000649,6,5,196,141,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed2130002__Bstart,,B,A,victory,10,"0,2,CIRCLE | 1,1,CIRCLE | 2,2,CIRCLE | 3,0,SQUARE",3.082631,6.001004,5,5,154,173,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3140001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,CIRCLE | 0,2,SQUARE | 2,3,SQUARE",3.903598,4.800695,5,4,187,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3140002__Bstart,,B,A,victory,10,"1,1,DIAMOND | 2,2,CIRCLE | 2,0,SQUARE | 3,2,TRIANGLE",2.713710,6.000779,5,5,145,174,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed4150001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.892418,7.201002,6,6,171,138,1,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4150002__Bstart,,B,B,victory,11,"1,1,CIRCLE | 2,2,CIRCLE | 0,3,TRIANGLE | 0,2,DIAMOND",2.901463,6.001031,5,6,144,198,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5160001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.791562,3.600556,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed5160002__Bstart,,B,B,victory,7,"0,0,DIAMOND | 2,2,CIRCLE | 2,1,TRIANGLE | 1,1,CIRCLE",2.554795,3.600986,3,4,110,178,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6170001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,3,TRIANGLE",3.329083,3.600638,4,3,182,122,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6170002__Bstart,,B,B,victory,11,"1,3,TRIANGLE | 2,1,CIRCLE | 3,2,SQUARE | 0,3,SQUARE",2.930550,6.001379,5,6,145,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7180001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,2,DIAMOND",3.906854,4.800863,5,4,190,138,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed7180002__Bstart,,B,A,victory,10,"1,3,SQUARE | 2,2,TRIANGLE | 3,2,CIRCLE | 0,3,DIAMOND",2.921147,6.001463,5,5,147,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8190001__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",3.834408,4.801287,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8190002__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,CIRCLE | 3,2,SQUARE | 0,0,SQUARE",2.905520,4.800918,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed9200001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 0,1,TRIANGLE | 2,2,SQUARE | 3,0,DIAMOND",3.919100,7.200832,6,6,175,139,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed9200002__Bstart,,B,B,victory,9,"0,2,DIAMOND | 1,1,CIRCLE | 2,3,CIRCLE | 2,0,DIAMOND",2.999173,4.801347,4,5,135,188,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010003__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,0,TRIANGLE | 2,2,TRIANGLE | 3,1,DIAMOND",3.954839,4.800627,5,5,188,149,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010004__Bstart,,B,B,victory,11,"2,1,TRIANGLE | 1,2,CIRCLE | 0,0,SQUARE | 3,1,SQUARE",3.005153,6.000875,5,6,131,189,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2020003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",3.872898,7.200789,6,6,171,138,1,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed2020004__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 2,3,DIAMOND | 3,0,SQUARE",2.888820,6.001699,5,5,144,185,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed3030003__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.840092,4.800600,5,5,170,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3030004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,CIRCLE | 3,2,SQUARE | 0,0,SQUARE",2.859184,4.801923,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed4040003__Astart,,A,B,no_move,10,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.828164,6.001031,5,5,171,132,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4040004__Bstart,,B,A,victory,10,"1,0,CIRCLE | 2,1,CIRCLE | 3,2,DIAMOND | 1,2,TRIANGLE",3.157055,6.000691,5,5,150,182,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,CIRCLE | 0,3,SQUARE | 3,2,TRIANGLE",3.911146,4.800929,5,4,187,136,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5050004__Bstart,,B,B,victory,13,"2,3,CIRCLE | 1,1,CIRCLE | 3,0,DIAMOND | 3,1,SQUARE",2.851670,7.201584,6,7,143,201,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed6060003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,3,TRIANGLE | 2,2,SQUARE | 3,0,DIAMOND",3.829865,7.200952,6,6,174,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed6060004__Bstart,,B,B,victory,9,"2,2,SQUARE | 1,1,CIRCLE | 0,3,TRIANGLE | 3,0,TRIANGLE",3.070638,4.802286,4,5,133,193,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed7070003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,CIRCLE | 2,0,SQUARE | 3,2,SQUARE",3.913534,4.801037,5,4,187,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed7070004__Bstart,,B,B,victory,9,"1,1,DIAMOND | 2,2,CIRCLE | 3,0,TRIANGLE | 1,2,TRIANGLE",2.905749,4.800724,4,5,124,194,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed8080003__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.925537,6.000865,6,5,197,145,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed8080004__Bstart,,B,A,victory,10,"2,2,SQUARE | 1,1,CIRCLE | 1,3,DIAMOND | 0,1,TRIANGLE",2.699259,6.001205,5,5,145,174,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,3,CIRCLE | 0,3,SQUARE | 3,0,TRIANGLE",3.964306,6.000966,6,5,190,151,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed9090004__Bstart,,B,B,victory,9,"1,3,TRIANGLE | 2,1,CIRCLE | 0,1,DIAMOND | 0,0,TRIANGLE",2.832972,4.800804,4,5,137,185,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1120003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,2,TRIANGLE | 2,2,SQUARE | 0,3,DIAMOND",3.886709,7.201106,6,6,173,140,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1120004__Bstart,,B,B,victory,9,"3,3,DIAMOND | 1,1,CIRCLE | 2,0,TRIANGLE | 0,3,TRIANGLE",2.844385,4.801575,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2130003__Astart,,A,B,victory,12,"1,1,CIRCLE | 0,1,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE",3.781688,6.000898,6,6,174,139,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed2130004__Bstart,,B,B,no_move,9,"3,3,TRIANGLE | 1,1,CIRCLE | 0,2,SQUARE | 2,3,DIAMOND",2.861230,6.001149,4,5,127,170,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed3140003__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,0,DIAMOND | 2,2,DIAMOND | 3,1,TRIANGLE",3.809510,4.800664,5,5,188,149,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed3140004__Bstart,,B,B,no_move,9,"3,1,TRIANGLE | 2,2,CIRCLE | 0,0,SQUARE | 1,0,DIAMOND",2.801653,6.000781,4,5,127,170,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed4150003__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 3,3,CIRCLE",3.670759,6.001094,6,6,188,149,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed4150004__Bstart,,B,A,victory,10,"2,3,TRIANGLE | 1,1,CIRCLE | 3,0,SQUARE | 0,2,SQUARE",2.928177,6.000847,5,5,144,186,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5160003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.876510,4.800998,5,4,181,135,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed5160004__Bstart,,B,A,victory,10,"2,3,DIAMOND | 1,1,CIRCLE | 3,0,TRIANGLE | 1,2,TRIANGLE",3.133642,6.001524,5,5,140,188,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed6170003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.977707,7.201182,6,6,182,146,0,0,0,0,0,0
