game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique+__vs__MCTS+__seed5050005__Astart,,A,B,victory,8,"1,2,SQUARE | 0,2,CIRCLE | 3,3,TRIANGLE | 2,3,DIAMOND",4.464404,3.600570,4,4,165,137,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed5050006__Bstart,,B,B,victory,9,"2,1,DIAMOND | 1,2,SQUARE | 0,0,SQUARE | 3,3,TRIANGLE",4.401125,4.800870,4,5,129,180,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed6060005__Astart,,A,B,victory,10,"2,2,TRIANGLE | 0,2,DIAMOND | 1,1,TRIANGLE | 3,0,CIRCLE",4.909905,4.800576,5,5,155,132,0,1,0,0,1,0
Génétique+__vs__MCTS+__seed6060006__Bstart,,B,B,victory,7,"3,1,SQUARE | 2,2,DIAMOND | 2,3,CIRCLE | 1,1,TRIANGLE",3.296267,3.600834,3,4,122,177,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed7070005__Astart,,A,B,no_move,12,"2,1,DIAMOND | 0,1,CIRCLE | 0,2,SQUARE | 3,3,TRIANGLE",6.106121,7.212210,6,6,173,148,0,0,0,0,0,0
Génétique+__vs__MCTS+__seed7070006__Bstart,,B,B,victory,7,"3,1,SQUARE | 2,2,TRIANGLE | 2,3,DIAMOND | 0,3,CIRCLE",3.193870,3.600953,3,4,122,175,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed8080005__Astart,,A,B,victory,10,"2,2,DIAMOND | 3,1,CIRCLE | 1,0,TRIANGLE | 0,0,SQUARE",4.839868,4.800656,5,5,169,138,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed8080006__Bstart,,B,B,victory,9,"2,0,TRIANGLE | 1,2,CIRCLE | 0,1,CIRCLE | 2,1,SQUARE",4.523029,4.800934,4,5,129,185,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed9090005__Astart,,A,B,victory,10,"1,2,SQUARE | 0,3,DIAMOND | 1,3,SQUARE | 2,3,DIAMOND",5.389439,4.800867,5,5,174,142,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed9090006__Bstart,,B,B,no_move,9,"3,0,CIRCLE | 2,2,SQUARE | 2,3,TRIANGLE | 1,1,DIAMOND",4.272855,6.016731,4,5,128,170,0,0,0,0,0,0
Génétique+__vs__MCTS+__seed1120005__Astart,,A,A,victory,7,"0,1,DIAMOND | 1,0,SQUARE | 3,0,TRIANGLE | 2,1,CIRCLE",3.985252,3.600548,4,3,172,122,0,0,0,0,0,1
Génétique+__vs__MCTS+__seed1120006__Bstart,,B,B,no_move,11,"2,0,SQUARE | 3,2,DIAMOND | 3,3,TRIANGLE | 2,1,CIRCLE",5.086304,7.200587,5,6,131,184,0,1,0,0,0,0
Génétique+__vs__MCTS+__seed2130005__Astart,,A,B,no_move,10,"1,1,SQUARE | 2,3,DIAMOND | 1,2,SQUARE | 0,2,TRIANGLE",5.233756,6.000970,5,5,151,135,1,1,0,0,0,0
Génétique+__vs__MCTS+__seed2130006__Bstart,,B,B,victory,9,"0,2,DIAMOND | 2,2,TRIANGLE | 3,1,CIRCLE | 1,3,SQUARE",4.387438,4.801374,4,5,129,184,0,0,0,0,1,0
Génétique+__vs__MCTS+__seed3140005__Astart,,A,B,no_move,10,"1,2,TRIANGLE | 1,3,CIRCLE | 0,1,SQUARE | 0,0,DIAMOND",5.467267,6.000906,5,5,167,134,0,0,0,0,0,0
Génétique+__vs__MCTS+__seed3140006__Bstart,,B,B,victory,7,"0,2,SQUARE | 1,1,DIAMOND | 1,0,TRIANGLE | 2,1,DIAMOND",3.263102,3.600772,3,4,110,180,0,0,0,0,1,0
