game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.609264,3.763068,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.788594,4.020514,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.730409,3.769163,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.187098,3.969268,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.573454,3.765897,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.805075,4.021390,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.641025,3.774306,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.937624,3.971542,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.459557,3.776394,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.856387,4.034436,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.526240,3.766394,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.853212,3.979603,4,5,135,191,0,0,0,0,1,0
