game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,0,A,3,3,SQUARE,0.000031,64,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,1,B,1,1,CIRCLE,1.300932,53,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,2,A,0,1,TRIANGLE,1.600244,49,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,3,B,2,2,DIAMOND,1.300310,39,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,4,A,3,0,DIAMOND,1.600123,36,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,5,B,2,0,SQUARE,0.240502,27,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,6,A,1,2,SQUARE,0.809306,24,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,7,B,0,2,DIAMOND,0.017439,18,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,8,A,2,1,TRIANGLE,0.721732,13,0,0,1,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,9,B,2,3,CIRCLE,0.000018,10,1,1,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,0,B,1,1,CIRCLE,1.300808,64,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,1,A,0,1,SQUARE,1.600311,53,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,2,B,2,2,SQUARE,1.300402,50,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,3,A,1,2,TRIANGLE,1.600262,39,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,4,B,0,3,DIAMOND,1.300610,37,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,5,A,2,1,TRIANGLE,1.328228,28,0,0,1,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,6,B,3,1,DIAMOND,0.000052,28,1,1,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,0,A,1,2,TRIANGLE,0.000030,64,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,1,B,1,1,CIRCLE,1.300631,53,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,2,A,0,1,SQUARE,1.600201,50,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,3,B,0,3,DIAMOND,1.300334,40,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,4,A,2,2,CIRCLE,1.600191,38,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,5,B,3,2,SQUARE,0.601565,29,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,6,A,2,1,SQUARE,0.725155,25,0,0,1,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,7,B,0,2,DIAMOND,0.000037,22,1,1,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020002__Bstart,0,B,1,1,CIRCLE,1.300572,64,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020002__Bstart,1,A,0,1,SQUARE,1.600353,53,0,0,0,0,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020002__Bstart,2,B,2,2,SQUARE,1.300297,50,0,0,0,1,ok
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020002__Bstart,3,A,1,2,DIAMOND,1.600298,39,0,0,0,1,ok
