game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150001__Astart,,A,B,victory,10,"3,0,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 2,0,DIAMOND",4.468911,3.665915,5,5,182,158,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.680770,3.901809,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5160001__Astart,,A,A,victory,11,"3,1,DIAMOND | 1,1,CIRCLE | 1,0,SQUARE | 0,2,SQUARE",4.716651,4.279821,6,5,201,139,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5160002__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",6.967332,4.134142,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6170001__Astart,,A,B,victory,10,"3,2,SQUARE | 1,2,CIRCLE | 1,3,TRIANGLE | 0,0,SQUARE",4.721176,3.350282,5,5,185,149,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6170002__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",6.995426,4.141505,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7180001__Astart,,A,B,victory,10,"2,2,CIRCLE | 1,1,CIRCLE | 0,0,SQUARE | 2,3,SQUARE",4.841655,3.942435,5,5,191,149,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7180002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.801213,3.902745,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8190001__Astart,,A,B,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 2,1,SQUARE | 3,0,TRIANGLE",4.728008,3.231190,5,5,180,169,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8190002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.800706,3.903871,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9200001__Astart,,A,B,victory,10,"1,2,CIRCLE | 1,1,SQUARE | 0,1,TRIANGLE | 0,3,DIAMOND",4.769649,3.407290,5,5,187,156,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9200002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.749192,3.902355,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010003__Astart,,A,A,victory,11,"1,3,TRIANGLE | 1,1,CIRCLE | 0,1,SQUARE | 2,0,SQUARE",4.731180,4.363051,6,5,198,139,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.715885,3.902865,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020003__Astart,,A,B,no_move,12,"2,1,DIAMOND | 1,2,CIRCLE | 2,2,SQUARE | 0,0,SQUARE",5.411857,3.134698,6,6,189,152,0,0,0,0,0,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020004__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",6.976086,4.110151,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3030003__Astart,,A,B,victory,10,"2,2,TRIANGLE | 1,2,CIRCLE | 1,3,SQUARE | 3,3,DIAMOND",4.780299,3.611785,5,5,187,153,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3030004__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,TRIANGLE",4.801053,3.902988,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4040003__Astart,,A,B,victory,10,"3,0,SQUARE | 1,2,CIRCLE | 0,2,TRIANGLE | 2,1,DIAMOND",4.786773,2.968774,5,5,186,147,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4040004__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",6.976444,4.155515,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5050003__Astart,,A,B,victory,10,"1,1,CIRCLE | 1,2,SQUARE | 0,2,TRIANGLE | 0,0,DIAMOND",4.781794,3.523787,5,5,187,156,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5050004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.760870,3.903366,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6060003__Astart,,A,A,victory,11,"2,1,TRIANGLE | 1,2,CIRCLE | 1,1,SQUARE | 2,3,SQUARE",4.772609,4.594298,6,5,211,145,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6060004__Bstart,,B,B,no_move,15,"1,2,CIRCLE | 1,1,SQUARE | 2,1,TRIANGLE | 2,2,DIAMOND",6.955473,4.539188,7,8,150,206,1,1,0,0,0,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7070003__Astart,,A,A,victory,11,"2,3,CIRCLE | 1,1,CIRCLE | 1,2,SQUARE | 2,1,SQUARE",4.783851,4.765599,6,5,194,146,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7070004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.800474,3.902610,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8080003__Astart,,A,B,victory,10,"3,3,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE | 2,2,TRIANGLE",4.677819,2.836620,5,5,180,148,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8080004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.752457,3.903161,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9090003__Astart,,A,B,victory,10,"3,2,DIAMOND | 1,2,CIRCLE | 1,3,SQUARE | 0,0,SQUARE",4.767205,3.143675,5,5,191,144,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9090004__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",6.984063,4.119891,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1120003__Astart,,A,B,victory,10,"2,2,SQUARE | 1,1,CIRCLE | 0,0,TRIANGLE | 0,3,SQUARE",4.838884,3.269267,5,5,187,153,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1120004__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.800957,3.903676,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2130003__Astart,,A,B,victory,10,"3,3,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE | 2,2,DIAMOND",4.775476,2.990563,5,5,186,147,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2130004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.715309,3.907130,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3140003__Astart,,A,B,victory,10,"2,1,DIAMOND | 1,1,CIRCLE | 1,0,SQUARE | 3,0,TRIANGLE",4.772101,3.274839,5,5,187,154,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3140004__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,2,TRIANGLE | 2,1,DIAMOND",7.006761,4.154613,6,7,149,205,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150003__Astart,,A,B,victory,10,"2,1,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 3,0,DIAMOND",4.833606,3.598442,5,5,188,156,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.801799,3.905175,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5160003__Astart,,A,B,victory,10,"1,1,CIRCLE | 1,2,SQUARE | 0,2,TRIANGLE | 0,0,DIAMOND",4.779990,3.558382,5,5,187,156,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5160004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.790126,3.902870,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6170003__Astart,,A,B,victory,10,"0,3,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE | 0,2,DIAMOND",4.290710,2.999712,5,5,182,158,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6170004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.732695,3.902191,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7180003__Astart,,A,B,victory,10,"0,0,SQUARE | 1,1,CIRCLE | 2,2,CIRCLE | 2,3,SQUARE",4.952394,3.120535,5,5,192,155,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7180004__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,TRIANGLE",4.803109,3.908556,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8190003__Astart,,A,B,victory,10,"0,0,TRIANGLE | 1,1,CIRCLE | 2,1,SQUARE | 3,0,DIAMOND",4.862118,3.461590,5,5,193,154,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8190004__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.800998,3.903109,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9200003__Astart,,A,B,victory,10,"0,2,TRIANGLE | 1,1,CIRCLE | 1,2,SQUARE | 0,3,DIAMOND",4.751846,3.198412,5,5,180,169,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9200004__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,TRIANGLE",4.801071,3.902275,3,4,120,179,0,0,0,0,1,0
