game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS+__vs__MCTS+__seed6060002__Bstart,,B,B,victory,13,"3,3,DIAMOND | 1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE",4.621223,7.200928,6,7,136,205,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070001__Astart,,A,B,victory,12,"1,2,CIRCLE | 1,0,TRIANGLE | 1,1,CIRCLE | 0,3,DIAMOND",4.701341,6.000380,6,6,158,150,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070002__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,2,CIRCLE | 0,1,SQUARE | 2,3,SQUARE",3.607077,3.620528,3,4,118,175,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080001__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",4.041000,4.800646,5,4,183,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080002__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,SQUARE | 3,0,DIAMOND | 0,3,CIRCLE",3.821959,4.800604,4,5,130,193,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090001__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",3.987536,4.800452,5,4,186,127,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 1,2,SQUARE | 3,0,DIAMOND | 2,3,TRIANGLE",2.762791,6.000577,5,5,145,176,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120001__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,TRIANGLE",3.669153,4.800449,5,4,188,138,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 2,1,CIRCLE | 1,0,TRIANGLE | 1,1,CIRCLE",3.503852,4.800591,4,5,124,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE | 0,1,DIAMOND",4.014375,4.800523,5,4,179,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130002__Bstart,,B,B,victory,11,"0,2,CIRCLE | 2,1,CIRCLE | 1,0,SQUARE | 1,1,CIRCLE",4.002902,6.000613,5,6,130,197,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140001__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",4.029068,4.801752,5,4,181,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140002__Bstart,,B,B,victory,9,"3,2,CIRCLE | 2,1,CIRCLE | 1,3,DIAMOND | 1,1,CIRCLE",3.554682,4.800735,4,5,125,203,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150001__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,0,DIAMOND | 0,1,SQUARE | 1,3,TRIANGLE",4.792270,4.800521,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150002__Bstart,,B,B,victory,11,"2,2,CIRCLE | 1,1,SQUARE | 0,3,SQUARE | 3,0,CIRCLE",4.706834,6.000597,5,6,131,201,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160001__Astart,,A,B,victory,10,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 0,1,DIAMOND",4.864150,4.800466,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160002__Bstart,,B,B,victory,9,"1,2,SQUARE | 1,1,CIRCLE | 3,3,DIAMOND | 2,0,TRIANGLE",3.543131,4.807266,4,5,126,186,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170001__Astart,,A,B,victory,10,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 0,1,DIAMOND",4.873807,4.800409,5,5,185,148,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170002__Bstart,,B,B,no_move,9,"1,3,TRIANGLE | 2,1,CIRCLE | 0,0,SQUARE | 1,2,DIAMOND",3.535181,6.000664,4,5,127,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180001__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,2,TRIANGLE | 1,2,CIRCLE | 3,3,SQUARE",4.802720,4.800408,5,5,155,150,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180002__Bstart,,B,B,victory,13,"1,1,CIRCLE | 1,2,SQUARE | 2,0,TRIANGLE | 2,3,CIRCLE",4.724018,7.200624,6,7,136,207,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8190001__Astart,,A,A,victory,9,"1,2,CIRCLE | 0,0,SQUARE | 2,3,SQUARE | 3,1,CIRCLE",3.598679,4.800457,5,4,188,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190002__Bstart,,B,B,no_move,9,"0,3,DIAMOND | 1,1,CIRCLE | 1,0,SQUARE | 2,2,TRIANGLE",3.480760,6.000697,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200001__Astart,,A,A,victory,9,"1,2,CIRCLE | 2,0,CIRCLE | 2,1,SQUARE | 3,3,TRIANGLE",4.082222,4.800485,5,4,185,137,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200002__Bstart,,B,B,no_move,9,"0,2,DIAMOND | 1,2,CIRCLE | 2,3,SQUARE | 3,1,TRIANGLE",3.519006,6.006505,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010003__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,2,SQUARE | 2,1,TRIANGLE | 0,0,DIAMOND",3.999563,6.001143,6,5,190,144,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1010004__Bstart,,B,A,victory,10,"0,1,SQUARE | 1,1,CIRCLE | 2,0,DIAMOND | 3,0,TRIANGLE",3.029524,6.000574,5,5,147,187,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,1,DIAMOND",3.990578,6.000507,6,5,187,130,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020004__Bstart,,B,B,no_move,9,"1,0,SQUARE | 1,1,CIRCLE | 0,3,TRIANGLE | 2,2,DIAMOND",3.483929,6.000729,4,5,128,172,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030003__Astart,,A,A,no_move,13,"1,2,CIRCLE | 3,1,CIRCLE | 2,1,SQUARE | 0,0,TRIANGLE",3.972367,7.200389,7,6,201,145,0,1,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030004__Bstart,,B,B,no_move,11,"0,3,DIAMOND | 1,1,CIRCLE | 3,2,TRIANGLE | 2,2,SQUARE",3.489827,7.200683,5,6,129,174,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040003__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,1,TRIANGLE | 2,1,SQUARE | 0,0,CIRCLE",3.976180,4.811041,5,4,186,138,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4040004__Bstart,,B,B,victory,9,"3,2,CIRCLE | 1,1,CIRCLE | 0,3,DIAMOND | 2,2,DIAMOND",3.941210,4.800857,4,5,132,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",4.001425,4.800461,5,4,179,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050004__Bstart,,B,B,no_move,11,"2,3,SQUARE | 1,1,CIRCLE | 0,2,DIAMOND | 0,3,TRIANGLE",3.674804,7.200594,5,6,130,201,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060003__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,CIRCLE",3.530368,4.808307,5,4,189,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6060004__Bstart,,B,B,victory,13,"1,3,SQUARE | 1,1,CIRCLE | 0,0,DIAMOND | 2,2,TRIANGLE",4.472913,7.207294,6,7,138,206,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070003__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,CIRCLE | 2,2,SQUARE | 3,0,TRIANGLE",3.683109,6.000478,6,5,191,149,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070004__Bstart,,B,A,victory,10,"1,1,DIAMOND | 2,1,CIRCLE | 0,3,SQUARE | 3,2,TRIANGLE",2.770325,6.010295,5,5,145,172,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080003__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,0,TRIANGLE | 0,1,SQUARE | 1,3,DIAMOND",4.797541,4.800388,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080004__Bstart,,B,B,victory,11,"2,2,SQUARE | 1,2,CIRCLE | 3,1,DIAMOND | 0,0,SQUARE",4.077470,6.000875,5,6,130,195,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090003__Astart,,A,B,victory,10,"1,2,CIRCLE | 1,0,TRIANGLE | 1,1,CIRCLE | 0,3,SQUARE",4.749218,4.800637,5,5,164,155,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090004__Bstart,,B,B,victory,9,"3,2,CIRCLE | 2,1,CIRCLE | 1,3,TRIANGLE | 0,0,TRIANGLE",3.771412,4.800635,4,5,135,188,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120003__Astart,,A,A,victory,9,"1,2,CIRCLE | 0,1,TRIANGLE | 2,1,SQUARE | 3,3,DIAMOND",3.913799,4.800399,5,4,192,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1120004__Bstart,,B,B,no_move,9,"0,0,DIAMOND | 1,1,CIRCLE | 1,3,SQUARE | 2,2,TRIANGLE",3.616293,6.004646,4,5,130,173,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130003__Astart,,A,B,victory,10,"1,2,CIRCLE | 2,3,TRIANGLE | 2,1,SQUARE | 0,2,DIAMOND",4.865261,4.805312,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130004__Bstart,,B,B,no_move,9,"3,3,TRIANGLE | 1,2,CIRCLE | 0,2,SQUARE | 2,1,DIAMOND",3.551839,6.000986,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140003__Astart,,A,A,victory,11,"1,2,CIRCLE | 0,0,DIAMOND | 0,1,SQUARE | 1,3,TRIANGLE",4.041888,6.000607,6,5,190,143,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140004__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 1,1,CIRCLE | 2,3,SQUARE | 0,3,DIAMOND",4.295992,4.800860,4,5,135,189,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE | 2,0,DIAMOND",3.680582,4.800453,5,4,187,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4150004__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,2,CIRCLE | 1,1,SQUARE | 2,3,SQUARE",3.430740,3.600699,3,4,119,176,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160003__Astart,,A,B,no_move,10,"1,2,CIRCLE | 3,1,DIAMOND | 2,1,SQUARE | 0,0,TRIANGLE",4.753991,6.000478,5,5,180,135,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160004__Bstart,,B,B,victory,9,"3,1,DIAMOND | 1,1,CIRCLE | 2,2,SQUARE | 3,0,SQUARE",4.093077,4.800600,4,5,128,187,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170003__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",4.811717,4.800503,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170004__Bstart,,B,B,victory,11,"3,1,DIAMOND | 1,2,CIRCLE | 2,3,TRIANGLE | 0,1,SQUARE",4.317764,6.001019,5,6,133,190,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180003__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,DIAMOND",3.613548,4.801510,5,4,188,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7180004__Bstart,,B,A,victory,10,"0,1,SQUARE | 1,1,CIRCLE | 2,0,DIAMOND | 3,0,TRIANGLE",2.947497,6.001587,5,5,147,187,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 0,1,DIAMOND",4.024220,5.999550,6,5,200,141,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190004__Bstart,,B,B,victory,13,"3,0,SQUARE | 1,2,CIRCLE | 2,3,TRIANGLE | 2,1,DIAMOND",4.805063,7.199906,6,7,137,205,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200003__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE | 2,0,CIRCLE",3.658990,4.800222,5,4,188,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200004__Bstart,,B,B,no_move,13,"1,3,DIAMOND | 2,1,CIRCLE | 0,0,TRIANGLE | 1,2,SQUARE",3.948613,8.400385,6,7,132,171,1,1,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010005__Astart,,A,A,victory,9,"1,2,CIRCLE | 2,1,CIRCLE | 0,0,SQUARE | 3,3,DIAMOND",3.571033,4.804916,5,4,188,138,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1010006__Bstart,,B,A,victory,12,"0,1,CIRCLE | 1,2,CIRCLE | 2,3,TRIANGLE | 2,1,SQUARE",3.188870,7.200644,6,6,146,192,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020005__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,2,SQUARE | 2,1,TRIANGLE | 0,0,DIAMOND",4.000677,6.000472,6,5,190,144,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020006__Bstart,,B,B,victory,11,"2,0,CIRCLE | 1,1,CIRCLE | 3,3,DIAMOND | 0,2,SQUARE",4.216070,6.000979,5,6,128,193,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030005__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,3,SQUARE | 0,2,SQUARE | 2,0,DIAMOND",3.667161,4.800379,5,4,187,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3030006__Bstart,,B,B,victory,13,"1,3,SQUARE | 1,1,CIRCLE | 2,0,DIAMOND | 2,2,TRIANGLE",4.209531,7.200759,6,7,131,195,1,1,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.990069,4.800453,5,4,185,126,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4040006__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 1,1,CIRCLE | 0,3,SQUARE | 2,2,DIAMOND",3.684081,4.800624,4,5,125,188,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050005__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.995433,6.000549,6,5,190,132,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050006__Bstart,,B,B,victory,7,"2,1,SQUARE | 1,1,CIRCLE | 3,2,TRIANGLE | 0,2,SQUARE",3.404268,3.600619,3,4,119,178,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060005__Astart,,A,B,victory,8,"1,2,CIRCLE | 0,3,TRIANGLE | 2,1,TRIANGLE | 3,2,DIAMOND",4.297882,3.601160,4,4,164,145,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060006__Bstart,,B,B,victory,9,"0,0,CIRCLE | 2,1,CIRCLE | 1,2,SQUARE | 3,3,SQUARE",4.295714,4.800737,4,5,133,189,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7070005__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,CIRCLE",4.042073,4.808517,5,4,186,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070006__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE",3.523589,4.800653,4,5,133,197,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080005__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,0,TRIANGLE | 2,2,TRIANGLE | 3,1,DIAMOND",4.297232,3.600550,4,4,164,145,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080006__Bstart,,B,B,no_move,13,"2,0,TRIANGLE | 1,2,CIRCLE | 0,1,DIAMOND | 0,0,SQUARE",4.447917,8.400788,6,7,136,207,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090005__Astart,,A,B,victory,8,"1,1,CIRCLE | 3,2,DIAMOND | 2,2,SQUARE | 0,3,TRIANGLE",4.427284,3.600435,4,4,170,139,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090006__Bstart,,B,B,victory,11,"3,0,CIRCLE | 1,2,CIRCLE | 0,0,DIAMOND | 1,1,CIRCLE",4.170244,6.000674,5,6,132,188,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120005__Astart,,A,B,victory,8,"1,2,CIRCLE | 3,1,DIAMOND | 2,1,SQUARE | 0,0,TRIANGLE",4.349579,3.600496,4,4,171,138,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120006__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 0,1,DIAMOND | 3,0,TRIANGLE",3.174018,6.000576,5,5,147,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",4.002205,4.800977,5,4,181,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2130006__Bstart,,B,B,no_move,9,"2,3,DIAMOND | 1,1,CIRCLE | 3,0,SQUARE | 2,2,TRIANGLE",3.544153,6.000780,4,5,127,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140005__Astart,,A,A,victory,11,"1,2,CIRCLE | 1,0,SQUARE | 2,1,SQUARE | 3,3,TRIANGLE",3.657307,6.000407,6,5,192,149,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3140006__Bstart,,B,B,victory,7,"0,2,SQUARE | 1,1,CIRCLE | 2,3,DIAMOND | 2,0,SQUARE",3.543229,3.600953,3,4,118,176,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150005__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,TRIANGLE",3.801272,4.800650,5,4,189,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4150006__Bstart,,B,B,victory,13,"1,3,TRIANGLE | 1,1,CIRCLE | 0,0,DIAMOND | 2,2,SQUARE",4.479941,7.200644,6,7,138,206,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5160005__Astart,,A,A,victory,9,"1,2,CIRCLE | 1,3,SQUARE | 2,1,SQUARE | 0,0,TRIANGLE",4.077553,4.800683,5,4,186,137,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5160006__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,CIRCLE | 3,2,TRIANGLE | 0,0,TRIANGLE",4.294523,4.800620,4,5,129,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170005__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,1,SQUARE | 2,1,TRIANGLE | 1,3,DIAMOND",4.868008,4.800417,5,5,185,148,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170006__Bstart,,B,B,victory,11,"2,2,CIRCLE | 1,1,CIRCLE | 0,3,SQUARE | 2,0,SQUARE",4.436058,6.000821,5,6,133,206,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180005__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",4.009095,4.800369,5,4,181,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7180006__Bstart,,B,B,no_move,9,"0,0,DIAMOND | 1,1,CIRCLE | 3,1,TRIANGLE | 2,2,SQUARE",3.617663,6.000414,4,5,130,173,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed8190005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.944725,4.800523,5,4,187,129,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190006__Bstart,,B,B,no_move,9,"0,3,TRIANGLE | 1,1,CIRCLE | 1,0,SQUARE | 2,2,DIAMOND",3.489654,6.000682,4,5,128,170,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200005__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,TRIANGLE",3.728119,4.800544,5,4,189,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200006__Bstart,,B,B,victory,13,"3,3,TRIANGLE | 1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE",4.287871,7.200604,6,7,136,206,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010007__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.935225,4.800351,5,4,187,129,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1010008__Bstart,,B,A,victory,8,"2,1,SQUARE | 1,1,CIRCLE | 0,0,TRIANGLE | 3,0,DIAMOND",2.735774,4.800651,4,4,142,169,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020007__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 1,0,TRIANGLE",3.934729,4.800341,5,4,185,129,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020008__Bstart,,B,B,victory,9,"0,3,DIAMOND | 1,1,CIRCLE | 1,0,SQUARE | 2,2,TRIANGLE",3.488877,4.800663,4,5,130,169,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030007__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,1,TRIANGLE | 2,1,SQUARE | 1,3,DIAMOND",4.847756,4.800406,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030008__Bstart,,B,A,victory,10,"0,1,TRIANGLE | 1,1,CIRCLE | 2,0,DIAMOND | 3,0,SQUARE",3.011350,6.003740,5,5,144,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed4040007__Astart,,A,B,victory,10,"1,2,CIRCLE | 2,3,TRIANGLE | 2,1,SQUARE | 0,2,DIAMOND",4.870370,4.800494,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040008__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 1,2,CIRCLE | 3,0,SQUARE | 0,0,DIAMOND",4.298485,4.800850,4,5,138,194,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050007__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,SQUARE | 0,2,SQUARE | 2,3,CIRCLE",3.616731,4.800319,5,4,188,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050008__Bstart,,B,B,no_move,11,"1,2,DIAMOND | 1,1,CIRCLE | 3,3,SQUARE | 2,0,TRIANGLE",3.527143,7.200904,5,6,127,188,1,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060007__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,CIRCLE",4.037364,4.800520,5,4,188,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6060008__Bstart,,B,A,victory,12,"0,1,CIRCLE | 1,2,CIRCLE | 3,0,SQUARE | 2,3,SQUARE",3.568469,7.200575,6,6,143,190,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070007__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",3.995263,4.800430,5,4,184,127,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070008__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 1,2,CIRCLE | 0,1,SQUARE | 2,1,DIAMOND",3.767894,4.800618,4,5,126,191,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080007__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,1,SQUARE | 2,1,TRIANGLE | 1,3,DIAMOND",4.873866,4.800494,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080008__Bstart,,B,B,victory,11,"0,1,CIRCLE | 2,2,CIRCLE | 3,0,SQUARE | 1,1,SQUARE",4.211244,6.000760,5,6,136,194,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed9090007__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,TRIANGLE | 0,0,SQUARE | 2,3,CIRCLE",3.610342,4.800572,5,4,188,138,0,0,0,0,0,1
