game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS+__vs__MCTS+__seed7070011__Astart,,A,A,victory,11,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,DIAMOND",3.632927,6.000515,6,5,190,145,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7070012__Bstart,,B,A,victory,10,"1,2,DIAMOND | 1,1,CIRCLE | 0,0,TRIANGLE | 0,3,SQUARE",3.055400,6.000497,5,5,150,187,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8080011__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",4.793746,4.800444,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed8080012__Bstart,,B,A,victory,10,"1,0,DIAMOND | 1,1,CIRCLE | 0,2,TRIANGLE | 0,3,SQUARE",3.076832,6.000714,5,5,147,187,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090011__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",4.058346,4.800428,5,4,179,135,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9090012__Bstart,,B,B,no_move,9,"3,0,TRIANGLE | 1,2,CIRCLE | 0,1,SQUARE | 2,1,DIAMOND",3.847022,6.000806,4,5,128,173,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120011__Astart,,A,B,victory,10,"1,2,CIRCLE | 2,3,TRIANGLE | 2,1,SQUARE | 0,2,DIAMOND",4.854895,4.800525,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1120012__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,SQUARE | 3,0,DIAMOND | 0,3,CIRCLE",3.824877,4.800513,4,5,130,193,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130011__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,1,TRIANGLE | 2,1,SQUARE | 1,3,DIAMOND",4.830039,4.800425,5,5,185,148,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2130012__Bstart,,B,B,no_move,9,"0,3,TRIANGLE | 1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE",3.480511,6.000394,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140011__Astart,,A,B,victory,10,"1,1,CIRCLE | 0,2,TRIANGLE | 2,2,SQUARE | 1,0,DIAMOND",4.834635,4.800438,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3140012__Bstart,,B,B,victory,13,"0,0,SQUARE | 1,1,CIRCLE | 3,1,DIAMOND | 2,2,TRIANGLE",3.998458,7.200456,6,7,140,205,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150011__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,1,SQUARE | 2,1,TRIANGLE | 1,3,DIAMOND",4.858261,4.800472,5,5,184,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4150012__Bstart,,B,A,victory,12,"0,1,CIRCLE | 1,2,CIRCLE | 2,3,DIAMOND | 2,1,SQUARE",3.210428,7.200809,6,6,146,192,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5160011__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE | 2,1,CIRCLE",4.023009,4.800405,5,4,186,136,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5160012__Bstart,,B,B,no_move,9,"1,3,SQUARE | 2,1,CIRCLE | 3,2,DIAMOND | 0,3,TRIANGLE",3.581786,6.000701,4,5,127,168,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed6170011__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 0,0,SQUARE | 2,3,TRIANGLE",3.733908,4.800540,5,4,189,139,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed6170012__Bstart,,B,B,no_move,9,"0,3,TRIANGLE | 1,1,CIRCLE | 1,0,SQUARE | 2,2,DIAMOND",3.479649,6.000581,4,5,128,171,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed7180011__Astart,,A,A,victory,11,"1,2,CIRCLE | 0,0,TRIANGLE | 0,1,SQUARE | 1,3,DIAMOND",4.031950,6.000492,6,5,188,143,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed7180012__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE | 3,0,DIAMOND",3.086465,6.000545,5,5,147,186,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190011__Astart,,A,A,victory,11,"1,2,CIRCLE | 0,0,TRIANGLE | 0,1,SQUARE | 1,3,DIAMOND",4.032991,6.000428,6,5,189,143,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed8190012__Bstart,,B,B,no_move,9,"2,3,DIAMOND | 1,1,CIRCLE | 3,0,SQUARE | 2,2,TRIANGLE",3.522946,6.001325,4,5,127,170,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed9200011__Astart,,A,A,victory,11,"1,2,CIRCLE | 0,1,DIAMOND | 2,1,SQUARE | 1,3,TRIANGLE",4.015755,6.000481,6,5,196,141,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed9200012__Bstart,,B,B,victory,9,"3,2,CIRCLE | 1,1,CIRCLE | 0,3,DIAMOND | 2,2,DIAMOND",3.738620,4.800687,4,5,131,188,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010013__Astart,,A,B,victory,10,"1,2,CIRCLE | 0,0,DIAMOND | 0,1,SQUARE | 1,3,TRIANGLE",4.790140,4.800366,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed1010014__Bstart,,B,B,no_move,9,"2,0,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND | 2,1,TRIANGLE",3.527684,6.000589,4,5,127,170,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed2020013__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",4.799950,4.800409,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2020014__Bstart,,B,B,no_move,13,"0,3,TRIANGLE | 1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE",4.510545,8.400567,6,7,136,204,0,0,0,0,0,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030013__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 0,1,TRIANGLE",4.794670,4.812724,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030014__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 1,1,CIRCLE | 0,2,SQUARE | 2,2,DIAMOND",3.729778,4.800480,4,5,126,191,0,0,0,0,1,0
