game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,0,A,1,1,CIRCLE,1.300422,64,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,1,B,0,2,CIRCLE,1.200156,53,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,2,A,2,2,SQUARE,1.300507,49,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,3,B,3,0,TRIANGLE,1.200222,39,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,4,A,1,3,TRIANGLE,0.910436,35,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,5,B,2,3,DIAMOND,1.200098,27,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,6,A,0,0,DIAMOND,0.166415,23,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,7,B,3,1,SQUARE,1.200069,18,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,8,A,1,2,SQUARE,0.008876,13,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,9,B,3,2,CIRCLE,1.200040,12,0,0,1,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,10,A,1,0,DIAMOND,0.000023,7,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,0,B,0,0,DIAMOND,1.205331,64,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,1,A,1,1,CIRCLE,1.300682,53,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,2,B,2,1,TRIANGLE,1.200303,50,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,3,A,3,0,SQUARE,1.300456,40,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,4,B,1,2,TRIANGLE,1.200094,38,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,5,A,0,2,SQUARE,0.416470,29,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,6,B,3,3,CIRCLE,1.200048,17,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,7,A,2,3,DIAMOND,0.006844,8,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,8,B,2,0,CIRCLE,1.200024,7,0,0,1,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,9,A,3,1,DIAMOND,0.000020,5,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,0,A,1,2,CIRCLE,1.301077,64,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,1,B,3,3,DIAMOND,1.200292,53,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,2,A,2,3,SQUARE,1.300701,49,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,3,B,0,2,TRIANGLE,1.206719,39,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,4,A,3,0,TRIANGLE,1.300547,36,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,5,B,2,1,CIRCLE,1.200078,26,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,6,A,1,1,SQUARE,0.509603,24,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,7,B,1,0,DIAMOND,1.200054,17,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,8,A,1,3,CIRCLE,0.391563,6,0,0,1,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,9,B,0,3,TRIANGLE,0.000025,7,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,0,B,2,0,SQUARE,1.200230,64,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,1,A,1,1,CIRCLE,1.300345,53,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,2,B,0,1,DIAMOND,1.200170,49,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,3,A,3,0,TRIANGLE,1.300677,39,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,4,B,1,2,TRIANGLE,1.200098,36,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,5,A,0,2,SQUARE,0.437035,26,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,6,B,3,3,CIRCLE,1.200074,24,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,7,A,2,3,DIAMOND,0.015283,14,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,8,B,1,3,TRIANGLE,1.200035,12,0,0,1,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,9,A,0,3,SQUARE,0.000022,10,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,0,A,1,1,CIRCLE,1.300776,64,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,1,B,0,0,TRIANGLE,1.200193,53,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,2,A,2,2,TRIANGLE,1.300386,50,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,3,B,1,3,DIAMOND,1.200192,39,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,4,A,1,2,CIRCLE,1.300394,36,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,5,B,3,2,SQUARE,1.200070,31,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,6,A,2,1,SQUARE,0.394696,14,0,0,1,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,7,B,0,2,DIAMOND,0.000041,22,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,0,B,2,0,DIAMOND,1.200429,64,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,1,A,1,2,CIRCLE,1.300840,53,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,2,B,0,1,TRIANGLE,1.200162,49,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,3,A,0,0,SQUARE,1.300597,38,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,4,B,3,0,CIRCLE,1.200088,36,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,5,A,1,0,SQUARE,0.599631,28,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,6,B,1,3,DIAMOND,1.200082,30,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,7,A,1,1,CIRCLE,0.408540,10,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,8,B,3,3,TRIANGLE,1.200036,16,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,9,A,3,2,DIAMOND,0.000306,1,0,0,1,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,10,B,3,1,SQUARE,0.000018,5,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,0,A,1,1,CIRCLE,1.300594,64,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,1,B,0,2,DIAMOND,1.200324,53,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,2,A,2,2,SQUARE,1.300194,49,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,3,B,3,3,CIRCLE,1.200109,39,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,4,A,2,1,CIRCLE,1.300581,36,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,5,B,1,0,TRIANGLE,1.200067,31,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,6,A,1,2,SQUARE,0.456460,18,0,0,1,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,7,B,1,3,DIAMOND,0.000047,24,1,1,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,0,B,2,3,DIAMOND,1.200378,64,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,1,A,1,1,CIRCLE,1.300650,53,0,0,0,1,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,2,B,0,2,SQUARE,1.200198,49,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,3,A,2,0,SQUARE,1.300376,38,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,4,B,3,3,CIRCLE,1.200082,35,0,0,0,0,ok
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,5,A,1,2,CIRCLE,1.155575,26,0,0,0,1,ok
