game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta (baseline)__vs__AlphaBeta+__seed4150002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.682589,3.999899,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.492516,3.769078,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.659229,3.975480,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.375391,3.764552,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.635219,3.964507,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.267064,3.769733,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.749062,3.955149,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.482990,3.765958,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.690473,3.962255,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.323870,3.767101,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.607898,3.967286,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.291010,3.766729,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1010004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.794959,4.002188,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.337400,3.762399,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed2020004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.715222,3.980653,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.445033,3.772548,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed3030004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.504323,3.982827,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.523036,3.762155,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed4040004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.831751,3.970961,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.390494,3.760969,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5050004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.686674,3.942376,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.393013,3.765895,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6060004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.690515,3.953817,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7070003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.399531,3.766510,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7070004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.577172,3.963821,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8080003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.516178,3.764620,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8080004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.626902,3.959355,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9090003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.245733,3.768419,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9090004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.619549,3.974769,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed1120003__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.281980,3.761111,5,5,180,141,0,0,0,0,1,0
