game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,0,A,2,2,SQUARE,0.600193,64,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,1,B,2,0,TRIANGLE,1.200330,53,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,2,A,0,2,DIAMOND,0.600090,50,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,3,B,1,1,CIRCLE,1.200209,41,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,4,A,2,1,DIAMOND,0.600136,35,0,0,1,1,ok
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,5,B,2,3,CIRCLE,0.000076,31,1,1,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,0,B,1,3,DIAMOND,1.200446,64,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,1,A,1,2,CIRCLE,0.600184,53,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,2,B,0,0,TRIANGLE,1.200230,50,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,3,A,3,1,CIRCLE,0.600096,39,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,4,B,1,0,SQUARE,1.203688,37,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,5,A,2,1,TRIANGLE,0.600096,18,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,6,B,0,1,DIAMOND,1.200158,25,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,7,A,3,2,TRIANGLE,0.601060,14,0,0,1,0,ok
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,8,B,1,1,SQUARE,0.000029,10,1,1,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,0,A,3,1,SQUARE,0.600176,64,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,1,B,0,0,CIRCLE,1.200644,53,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,2,A,2,3,DIAMOND,0.600132,49,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,3,B,1,2,TRIANGLE,1.200242,38,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,4,A,0,2,SQUARE,0.600084,34,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,5,B,0,1,DIAMOND,1.200217,27,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,6,A,3,3,TRIANGLE,0.600061,15,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,7,B,2,1,CIRCLE,1.200151,17,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,8,A,2,2,DIAMOND,0.600060,9,0,0,1,1,ok
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,9,B,1,1,TRIANGLE,0.000049,7,1,1,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,0,B,3,2,SQUARE,1.201047,64,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,1,A,1,2,CIRCLE,0.600369,53,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,2,B,0,0,TRIANGLE,1.200257,50,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,3,A,2,1,CIRCLE,0.600203,39,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,4,B,1,3,DIAMOND,1.200093,37,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,5,A,2,0,SQUARE,0.600066,14,0,0,0,0,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,6,B,2,2,TRIANGLE,1.200156,26,0,0,0,1,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,7,A,3,0,DIAMOND,0.600021,8,0,0,1,0,ok
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,8,B,0,2,DIAMOND,0.000031,11,1,1,0,0,ok
