game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS+__seed7070005__Astart,,A,B,victory,10,"3,0,CIRCLE | 0,3,DIAMOND | 3,2,CIRCLE | 2,2,TRIANGLE",3.000505,4.801227,5,5,161,150,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7070006__Bstart,,B,B,victory,11,"0,3,DIAMOND | 3,1,CIRCLE | 1,1,SQUARE | 1,3,CIRCLE",3.000295,6.000963,5,6,118,192,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8080005__Astart,,A,B,victory,10,"3,0,TRIANGLE | 1,0,CIRCLE | 2,3,TRIANGLE | 0,2,DIAMOND",3.005843,4.800660,5,5,158,154,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8080006__Bstart,,B,B,victory,5,"3,0,TRIANGLE | 2,1,SQUARE | 2,2,CIRCLE | 2,0,DIAMOND",1.200384,2.400837,2,3,93,154,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9090005__Astart,,A,B,victory,10,"2,3,CIRCLE | 1,2,CIRCLE | 3,1,CIRCLE | 0,0,DIAMOND",3.000437,4.800958,5,5,165,157,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9090006__Bstart,,B,B,victory,11,"3,0,CIRCLE | 2,0,DIAMOND | 1,1,SQUARE | 0,2,DIAMOND",3.004579,6.016832,5,6,127,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1120005__Astart,,A,B,victory,8,"1,3,SQUARE | 3,3,CIRCLE | 0,0,SQUARE | 2,1,TRIANGLE",2.400659,3.600977,4,4,151,150,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1120006__Bstart,,B,B,victory,11,"3,3,CIRCLE | 1,0,SQUARE | 1,2,DIAMOND | 3,2,SQUARE",3.001785,6.001176,5,6,118,192,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130005__Astart,,A,B,victory,8,"1,0,DIAMOND | 0,3,CIRCLE | 0,0,TRIANGLE | 2,1,SQUARE",2.400524,3.600372,4,4,163,132,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130006__Bstart,,B,B,victory,9,"2,3,DIAMOND | 1,0,DIAMOND | 3,1,CIRCLE | 0,2,TRIANGLE",2.403461,4.801488,4,5,136,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3140005__Astart,,A,B,no_move,12,"2,2,SQUARE | 3,1,DIAMOND | 1,0,SQUARE | 0,3,DIAMOND",3.600490,7.201290,6,6,162,129,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed3140006__Bstart,,B,B,victory,7,"0,2,SQUARE | 3,2,DIAMOND | 1,0,TRIANGLE | 1,1,DIAMOND",1.800322,3.600904,3,4,111,179,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4150005__Astart,,A,B,victory,10,"2,1,DIAMOND | 3,1,CIRCLE | 2,3,CIRCLE | 1,0,SQUARE",3.000363,4.800775,5,5,168,148,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4150006__Bstart,,B,B,victory,9,"1,3,TRIANGLE | 2,1,CIRCLE | 3,2,DIAMOND | 0,3,CIRCLE",2.403461,4.801300,4,5,117,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5160005__Astart,,A,B,victory,8,"0,2,TRIANGLE | 3,0,CIRCLE | 0,0,TRIANGLE | 2,1,SQUARE",2.400491,3.600512,4,4,155,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5160006__Bstart,,B,B,victory,11,"0,0,CIRCLE | 3,1,TRIANGLE | 3,2,SQUARE | 1,2,TRIANGLE",3.000367,6.001150,5,6,115,190,1,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6170005__Astart,,A,B,victory,10,"0,3,DIAMOND | 2,3,TRIANGLE | 1,1,DIAMOND | 3,0,CIRCLE",3.000528,4.800745,5,5,158,154,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6170006__Bstart,,B,B,victory,11,"2,2,CIRCLE | 2,0,SQUARE | 0,3,DIAMOND | 0,2,SQUARE",3.000239,6.001469,5,6,115,192,1,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180005__Astart,,A,B,victory,10,"1,3,SQUARE | 1,0,DIAMOND | 3,0,SQUARE | 2,2,TRIANGLE",3.000411,4.801260,5,5,163,148,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180006__Bstart,,B,B,victory,9,"3,3,DIAMOND | 2,1,DIAMOND | 0,0,CIRCLE | 0,2,DIAMOND",2.400462,4.801250,4,5,126,196,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8190005__Astart,,A,B,victory,8,"1,2,SQUARE | 0,2,DIAMOND | 2,3,TRIANGLE | 3,3,CIRCLE",2.400388,3.600819,4,4,165,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8190006__Bstart,,B,B,victory,7,"0,3,TRIANGLE | 3,1,DIAMOND | 1,0,CIRCLE | 2,1,CIRCLE",1.821639,3.600471,3,4,118,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9200005__Astart,,A,B,no_move,12,"1,0,DIAMOND | 0,3,SQUARE | 2,2,DIAMOND | 3,1,SQUARE",3.600457,7.200941,6,6,162,124,0,1,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed9200006__Bstart,,B,B,victory,11,"3,3,TRIANGLE | 2,0,SQUARE | 1,0,DIAMOND | 1,2,SQUARE",3.000330,6.001335,5,6,117,191,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1010001__Astart,,A,B,victory,8,"2,2,SQUARE | 0,2,TRIANGLE | 2,1,CIRCLE | 1,0,DIAMOND",2.400318,3.601439,4,4,164,134,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1010002__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,0,CIRCLE | 1,3,CIRCLE | 0,1,SQUARE",2.400448,3.601227,4,5,129,183,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2020001__Astart,,A,A,victory,11,"1,2,TRIANGLE | 0,0,DIAMOND | 1,3,DIAMOND | 3,3,SQUARE",3.600917,6.020900,6,5,192,135,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed2020002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 0,0,SQUARE | 1,3,SQUARE | 3,2,SQUARE",2.400742,3.602056,4,5,133,195,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3030001__Astart,,A,B,victory,8,"0,3,SQUARE | 0,0,DIAMOND | 2,2,SQUARE | 3,1,CIRCLE",2.405185,3.601361,4,4,151,141,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3030002__Bstart,,B,B,victory,7,"2,2,TRIANGLE | 3,2,DIAMOND | 0,3,SQUARE | 0,0,DIAMOND",1.800253,2.401603,3,4,111,179,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040001__Astart,,A,B,victory,10,"2,3,TRIANGLE | 1,0,DIAMOND | 0,1,TRIANGLE | 1,2,CIRCLE",3.000365,4.801639,5,5,165,140,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040002__Bstart,,B,A,victory,4,"2,1,DIAMOND | 1,1,SQUARE | 0,1,CIRCLE | 3,1,TRIANGLE",1.200159,1.201275,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed5050001__Astart,,A,B,victory,10,"2,0,CIRCLE | 2,3,SQUARE | 0,3,CIRCLE | 1,1,DIAMOND",3.000526,4.802094,5,5,163,147,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5050002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,SQUARE | 3,2,TRIANGLE | 3,1,SQUARE",2.400514,3.601660,4,5,114,184,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6060001__Astart,,A,B,victory,10,"2,1,CIRCLE | 3,0,TRIANGLE | 0,3,TRIANGLE | 2,2,SQUARE",3.000399,4.801575,5,5,174,154,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6060002__Bstart,,B,A,victory,4,"1,2,DIAMOND | 1,3,TRIANGLE | 0,3,SQUARE | 0,2,CIRCLE",1.200390,1.200676,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed7070001__Astart,,A,B,victory,8,"1,0,DIAMOND | 3,3,SQUARE | 3,2,DIAMOND | 2,1,CIRCLE",2.400403,3.602826,4,4,150,143,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7070002__Bstart,,B,A,victory,4,"1,1,DIAMOND | 3,1,TRIANGLE | 2,1,SQUARE | 0,1,CIRCLE",1.200398,1.200835,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed8080001__Astart,,A,B,victory,8,"2,2,TRIANGLE | 3,3,DIAMOND | 0,3,TRIANGLE | 2,1,SQUARE",2.400541,3.601313,4,4,154,147,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8080002__Bstart,,B,A,victory,4,"1,2,SQUARE | 0,2,TRIANGLE | 3,2,DIAMOND | 2,2,CIRCLE",1.200163,1.200363,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed9090001__Astart,,A,B,victory,10,"0,2,CIRCLE | 1,1,SQUARE | 2,3,TRIANGLE | 2,0,DIAMOND",3.000307,4.801729,5,5,171,144,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9090002__Bstart,,B,A,victory,10,"2,2,TRIANGLE | 1,3,TRIANGLE | 3,2,DIAMOND | 3,1,TRIANGLE",3.000375,4.801978,5,5,141,186,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed1120001__Astart,,A,B,victory,8,"0,2,CIRCLE | 2,3,SQUARE | 1,2,SQUARE | 3,1,DIAMOND",2.400707,3.602398,4,4,163,140,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1120002__Bstart,,B,A,victory,4,"1,2,CIRCLE | 1,3,DIAMOND | 1,1,TRIANGLE | 1,0,SQUARE",1.200408,1.201501,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed2130001__Astart,,A,B,victory,10,"1,2,TRIANGLE | 0,1,DIAMOND | 2,3,CIRCLE | 3,0,CIRCLE",3.000820,4.804023,5,5,179,156,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2130002__Bstart,,B,A,victory,4,"1,2,TRIANGLE | 0,3,DIAMOND | 1,3,CIRCLE | 0,2,SQUARE",1.200236,1.200556,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed3140001__Astart,,A,B,victory,8,"2,0,DIAMOND | 3,2,CIRCLE | 0,2,DIAMOND | 2,1,SQUARE",2.401602,3.601613,4,4,152,141,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3140002__Bstart,,B,A,no_move,10,"2,1,SQUARE | 1,2,DIAMOND | 3,2,SQUARE | 2,0,CIRCLE",3.001138,4.801128,5,5,146,161,0,0,1,0,0,1
MCTS (baseline)__vs__MCTS++__seed4150001__Astart,,A,B,victory,8,"0,3,TRIANGLE | 3,0,CIRCLE | 0,2,SQUARE | 1,1,DIAMOND",2.400583,3.611618,4,4,175,136,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4150002__Bstart,,B,A,victory,4,"2,1,CIRCLE | 0,1,SQUARE | 1,1,DIAMOND | 3,1,TRIANGLE",1.200187,1.200499,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed5160001__Astart,,A,A,victory,9,"1,2,SQUARE | 1,3,DIAMOND | 0,1,TRIANGLE | 0,0,CIRCLE",3.000316,4.802431,5,4,180,135,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed5160002__Bstart,,B,A,victory,4,"2,2,DIAMOND | 1,2,TRIANGLE | 0,2,CIRCLE | 3,2,SQUARE",1.200159,1.200795,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed6170001__Astart,,A,B,victory,8,"1,0,TRIANGLE | 0,0,CIRCLE | 3,1,SQUARE | 2,1,DIAMOND",2.401451,3.601546,4,4,165,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6170002__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,SQUARE | 1,2,DIAMOND | 3,0,TRIANGLE",2.400794,3.601223,4,5,133,184,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7180001__Astart,,A,B,victory,8,"1,3,CIRCLE | 0,0,SQUARE | 2,2,SQUARE | 3,1,DIAMOND",2.402353,3.601808,4,4,166,143,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7180002__Bstart,,B,A,victory,4,"1,1,CIRCLE | 0,1,TRIANGLE | 3,1,DIAMOND | 2,1,SQUARE",1.200294,1.200536,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed8190001__Astart,,A,B,victory,4,"3,0,SQUARE | 3,2,CIRCLE | 3,1,TRIANGLE | 3,3,DIAMOND",1.221335,1.234542,2,2,114,95,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8190002__Bstart,,B,B,victory,7,"1,2,SQUARE | 3,3,SQUARE | 1,3,DIAMOND | 3,2,TRIANGLE",1.800356,2.401050,3,4,125,181,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9200001__Astart,,A,B,victory,10,"1,1,DIAMOND | 1,2,TRIANGLE | 2,3,DIAMOND | 0,2,SQUARE",3.000689,4.803521,5,5,167,141,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9200002__Bstart,,B,B,victory,9,"2,2,CIRCLE | 0,1,TRIANGLE | 3,2,TRIANGLE | 2,0,DIAMOND",2.400831,3.602284,4,5,137,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1010003__Astart,,A,B,victory,8,"2,0,DIAMOND | 0,3,TRIANGLE | 3,3,DIAMOND | 2,2,CIRCLE",2.400800,3.602031,4,4,153,152,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1010004__Bstart,,B,A,victory,4,"2,1,SQUARE | 2,3,DIAMOND | 2,2,CIRCLE | 2,0,TRIANGLE",1.200280,1.200388,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed2020003__Astart,,A,B,victory,10,"2,2,CIRCLE | 1,2,TRIANGLE | 3,1,SQUARE | 0,0,DIAMOND",3.000663,4.801738,5,5,172,143,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2020004__Bstart,,B,A,victory,8,"1,2,DIAMOND | 2,3,TRIANGLE | 0,0,DIAMOND | 0,1,TRIANGLE",2.400353,3.601125,4,4,130,152,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed3030003__Astart,,A,B,victory,10,"2,0,SQUARE | 2,3,CIRCLE | 1,3,SQUARE | 0,1,TRIANGLE",3.000650,4.801593,5,5,163,147,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3030004__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 3,0,DIAMOND | 1,3,SQUARE | 0,3,DIAMOND",2.400250,3.600840,4,5,123,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040003__Astart,,A,B,victory,8,"0,2,CIRCLE | 1,3,SQUARE | 3,1,CIRCLE | 0,0,TRIANGLE",2.400355,3.601216,4,4,154,144,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040004__Bstart,,B,B,victory,7,"1,1,CIRCLE | 3,3,DIAMOND | 0,0,DIAMOND | 3,1,TRIANGLE",1.800438,2.401061,3,4,122,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5050003__Astart,,A,B,victory,10,"3,0,TRIANGLE | 1,0,DIAMOND | 2,1,DIAMOND | 0,3,SQUARE",3.001069,4.802424,5,5,172,158,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5050004__Bstart,,B,B,victory,9,"2,1,DIAMOND | 3,2,TRIANGLE | 1,2,DIAMOND | 1,0,TRIANGLE",2.400334,3.600869,4,5,120,162,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6060003__Astart,,A,B,victory,10,"0,1,TRIANGLE | 2,3,DIAMOND | 1,2,SQUARE | 3,1,SQUARE",3.000662,4.803645,5,5,172,142,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6060004__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 0,2,DIAMOND | 0,0,SQUARE | 3,0,DIAMOND",1.800459,2.400772,3,4,113,176,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7070003__Astart,,A,A,victory,13,"2,0,TRIANGLE | 0,0,CIRCLE | 1,1,SQUARE | 3,1,DIAMOND",4.200698,7.202489,7,6,193,146,0,1,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed7070004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 3,2,SQUARE | 0,3,TRIANGLE | 2,0,SQUARE",2.400588,3.601277,4,5,113,189,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8080003__Astart,,A,B,victory,10,"0,1,DIAMOND | 2,2,CIRCLE | 1,2,SQUARE | 3,0,TRIANGLE",3.000684,4.802481,5,5,171,145,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8080004__Bstart,,B,B,victory,9,"1,1,TRIANGLE | 2,3,DIAMOND | 0,2,SQUARE | 1,0,DIAMOND",2.405499,3.600920,4,5,121,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9090003__Astart,,A,B,victory,12,"3,1,DIAMOND | 1,1,SQUARE | 0,1,DIAMOND | 0,3,CIRCLE",3.600364,6.003148,6,6,163,158,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9090004__Bstart,,B,A,victory,4,"2,1,TRIANGLE | 2,0,DIAMOND | 3,0,SQUARE | 3,1,CIRCLE",1.200287,1.200718,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed1120003__Astart,,A,B,victory,10,"0,2,TRIANGLE | 0,1,SQUARE | 2,2,SQUARE | 3,0,CIRCLE",3.000299,4.803254,5,5,172,157,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1120004__Bstart,,B,B,victory,9,"2,1,SQUARE | 2,0,TRIANGLE | 3,3,CIRCLE | 3,2,SQUARE",2.400320,3.601344,4,5,128,189,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2130003__Astart,,A,B,victory,10,"3,0,TRIANGLE | 0,2,DIAMOND | 2,0,SQUARE | 1,0,CIRCLE",3.000732,4.802406,5,5,180,148,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2130004__Bstart,,B,B,victory,7,"2,2,TRIANGLE | 0,3,SQUARE | 3,3,DIAMOND | 3,0,SQUARE",1.800313,2.401072,3,4,113,176,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3140003__Astart,,A,B,victory,10,"2,0,TRIANGLE | 2,1,CIRCLE | 3,2,CIRCLE | 3,3,TRIANGLE",3.000542,4.802037,5,5,177,152,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3140004__Bstart,,B,B,victory,9,"1,1,TRIANGLE | 3,0,SQUARE | 3,1,CIRCLE | 0,3,SQUARE",2.400561,3.601834,4,5,120,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4150003__Astart,,A,A,victory,11,"3,2,CIRCLE | 1,2,DIAMOND | 2,0,CIRCLE | 0,0,TRIANGLE",3.600765,6.002214,6,5,163,154,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed4150004__Bstart,,B,A,victory,4,"2,2,CIRCLE | 2,1,DIAMOND | 2,0,SQUARE | 2,3,TRIANGLE",1.200257,1.201153,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed5160003__Astart,,A,B,no_move,12,"1,0,DIAMOND | 2,1,CIRCLE | 3,2,DIAMOND | 0,3,CIRCLE",3.600377,7.203282,6,6,164,127,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed5160004__Bstart,,B,B,victory,9,"2,1,SQUARE | 2,0,CIRCLE | 3,3,DIAMOND | 1,2,CIRCLE",2.400389,3.601180,4,5,119,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6170003__Astart,,A,B,victory,8,"1,3,SQUARE | 0,2,CIRCLE | 2,0,SQUARE | 0,1,DIAMOND",2.400488,3.601418,4,4,155,133,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6170004__Bstart,,B,B,victory,9,"2,2,CIRCLE | 0,3,CIRCLE | 3,3,TRIANGLE | 1,0,CIRCLE",2.415643,3.601303,4,5,131,194,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7180003__Astart,,A,B,no_move,12,"2,3,SQUARE | 3,0,CIRCLE | 0,2,SQUARE | 1,1,CIRCLE",3.600620,7.202141,6,6,159,137,1,0,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed7180004__Bstart,,B,B,victory,9,"1,2,CIRCLE | 3,0,DIAMOND | 3,1,SQUARE | 1,3,DIAMOND",2.400283,3.601253,4,5,117,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8190003__Astart,,A,B,victory,8,"1,0,CIRCLE | 2,0,TRIANGLE | 2,3,CIRCLE | 0,1,SQUARE",2.404655,3.601281,4,4,155,146,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8190004__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,CIRCLE | 0,1,SQUARE | 3,2,TRIANGLE",2.400389,3.601785,4,5,127,183,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9200003__Astart,,A,A,victory,9,"0,2,SQUARE | 1,2,CIRCLE | 2,3,CIRCLE | 3,3,DIAMOND",3.000438,4.803241,5,4,191,136,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed9200004__Bstart,,B,B,no_move,11,"1,2,SQUARE | 2,0,TRIANGLE | 3,2,CIRCLE | 0,3,TRIANGLE",3.000343,6.001240,5,6,122,190,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed1010005__Astart,,A,B,no_move,12,"2,2,DIAMOND | 1,1,DIAMOND | 3,2,DIAMOND | 0,2,SQUARE",3.600847,7.202746,6,6,178,158,1,0,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed1010006__Bstart,,B,A,victory,4,"1,2,DIAMOND | 2,2,CIRCLE | 3,2,SQUARE | 0,2,TRIANGLE",1.200204,1.200422,2,2,95,114,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed2020005__Astart,,A,B,victory,8,"3,2,TRIANGLE | 3,3,DIAMOND | 1,2,DIAMOND | 2,0,SQUARE",2.400296,3.607974,4,4,170,147,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2020006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 0,1,TRIANGLE | 3,0,DIAMOND",2.400357,3.601295,4,5,134,184,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed3030005__Astart,,A,A,victory,9,"2,0,DIAMOND | 0,3,TRIANGLE | 3,1,SQUARE | 1,1,CIRCLE",3.000396,4.801664,5,4,178,138,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS++__seed3030006__Bstart,,B,B,victory,7,"1,2,DIAMOND | 2,0,SQUARE | 3,3,SQUARE | 2,1,TRIANGLE",1.800276,2.401626,3,4,118,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040005__Astart,,A,B,victory,8,"0,3,CIRCLE | 0,0,TRIANGLE | 1,0,CIRCLE | 3,1,SQUARE",2.400878,3.602787,4,4,155,146,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed4040006__Bstart,,B,B,victory,9,"1,2,DIAMOND | 3,0,TRIANGLE | 3,2,CIRCLE | 0,1,CIRCLE",2.400575,3.602034,4,5,132,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5050005__Astart,,A,B,victory,10,"2,2,TRIANGLE | 2,0,DIAMOND | 1,3,SQUARE | 1,1,TRIANGLE",3.000640,4.801852,5,5,181,157,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed5050006__Bstart,,B,B,victory,11,"1,2,DIAMOND | 2,0,SQUARE | 2,2,TRIANGLE | 1,3,SQUARE",3.000537,4.802339,5,6,121,191,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed6060005__Astart,,A,B,no_move,12,"3,2,SQUARE | 2,0,CIRCLE | 0,1,SQUARE | 1,3,CIRCLE",3.600471,7.201783,6,6,160,124,0,1,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed6060006__Bstart,,B,B,no_move,11,"1,1,TRIANGLE | 3,1,CIRCLE | 3,0,SQUARE | 2,3,TRIANGLE",3.000306,6.000816,5,6,132,187,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS++__seed7070005__Astart,,A,B,victory,10,"3,0,CIRCLE | 2,0,TRIANGLE | 1,2,CIRCLE | 0,1,SQUARE",3.000282,4.802254,5,5,160,146,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed7070006__Bstart,,B,B,victory,9,"2,2,TRIANGLE | 1,3,TRIANGLE | 3,2,DIAMOND | 0,3,CIRCLE",2.400332,3.601263,4,5,132,191,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8080005__Astart,,A,B,victory,12,"3,0,TRIANGLE | 1,1,TRIANGLE | 2,0,SQUARE | 0,3,DIAMOND",3.601679,6.002596,6,6,167,145,1,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed8080006__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 3,1,SQUARE | 1,3,DIAMOND | 1,0,CIRCLE",2.400545,3.601561,4,5,133,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9090005__Astart,,A,B,victory,12,"1,3,SQUARE | 0,2,TRIANGLE | 3,0,SQUARE | 2,2,DIAMOND",3.600394,6.001849,6,6,166,151,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed9090006__Bstart,,B,B,victory,9,"2,1,DIAMOND | 0,0,CIRCLE | 0,2,SQUARE | 3,3,CIRCLE",2.400453,3.601528,4,5,114,187,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1120005__Astart,,A,B,victory,6,"1,3,SQUARE | 3,0,CIRCLE | 0,3,TRIANGLE | 2,3,DIAMOND",1.800269,2.401088,3,3,149,126,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed1120006__Bstart,,B,B,victory,11,"2,2,CIRCLE | 0,0,DIAMOND | 3,3,TRIANGLE | 3,1,SQUARE",3.000300,4.801131,5,6,142,181,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2130005__Astart,,A,B,victory,4,"1,0,DIAMOND | 1,3,CIRCLE | 1,1,SQUARE | 1,2,TRIANGLE",1.203284,1.200947,2,2,114,95,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS++__seed2130006__Bstart,,B,B,victory,7,"2,2,TRIANGLE | 3,1,SQUARE | 3,3,CIRCLE | 0,3,SQUARE",1.800359,2.401438,3,4,113,176,0,0,0,0,1,0
