game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__MCTS+__seed1010001__Astart,0,A,1,1,CIRCLE,1.254631,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,1,B,0,3,DIAMOND,1.200192,53,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,2,A,0,2,SQUARE,1.255969,49,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,3,B,1,0,TRIANGLE,1.200144,39,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,4,A,3,1,SQUARE,1.041805,36,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,5,B,2,1,DIAMOND,1.200079,29,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,6,A,0,1,CIRCLE,0.007095,15,0,0,1,0,ok
AlphaBeta++__vs__MCTS+__seed1010001__Astart,7,B,0,0,TRIANGLE,0.000044,16,1,1,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,0,B,0,0,DIAMOND,1.200309,64,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,1,A,2,2,CIRCLE,1.274120,53,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,2,B,1,3,CIRCLE,1.200148,49,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,3,A,0,2,SQUARE,1.260421,38,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,4,B,0,1,TRIANGLE,1.200145,38,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,5,A,0,3,SQUARE,0.147691,28,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,6,B,1,0,CIRCLE,1.200094,30,0,0,0,0,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,7,A,2,1,CIRCLE,0.005470,15,0,0,1,1,ok
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,8,B,1,1,SQUARE,0.000016,20,1,1,0,1,ok
AlphaBeta++__vs__MCTS+__seed1020001__Astart,0,A,1,1,CIRCLE,1.257036,64,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1020001__Astart,1,B,2,2,CIRCLE,1.200227,53,0,0,0,1,ok
AlphaBeta++__vs__MCTS+__seed1020001__Astart,2,A,0,2,SQUARE,1.264215,49,0,0,0,0,ok
