game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,0,A,3,3,SQUARE,0.000027,64,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,1,B,2,2,CIRCLE,1.266619,53,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,2,A,1,1,DIAMOND,4.253808,50,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,3,B,1,3,TRIANGLE,1.232458,39,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,4,A,3,0,CIRCLE,1.132434,37,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,5,B,0,3,DIAMOND,0.919440,28,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,6,A,1,2,SQUARE,0.008232,25,0,0,1,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,7,B,0,2,CIRCLE,0.000022,20,1,1,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,0,B,1,0,TRIANGLE,0.000027,64,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,1,A,1,2,DIAMOND,5.656569,53,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,2,B,2,2,SQUARE,1.232504,50,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,3,A,3,3,CIRCLE,1.070973,40,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,4,B,3,1,DIAMOND,1.230670,37,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,5,A,1,1,SQUARE,1.031952,27,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,6,B,2,1,DIAMOND,0.012362,27,0,0,1,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,7,A,1,3,CIRCLE,0.000023,22,1,1,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,0,A,1,2,TRIANGLE,0.000026,64,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,1,B,2,2,SQUARE,1.239255,53,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,2,A,2,1,DIAMOND,3.904196,50,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,3,B,0,3,CIRCLE,1.232511,40,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,4,A,1,0,SQUARE,1.623083,37,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,5,B,3,2,DIAMOND,1.147266,28,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,6,A,1,1,DIAMOND,0.007698,25,0,0,1,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,7,B,0,2,CIRCLE,0.000021,22,1,1,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,0,B,0,2,CIRCLE,0.000026,64,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,1,A,2,1,CIRCLE,7.480790,53,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,2,B,1,1,DIAMOND,1.236735,49,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,3,A,3,2,DIAMOND,2.598300,39,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,4,B,3,0,SQUARE,1.231542,36,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,5,A,3,3,TRIANGLE,0.972853,27,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,6,B,1,2,SQUARE,0.004263,26,0,0,1,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,7,A,3,1,CIRCLE,0.000021,19,1,1,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,0,A,1,0,DIAMOND,0.000026,64,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,1,B,1,1,TRIANGLE,1.245107,53,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,2,A,2,2,TRIANGLE,2.105965,50,0,0,0,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,3,B,2,0,SQUARE,1.232968,39,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,4,A,3,2,CIRCLE,1.192992,37,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,5,B,0,1,CIRCLE,0.798185,28,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,6,A,2,1,DIAMOND,0.011368,25,0,0,1,1,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,7,B,0,0,SQUARE,0.000022,20,1,1,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030002__Bstart,0,B,3,1,TRIANGLE,0.000026,64,0,0,0,0,ok
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030002__Bstart,1,A,2,2,CIRCLE,5.860350,53,0,0,0,1,ok
