game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150001__Astart,,A,A,victory,9,"3,0,SQUARE | 2,1,CIRCLE | 1,2,CIRCLE | 1,3,DIAMOND",5.583663,3.639133,5,4,192,134,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150002__Bstart,,B,A,victory,8,"2,2,CIRCLE | 2,1,TRIANGLE | 1,1,SQUARE | 3,3,DIAMOND",9.740308,2.481060,4,4,142,178,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160001__Astart,,A,A,victory,7,"3,1,DIAMOND | 1,2,SQUARE | 0,0,SQUARE | 2,3,TRIANGLE",4.965330,2.840148,4,3,172,117,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160002__Bstart,,B,B,victory,7,"3,1,DIAMOND | 2,2,CIRCLE | 0,2,TRIANGLE | 0,3,SQUARE",6.952806,2.480990,3,4,119,177,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170001__Astart,,A,A,victory,7,"3,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE | 1,2,DIAMOND",6.139121,3.069493,4,3,178,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170002__Bstart,,B,A,victory,12,"3,1,CIRCLE | 1,2,TRIANGLE | 0,2,DIAMOND | 2,3,CIRCLE",9.579909,2.928189,6,6,149,193,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180001__Astart,,A,B,victory,10,"2,2,CIRCLE | 0,3,CIRCLE | 1,1,TRIANGLE | 2,1,DIAMOND",6.529661,3.827874,5,5,186,149,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180002__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,SQUARE | 1,1,TRIANGLE | 3,3,TRIANGLE",9.021691,2.656375,4,5,136,186,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190001__Astart,,A,A,victory,7,"2,0,DIAMOND | 1,2,SQUARE | 1,1,TRIANGLE | 2,1,CIRCLE",4.880071,2.546521,4,3,180,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190002__Bstart,,B,A,victory,12,"1,3,SQUARE | 2,1,DIAMOND | 3,1,CIRCLE | 0,0,SQUARE",8.781172,3.122697,6,6,149,193,0,0,0,0,0,1
