game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed4150002__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,2,SQUARE | 3,3,DIAMOND | 2,3,TRIANGLE",9.000810,6.000527,5,5,156,192,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160001__Astart,,A,A,victory,11,"3,1,DIAMOND | 0,0,SQUARE | 2,2,TRIANGLE | 1,3,CIRCLE",4.594109,6.000466,6,5,193,143,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160002__Bstart,,B,B,victory,7,"1,2,SQUARE | 2,1,DIAMOND | 3,3,TRIANGLE | 1,0,TRIANGLE",8.697066,3.600761,3,4,117,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170001__Astart,,A,A,victory,9,"3,2,SQUARE | 2,0,DIAMOND | 1,1,DIAMOND | 3,3,TRIANGLE",4.892404,4.800407,5,4,193,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6170002__Bstart,,B,B,victory,9,"1,3,TRIANGLE | 2,2,CIRCLE | 0,0,CIRCLE | 3,0,TRIANGLE",9.546090,4.800704,4,5,129,194,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180001__Astart,,A,A,victory,9,"2,2,CIRCLE | 3,0,TRIANGLE | 1,1,TRIANGLE | 2,3,DIAMOND",6.071712,4.800375,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 3,0,SQUARE | 0,0,DIAMOND",10.643118,4.800682,4,5,139,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190001__Astart,,A,A,victory,9,"2,0,DIAMOND | 3,3,CIRCLE | 1,2,TRIANGLE | 0,2,SQUARE",4.432427,4.800500,5,4,182,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8190002__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,1,TRIANGLE | 3,2,SQUARE | 1,2,CIRCLE",7.477492,4.800668,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9200001__Astart,,A,A,victory,9,"1,2,CIRCLE | 0,0,TRIANGLE | 2,1,TRIANGLE | 1,3,DIAMOND",5.891452,4.800412,5,4,186,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200002__Bstart,,B,B,victory,9,"2,3,TRIANGLE | 1,2,TRIANGLE | 3,1,CIRCLE | 1,0,CIRCLE",8.312536,4.800476,4,5,128,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010003__Astart,,A,A,victory,9,"1,3,TRIANGLE | 1,0,DIAMOND | 2,2,DIAMOND | 3,1,SQUARE",3.368057,4.800549,5,4,190,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010004__Bstart,,B,B,victory,9,"0,1,SQUARE | 1,2,DIAMOND | 2,0,CIRCLE | 3,0,SQUARE",8.540275,4.800754,4,5,132,187,0,0,0,0,1,0
