game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed1120015__Astart,,A,A,victory,9,"3,0,DIAMOND | 2,2,CIRCLE | 1,1,CIRCLE | 0,3,SQUARE",5.312014,4.800428,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120016__Bstart,,B,B,victory,9,"3,2,DIAMOND | 2,1,TRIANGLE | 2,0,SQUARE | 0,3,CIRCLE",7.298809,4.800828,4,5,125,183,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130015__Astart,,A,A,victory,9,"3,2,DIAMOND | 0,1,SQUARE | 2,1,CIRCLE | 1,3,TRIANGLE",4.312832,4.800470,5,4,195,132,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130016__Bstart,,B,A,victory,10,"0,1,SQUARE | 1,2,CIRCLE | 1,3,DIAMOND | 2,0,TRIANGLE",7.473682,6.000540,5,5,141,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140015__Astart,,A,A,victory,11,"0,2,SQUARE | 1,1,DIAMOND | 2,3,TRIANGLE | 0,3,CIRCLE",5.232536,6.000445,6,5,196,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140016__Bstart,,B,A,victory,10,"3,3,CIRCLE | 1,1,SQUARE | 2,0,TRIANGLE | 3,0,DIAMOND",9.361681,6.000684,5,5,149,185,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4150015__Astart,,A,A,victory,9,"3,3,SQUARE | 2,3,TRIANGLE | 1,2,CIRCLE | 0,2,DIAMOND",3.662509,4.800594,5,4,187,126,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4150016__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,CIRCLE | 1,0,DIAMOND | 3,2,TRIANGLE",7.441326,4.800614,4,5,132,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5160015__Astart,,A,A,victory,9,"1,2,SQUARE | 2,3,CIRCLE | 2,1,DIAMOND | 0,2,TRIANGLE",6.163218,4.800456,5,4,186,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160016__Bstart,,B,B,victory,7,"2,3,DIAMOND | 1,2,CIRCLE | 0,2,SQUARE | 3,1,TRIANGLE",7.350352,3.600701,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170015__Astart,,A,A,victory,9,"0,3,SQUARE | 2,2,CIRCLE | 1,1,CIRCLE | 3,0,SQUARE",5.219577,4.800451,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6170016__Bstart,,B,A,victory,12,"1,0,TRIANGLE | 2,1,DIAMOND | 3,1,CIRCLE | 0,2,SQUARE",7.785879,7.200723,6,6,135,183,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180015__Astart,,A,A,victory,9,"2,3,CIRCLE | 1,1,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",5.716106,4.800506,5,4,186,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180016__Bstart,,B,B,victory,7,"3,2,SQUARE | 2,1,TRIANGLE | 1,3,DIAMOND | 0,2,CIRCLE",7.674119,3.600478,3,4,119,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190015__Astart,,A,A,victory,9,"2,0,CIRCLE | 3,3,DIAMOND | 1,1,TRIANGLE | 0,2,SQUARE",4.424389,4.800498,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8190016__Bstart,,B,B,victory,9,"0,0,CIRCLE | 2,2,DIAMOND | 3,1,SQUARE | 1,1,TRIANGLE",9.395701,4.800569,4,5,139,175,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9200015__Astart,,A,A,victory,11,"2,1,DIAMOND | 3,2,CIRCLE | 1,2,TRIANGLE | 2,0,SQUARE",5.728925,6.000526,6,5,183,134,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200016__Bstart,,B,B,victory,9,"1,0,TRIANGLE | 2,2,SQUARE | 3,1,CIRCLE | 0,3,CIRCLE",7.905957,4.800751,4,5,122,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010017__Astart,,A,A,victory,11,"2,1,DIAMOND | 3,2,SQUARE | 1,2,CIRCLE | 2,0,TRIANGLE",5.250704,6.000368,6,5,184,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010018__Bstart,,B,B,victory,7,"3,3,TRIANGLE | 1,1,SQUARE | 2,0,SQUARE | 1,2,TRIANGLE",7.831176,3.600723,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2020017__Astart,,A,A,victory,9,"0,3,DIAMOND | 2,2,DIAMOND | 2,1,SQUARE | 1,0,TRIANGLE",5.304193,4.800484,5,4,187,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020018__Bstart,,B,B,victory,7,"2,3,TRIANGLE | 1,1,TRIANGLE | 0,2,CIRCLE | 2,0,DIAMOND",8.906344,3.600693,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3030017__Astart,,A,A,victory,11,"1,2,SQUARE | 2,0,DIAMOND | 2,1,TRIANGLE | 3,3,CIRCLE",5.157768,6.000390,6,5,182,133,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030018__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,1,TRIANGLE | 0,3,DIAMOND | 2,0,SQUARE",9.115351,4.800528,4,5,138,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040017__Astart,,A,B,victory,10,"1,1,TRIANGLE | 0,3,CIRCLE | 2,2,DIAMOND | 3,2,SQUARE",5.641390,4.800386,5,5,184,134,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040018__Bstart,,B,B,victory,9,"3,0,DIAMOND | 1,2,CIRCLE | 0,1,CIRCLE | 2,2,DIAMOND",7.981787,4.800948,4,5,131,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050017__Astart,,A,A,victory,9,"1,3,SQUARE | 0,0,DIAMOND | 2,1,DIAMOND | 1,2,TRIANGLE",4.507211,4.800603,5,4,187,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050018__Bstart,,B,A,victory,10,"0,3,CIRCLE | 1,1,DIAMOND | 1,0,TRIANGLE | 2,2,SQUARE",8.411768,6.000497,5,5,141,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060017__Astart,,A,A,victory,9,"2,1,CIRCLE | 3,0,DIAMOND | 1,2,TRIANGLE | 2,3,SQUARE",5.228756,4.800427,5,4,184,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060018__Bstart,,B,B,victory,11,"2,1,CIRCLE | 2,2,DIAMOND | 1,0,SQUARE | 0,3,CIRCLE",10.563136,6.000805,5,6,143,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070017__Astart,,A,A,victory,9,"3,0,CIRCLE | 3,3,SQUARE | 1,1,TRIANGLE | 0,2,DIAMOND",5.267581,4.811804,5,4,190,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7070018__Bstart,,B,B,victory,11,"3,3,CIRCLE | 2,2,SQUARE | 1,2,TRIANGLE | 0,0,DIAMOND",9.170576,6.000694,5,6,135,189,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080017__Astart,,A,A,victory,11,"0,1,TRIANGLE | 1,2,CIRCLE | 2,2,SQUARE | 0,0,DIAMOND",7.029482,6.000536,6,5,187,131,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080018__Bstart,,B,B,victory,9,"3,0,DIAMOND | 1,2,CIRCLE | 2,3,CIRCLE | 1,1,DIAMOND",8.626564,4.800498,4,5,131,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090017__Astart,,A,B,victory,10,"1,0,TRIANGLE | 3,0,SQUARE | 1,1,SQUARE | 0,2,DIAMOND",4.780866,4.800529,5,5,170,158,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090018__Bstart,,B,A,victory,10,"2,1,SQUARE | 1,2,CIRCLE | 0,0,CIRCLE | 3,3,TRIANGLE",10.586830,6.001013,5,5,139,180,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120017__Astart,,A,A,victory,9,"0,3,CIRCLE | 3,1,SQUARE | 2,2,SQUARE | 1,0,DIAMOND",5.906744,4.800507,5,4,187,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120018__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,2,CIRCLE | 3,3,TRIANGLE | 2,1,SQUARE",7.239472,3.600894,3,4,118,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130017__Astart,,A,A,no_move,13,"3,1,DIAMOND | 0,0,SQUARE | 1,2,TRIANGLE | 2,1,TRIANGLE",4.842322,7.200477,7,6,201,144,0,1,0,0,0,0
Génétique (éval AB)__vs__MCTS+__seed2130018__Bstart,,B,B,victory,9,"2,0,CIRCLE | 1,1,CIRCLE | 3,3,DIAMOND | 0,2,SQUARE",9.592085,4.800612,4,5,129,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140017__Astart,,A,A,victory,9,"2,0,DIAMOND | 0,3,SQUARE | 1,1,CIRCLE | 3,2,DIAMOND",4.440186,4.800384,5,4,187,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140018__Bstart,,B,B,victory,7,"1,3,DIAMOND | 2,1,SQUARE | 0,0,TRIANGLE | 1,2,CIRCLE",7.122664,3.600627,3,4,118,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150017__Astart,,A,A,victory,9,"0,3,SQUARE | 1,1,TRIANGLE | 3,2,TRIANGLE | 2,0,SQUARE",5.912569,4.800475,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4150018__Bstart,,B,A,victory,10,"2,0,TRIANGLE | 1,1,TRIANGLE | 0,2,SQUARE | 0,3,CIRCLE",8.886439,6.000674,5,5,145,188,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160017__Astart,,A,A,victory,11,"1,2,DIAMOND | 0,0,CIRCLE | 2,1,SQUARE | 1,3,TRIANGLE",5.171645,6.000383,6,5,182,132,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160018__Bstart,,B,B,victory,9,"1,2,CIRCLE | 1,1,TRIANGLE | 3,3,DIAMOND | 2,0,CIRCLE",10.027486,4.800451,4,5,126,187,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170017__Astart,,A,A,victory,9,"3,3,CIRCLE | 2,0,TRIANGLE | 2,1,DIAMOND | 3,2,SQUARE",4.818605,4.800470,5,4,186,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6170018__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,2,DIAMOND | 3,0,SQUARE | 0,0,CIRCLE",9.381755,4.800670,4,5,136,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180017__Astart,,A,A,victory,11,"3,1,TRIANGLE | 2,3,CIRCLE | 1,2,DIAMOND | 3,0,SQUARE",4.691345,6.000507,6,5,185,131,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180018__Bstart,,B,B,victory,7,"0,3,TRIANGLE | 2,1,DIAMOND | 1,1,CIRCLE | 3,3,CIRCLE",7.737946,3.600682,3,4,119,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190017__Astart,,A,A,victory,9,"3,3,DIAMOND | 3,1,CIRCLE | 1,2,TRIANGLE | 0,0,SQUARE",4.406055,4.800407,5,4,190,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8190018__Bstart,,B,B,victory,13,"1,0,DIAMOND | 2,2,SQUARE | 3,1,TRIANGLE | 0,1,CIRCLE",7.957895,7.200897,6,7,136,212,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9200017__Astart,,A,A,victory,11,"3,2,DIAMOND | 0,0,CIRCLE | 2,1,TRIANGLE | 3,1,SQUARE",5.132725,6.000624,6,5,193,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200018__Bstart,,B,B,victory,9,"0,2,DIAMOND | 1,1,TRIANGLE | 1,0,SQUARE | 2,3,CIRCLE",7.183534,4.800447,4,5,136,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010019__Astart,,A,A,victory,11,"2,2,DIAMOND | 0,1,TRIANGLE | 1,1,CIRCLE | 3,0,SQUARE",4.542794,6.000434,6,5,188,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010020__Bstart,,B,B,victory,7,"2,3,TRIANGLE | 1,2,SQUARE | 0,2,CIRCLE | 3,0,DIAMOND",6.865770,3.600551,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2020019__Astart,,A,A,victory,9,"0,0,DIAMOND | 3,1,CIRCLE | 2,1,TRIANGLE | 1,0,SQUARE",4.976483,4.800522,5,4,179,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020020__Bstart,,B,B,victory,9,"0,2,SQUARE | 2,1,DIAMOND | 1,0,TRIANGLE | 0,3,CIRCLE",8.543005,4.800804,4,5,124,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3030019__Astart,,A,A,victory,11,"0,1,SQUARE | 1,2,CIRCLE | 2,2,DIAMOND | 0,0,TRIANGLE",6.591524,6.000519,6,5,184,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030020__Bstart,,B,B,victory,11,"1,1,SQUARE | 2,2,CIRCLE | 3,0,TRIANGLE | 0,3,DIAMOND",9.917407,6.000606,5,6,142,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040019__Astart,,A,A,victory,11,"0,2,TRIANGLE | 3,1,DIAMOND | 2,1,CIRCLE | 1,0,SQUARE",4.691451,6.000502,6,5,183,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4040020__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,SQUARE | 2,3,DIAMOND | 0,0,TRIANGLE",8.234261,6.000588,5,5,144,175,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050019__Astart,,A,B,victory,8,"1,3,CIRCLE | 0,1,DIAMOND | 2,1,SQUARE | 3,0,CIRCLE",6.058922,3.600439,4,4,173,140,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050020__Bstart,,B,A,victory,10,"2,0,CIRCLE | 1,1,CIRCLE | 0,3,SQUARE | 0,2,TRIANGLE",10.108139,6.000697,5,5,151,182,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060019__Astart,,A,A,victory,9,"0,1,TRIANGLE | 3,2,CIRCLE | 1,2,SQUARE | 2,0,DIAMOND",5.549851,4.800823,5,4,189,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060020__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,SQUARE | 2,0,SQUARE | 1,2,TRIANGLE",7.968103,4.800430,4,5,132,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070019__Astart,,A,A,victory,9,"3,1,SQUARE | 2,2,DIAMOND | 2,3,CIRCLE | 3,0,TRIANGLE",5.542398,4.800508,5,4,179,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7070020__Bstart,,B,B,victory,9,"0,2,DIAMOND | 2,2,CIRCLE | 1,0,SQUARE | 0,3,SQUARE",7.315138,4.800534,4,5,133,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080019__Astart,,A,A,victory,9,"1,1,SQUARE | 2,1,TRIANGLE | 3,0,CIRCLE | 0,0,DIAMOND",5.262885,4.800441,5,4,194,142,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080020__Bstart,,B,B,victory,9,"2,0,DIAMOND | 1,1,DIAMOND | 3,3,CIRCLE | 1,2,CIRCLE",8.117790,4.800611,4,5,131,193,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090019__Astart,,A,A,victory,9,"0,2,SQUARE | 2,2,TRIANGLE | 1,1,TRIANGLE | 3,0,CIRCLE",5.132874,4.800648,5,4,190,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090020__Bstart,,B,A,victory,10,"0,3,TRIANGLE | 2,1,SQUARE | 3,2,CIRCLE | 1,0,DIAMOND",8.081719,6.000513,5,5,147,174,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120019__Astart,,A,A,victory,9,"2,2,TRIANGLE | 0,3,DIAMOND | 1,1,DIAMOND | 3,2,CIRCLE",4.594257,4.800512,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120020__Bstart,,B,B,victory,7,"2,0,CIRCLE | 1,1,DIAMOND | 0,1,TRIANGLE | 3,3,SQUARE",7.580215,3.600538,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130019__Astart,,A,A,victory,9,"0,2,CIRCLE | 2,3,SQUARE | 1,0,SQUARE | 3,1,DIAMOND",5.898937,4.800367,5,4,184,126,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130020__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,DIAMOND | 3,2,SQUARE | 1,2,TRIANGLE",8.878521,4.800555,4,5,139,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140019__Astart,,A,A,victory,11,"2,2,SQUARE | 1,3,TRIANGLE | 1,1,CIRCLE | 3,2,DIAMOND",5.936318,6.000454,6,5,196,141,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140020__Bstart,,B,B,victory,7,"1,2,CIRCLE | 2,1,CIRCLE | 0,0,DIAMOND | 3,2,DIAMOND",10.050688,3.600714,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150019__Astart,,A,B,victory,8,"3,1,DIAMOND | 2,0,TRIANGLE | 1,2,TRIANGLE | 0,1,SQUARE",4.387458,3.600584,4,4,174,141,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150020__Bstart,,B,B,victory,7,"3,0,CIRCLE | 1,2,SQUARE | 2,3,DIAMOND | 2,1,TRIANGLE",8.452217,3.600454,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5160019__Astart,,A,A,victory,9,"3,0,TRIANGLE | 0,3,SQUARE | 2,2,SQUARE | 1,1,DIAMOND",4.045698,4.800463,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160020__Bstart,,B,B,victory,9,"1,2,CIRCLE | 1,1,SQUARE | 3,3,DIAMOND | 3,0,CIRCLE",9.496205,4.801040,4,5,126,190,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170019__Astart,,A,A,victory,9,"3,3,CIRCLE | 3,2,SQUARE | 2,1,DIAMOND | 2,0,TRIANGLE",5.532105,4.800418,5,4,180,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6170020__Bstart,,B,B,victory,9,"1,0,CIRCLE | 2,2,SQUARE | 3,1,DIAMOND | 0,3,DIAMOND",9.099936,4.800605,4,5,129,185,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180019__Astart,,A,A,victory,11,"0,2,DIAMOND | 2,0,SQUARE | 2,1,TRIANGLE | 3,3,CIRCLE",4.764313,6.000497,6,5,185,132,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180020__Bstart,,B,B,victory,7,"1,3,TRIANGLE | 2,2,TRIANGLE | 0,0,SQUARE | 3,1,CIRCLE",8.130303,3.600721,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190019__Astart,,A,B,victory,10,"2,2,TRIANGLE | 3,3,CIRCLE | 1,1,CIRCLE | 2,0,SQUARE",5.652512,4.800431,5,5,185,145,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190020__Bstart,,B,A,victory,10,"0,0,TRIANGLE | 2,2,TRIANGLE | 3,1,DIAMOND | 0,3,DIAMOND",8.516956,6.000597,5,5,141,184,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200019__Astart,,A,A,victory,9,"2,1,SQUARE | 1,0,CIRCLE | 3,3,CIRCLE | 0,2,TRIANGLE",6.966272,4.800419,5,4,184,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200020__Bstart,,B,B,victory,9,"0,0,SQUARE | 2,2,TRIANGLE | 3,1,DIAMOND | 1,1,CIRCLE",8.652375,4.800789,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010021__Astart,,A,B,victory,10,"1,1,TRIANGLE | 3,0,DIAMOND | 2,2,SQUARE | 0,1,CIRCLE",5.043340,4.800411,5,5,186,138,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010022__Bstart,,B,B,victory,7,"1,0,CIRCLE | 2,2,CIRCLE | 3,1,TRIANGLE | 1,3,SQUARE",9.866044,3.600451,3,4,119,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2020021__Astart,,A,A,victory,11,"3,2,SQUARE | 0,0,DIAMOND | 2,1,TRIANGLE | 1,3,CIRCLE",4.324833,6.000579,6,5,189,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020022__Bstart,,B,A,victory,10,"3,2,SQUARE | 2,1,DIAMOND | 1,3,CIRCLE | 0,2,TRIANGLE",8.478151,6.000622,5,5,146,175,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030021__Astart,,A,A,victory,9,"1,1,TRIANGLE | 3,3,DIAMOND | 2,0,DIAMOND | 0,2,CIRCLE",4.492699,4.802905,5,4,188,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030022__Bstart,,B,A,victory,10,"0,2,SQUARE | 2,1,DIAMOND | 1,0,CIRCLE | 1,3,TRIANGLE",8.846513,6.000670,5,5,144,172,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4040021__Astart,,A,A,victory,11,"1,2,SQUARE | 0,0,DIAMOND | 2,1,CIRCLE | 1,3,TRIANGLE",4.997781,6.000493,6,5,182,132,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4040022__Bstart,,B,B,victory,7,"0,1,CIRCLE | 2,2,TRIANGLE | 1,3,DIAMOND | 1,0,SQUARE",9.797148,3.600529,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050021__Astart,,A,A,victory,9,"0,1,SQUARE | 2,2,SQUARE | 1,2,TRIANGLE | 3,0,CIRCLE",6.413763,4.800386,5,4,187,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050022__Bstart,,B,A,victory,10,"0,1,TRIANGLE | 1,2,SQUARE | 1,3,DIAMOND | 0,0,CIRCLE",8.878793,6.000759,5,5,147,186,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060021__Astart,,A,A,victory,9,"3,3,SQUARE | 3,0,DIAMOND | 1,2,DIAMOND | 0,1,CIRCLE",3.959086,4.800469,5,4,190,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060022__Bstart,,B,B,no_move,13,"1,2,TRIANGLE | 2,1,TRIANGLE | 0,0,SQUARE | 3,3,CIRCLE",8.901823,8.400849,6,7,131,190,1,0,0,0,0,0
Génétique (éval AB)__vs__MCTS+__seed7070021__Astart,,A,A,victory,11,"0,0,CIRCLE | 2,3,CIRCLE | 1,2,DIAMOND | 3,1,SQUARE",6.956332,6.000537,6,5,190,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7070022__Bstart,,B,B,victory,7,"1,0,DIAMOND | 2,2,SQUARE | 0,3,CIRCLE | 1,1,CIRCLE",7.468773,3.600486,3,4,118,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080021__Astart,,A,A,victory,11,"3,3,CIRCLE | 1,2,DIAMOND | 2,1,TRIANGLE | 2,3,SQUARE",4.768354,6.000549,6,5,193,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080022__Bstart,,B,B,victory,9,"0,0,SQUARE | 2,2,DIAMOND | 3,1,CIRCLE | 1,1,TRIANGLE",8.965361,4.801088,4,5,139,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090021__Astart,,A,A,victory,9,"0,2,CIRCLE | 1,1,SQUARE | 2,1,TRIANGLE | 0,3,DIAMOND",6.879777,4.800339,5,4,187,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090022__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 2,3,SQUARE | 3,0,DIAMOND",8.211684,6.003430,5,5,144,185,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120021__Astart,,A,B,victory,8,"0,0,CIRCLE | 3,1,DIAMOND | 2,1,SQUARE | 1,0,TRIANGLE",5.247408,3.602158,4,4,173,140,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1120022__Bstart,,B,B,victory,9,"0,0,TRIANGLE | 2,2,SQUARE | 3,1,DIAMOND | 1,0,DIAMOND",7.631523,4.801901,4,5,135,183,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130021__Astart,,A,B,victory,10,"2,1,CIRCLE | 0,2,SQUARE | 1,2,DIAMOND | 3,3,TRIANGLE",6.151460,4.801039,5,5,181,133,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130022__Bstart,,B,B,victory,7,"2,3,CIRCLE | 1,2,CIRCLE | 3,1,SQUARE | 1,0,SQUARE",9.121474,3.600866,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140021__Astart,,A,A,victory,11,"3,2,TRIANGLE | 0,3,DIAMOND | 1,1,CIRCLE | 2,2,SQUARE",3.875598,6.000718,6,5,189,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140022__Bstart,,B,B,victory,7,"0,0,DIAMOND | 1,2,SQUARE | 1,3,CIRCLE | 3,1,TRIANGLE",7.017757,3.600504,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150021__Astart,,A,A,victory,9,"2,0,CIRCLE | 1,1,SQUARE | 1,2,TRIANGLE | 3,0,DIAMOND",7.422565,4.800538,5,4,191,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4150022__Bstart,,B,A,victory,10,"0,2,DIAMOND | 2,1,TRIANGLE | 3,3,CIRCLE | 1,2,SQUARE",7.138719,6.000689,5,5,140,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160021__Astart,,A,A,victory,9,"3,3,DIAMOND | 2,0,SQUARE | 2,1,CIRCLE | 3,2,TRIANGLE",4.490630,4.800526,5,4,179,135,0,0,0,0,0,1
