game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,0,A,3,3,SQUARE,0.000029,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,1,B,1,2,CIRCLE,1.200342,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,2,A,2,1,TRIANGLE,3.875847,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,3,B,0,0,SQUARE,1.200174,38,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,4,A,0,2,DIAMOND,1.745935,34,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,5,B,1,3,TRIANGLE,1.200077,25,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,6,A,2,2,TRIANGLE,0.150845,25,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,7,B,0,1,CIRCLE,1.200070,21,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,8,A,3,2,SQUARE,0.000026,14,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,0,B,0,0,DIAMOND,1.200159,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,1,A,2,2,SQUARE,5.462691,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,2,B,3,1,TRIANGLE,1.200167,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,3,A,1,1,CIRCLE,1.503822,38,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,4,B,2,3,DIAMOND,1.200087,36,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,5,A,0,3,TRIANGLE,1.057643,28,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,6,B,2,0,CIRCLE,1.200051,14,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,7,A,1,2,CIRCLE,0.065796,20,0,0,1,1,ok
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,8,B,2,1,TRIANGLE,0.000026,10,1,1,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,0,A,1,2,TRIANGLE,0.000027,64,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,1,B,0,0,DIAMOND,1.200245,53,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,2,A,2,1,CIRCLE,3.206255,49,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,3,B,3,1,TRIANGLE,1.200095,38,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,4,A,0,2,SQUARE,1.162460,35,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,5,B,2,3,DIAMOND,1.200074,27,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,6,A,0,1,CIRCLE,0.185038,24,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,7,B,3,3,TRIANGLE,1.200038,11,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,8,A,1,1,SQUARE,0.007374,9,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,9,B,2,0,SQUARE,1.200022,4,0,0,1,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,10,A,1,0,TRIANGLE,0.000013,1,1,1,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,0,B,2,0,SQUARE,1.200337,64,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,1,A,1,2,CIRCLE,5.056949,53,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,2,B,3,3,DIAMOND,1.200108,49,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,3,A,2,1,TRIANGLE,1.608706,38,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,4,B,0,2,SQUARE,1.200094,35,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,5,A,1,1,DIAMOND,0.410946,27,0,0,0,1,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,6,B,2,3,CIRCLE,1.200056,15,0,0,0,0,ok
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,7,A,2,2,TRIANGLE,0.005378,17,0,0,1,1,ok
