game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,0,A,1,1,SQUARE,0.000853,64,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,1,B,3,0,DIAMOND,1.321382,53,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,2,A,2,1,TRIANGLE,0.000362,49,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,3,B,2,2,CIRCLE,1.349733,41,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,4,A,1,2,TRIANGLE,0.000367,36,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,5,B,0,1,CIRCLE,0.959323,30,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,6,A,0,2,DIAMOND,0.000915,15,0,0,1,0,ok
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,7,B,3,2,SQUARE,0.000042,12,1,1,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,0,B,2,1,TRIANGLE,1.356836,64,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,1,A,1,1,CIRCLE,0.000847,53,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,2,B,3,3,TRIANGLE,1.364159,50,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,3,A,1,2,DIAMOND,0.000847,43,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,4,B,1,0,SQUARE,1.313068,25,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,5,A,2,2,CIRCLE,0.000400,30,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,6,B,0,2,SQUARE,1.335433,18,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,7,A,0,1,DIAMOND,0.000998,12,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,8,B,3,0,CIRCLE,0.705701,5,0,0,1,0,ok
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,9,A,3,1,SQUARE,0.000433,3,1,1,0,0,ok
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,0,A,1,2,TRIANGLE,0.000318,64,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,1,B,3,0,CIRCLE,1.394560,53,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,2,A,1,1,DIAMOND,0.000849,49,0,0,0,1,ok
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,3,B,3,3,CIRCLE,1.324517,40,0,0,0,0,ok
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,4,A,2,2,SQUARE,0.000399,38,0,0,0,1,ok
