game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (baseline)__vs__Génétique+__seed5160001__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,3,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE",0.001575,2.718884,3,3,149,122,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160002__Bstart,,B,B,victory,7,"2,1,CIRCLE | 2,2,DIAMOND | 3,0,SQUARE | 1,1,SQUARE",0.002731,4.183825,3,4,124,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170001__Astart,,A,B,victory,8,"1,2,TRIANGLE | 3,0,DIAMOND | 1,1,DIAMOND | 2,3,CIRCLE",0.001985,3.999654,4,4,168,133,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,CIRCLE | 3,0,CIRCLE | 2,2,TRIANGLE",0.002990,5.183382,4,5,136,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180001__Astart,,A,B,victory,12,"2,2,CIRCLE | 0,3,SQUARE | 1,2,CIRCLE | 3,0,SQUARE",0.003871,4.816349,6,6,159,137,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180002__Bstart,,B,B,victory,7,"0,3,CIRCLE | 2,1,SQUARE | 3,2,DIAMOND | 1,1,SQUARE",0.001627,4.100782,3,4,106,169,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190001__Astart,,A,B,victory,6,"1,2,CIRCLE | 2,3,SQUARE | 2,2,TRIANGLE | 0,2,DIAMOND",0.002112,2.678647,3,3,150,126,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190002__Bstart,,B,B,victory,7,"1,0,TRIANGLE | 1,2,CIRCLE | 0,3,SQUARE | 2,1,CIRCLE",0.002171,4.020129,3,4,110,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200001__Astart,,A,B,victory,6,"1,2,CIRCLE | 0,1,DIAMOND | 1,1,TRIANGLE | 2,0,SQUARE",0.001645,2.708790,3,3,148,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200002__Bstart,,B,B,victory,5,"0,2,SQUARE | 2,2,DIAMOND | 0,0,CIRCLE | 1,2,CIRCLE",0.001103,2.751192,2,3,94,152,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1010003__Astart,,A,B,victory,6,"1,1,TRIANGLE | 2,0,CIRCLE | 1,2,TRIANGLE | 0,1,DIAMOND",0.001373,2.702424,3,3,136,127,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1010004__Bstart,,B,B,victory,9,"1,2,SQUARE | 2,1,SQUARE | 1,1,CIRCLE | 2,2,CIRCLE",0.003232,5.372264,4,5,135,201,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2020003__Astart,,A,B,victory,10,"2,1,DIAMOND | 1,0,CIRCLE | 1,2,DIAMOND | 0,0,SQUARE",0.003698,4.597138,5,5,162,151,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2020004__Bstart,,B,B,victory,11,"1,1,SQUARE | 2,2,SQUARE | 3,0,TRIANGLE | 2,1,CIRCLE",0.004540,5.299865,5,6,129,188,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030003__Astart,,A,B,victory,6,"2,2,TRIANGLE | 3,0,SQUARE | 1,1,CIRCLE | 3,2,DIAMOND",0.001116,2.704693,3,3,150,122,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030004__Bstart,,B,B,victory,5,"2,2,DIAMOND | 1,1,SQUARE | 1,0,TRIANGLE | 1,2,CIRCLE",0.001240,2.718076,2,3,92,152,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4040003__Astart,,A,B,victory,8,"1,1,TRIANGLE | 0,3,CIRCLE | 2,1,DIAMOND | 1,0,SQUARE",0.002209,3.788457,4,4,166,139,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4040004__Bstart,,B,B,victory,9,"3,1,SQUARE | 1,1,DIAMOND | 2,2,CIRCLE | 1,2,DIAMOND",0.002017,5.179824,4,5,122,190,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5050003__Astart,,A,B,victory,8,"1,1,CIRCLE | 2,3,TRIANGLE | 2,1,CIRCLE | 2,2,TRIANGLE",0.001539,4.038394,4,4,163,134,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5050004__Bstart,,B,B,victory,9,"1,0,DIAMOND | 2,2,CIRCLE | 3,1,TRIANGLE | 1,2,CIRCLE",0.003505,4.775065,4,5,116,183,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6060003__Astart,,A,B,victory,10,"2,1,TRIANGLE | 3,2,SQUARE | 1,2,CIRCLE | 1,1,DIAMOND",0.002499,4.754197,5,5,176,145,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6060004__Bstart,,B,B,victory,7,"0,3,CIRCLE | 2,1,TRIANGLE | 1,1,DIAMOND | 1,2,TRIANGLE",0.001646,4.078730,3,4,109,168,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070003__Astart,,A,B,victory,10,"2,2,TRIANGLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,DIAMOND",0.003146,4.650799,5,5,186,142,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070004__Bstart,,B,B,victory,9,"2,1,CIRCLE | 2,2,DIAMOND | 1,3,CIRCLE | 1,1,SQUARE",0.002061,4.981833,4,5,129,170,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080003__Astart,,A,B,victory,12,"2,2,TRIANGLE | 0,3,SQUARE | 1,2,CIRCLE | 3,0,SQUARE",0.004060,5.151146,6,6,190,150,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080004__Bstart,,B,B,victory,7,"1,1,SQUARE | 1,2,CIRCLE | 2,1,TRIANGLE | 2,2,CIRCLE",0.003373,3.912918,3,4,114,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9090003__Astart,,A,B,victory,6,"1,2,TRIANGLE | 2,3,SQUARE | 2,1,DIAMOND | 0,0,CIRCLE",0.001868,2.739524,3,3,148,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9090004__Bstart,,B,B,no_move,9,"2,2,TRIANGLE | 1,2,SQUARE | 0,0,TRIANGLE | 2,1,SQUARE",0.003498,5.057338,4,5,120,161,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed1120003__Astart,,A,B,victory,8,"2,2,SQUARE | 0,3,CIRCLE | 1,2,SQUARE | 3,1,CIRCLE",0.002904,4.034126,4,4,155,129,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1120004__Bstart,,B,B,victory,7,"2,1,SQUARE | 2,2,CIRCLE | 0,0,DIAMOND | 1,1,TRIANGLE",0.001094,3.982202,3,4,121,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130003__Astart,,A,B,victory,8,"2,2,DIAMOND | 1,2,TRIANGLE | 2,1,SQUARE | 0,0,CIRCLE",0.001975,3.727453,4,4,168,138,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130004__Bstart,,B,B,victory,7,"2,1,CIRCLE | 1,1,DIAMOND | 3,3,TRIANGLE | 1,2,SQUARE",0.001108,4.023734,3,4,121,169,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3140003__Astart,,A,B,no_move,8,"2,1,DIAMOND | 2,0,CIRCLE | 1,1,DIAMOND | 3,3,SQUARE",0.002021,4.746587,4,4,151,141,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed3140004__Bstart,,B,B,victory,9,"1,2,DIAMOND | 2,2,CIRCLE | 1,0,DIAMOND | 2,1,DIAMOND",0.002983,5.014779,4,5,144,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150003__Astart,,A,B,victory,6,"2,1,SQUARE | 1,1,CIRCLE | 2,2,DIAMOND | 3,2,TRIANGLE",0.001622,2.720387,3,3,150,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150004__Bstart,,B,B,victory,7,"2,1,SQUARE | 2,2,TRIANGLE | 1,1,DIAMOND | 1,2,SQUARE",0.001632,4.022454,3,4,122,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160003__Astart,,A,B,victory,8,"1,1,CIRCLE | 2,2,SQUARE | 1,2,CIRCLE | 3,0,TRIANGLE",0.002492,3.983853,4,4,154,141,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160004__Bstart,,B,B,victory,5,"2,2,TRIANGLE | 1,1,CIRCLE | 1,3,DIAMOND | 1,2,SQUARE",0.000716,2.686393,2,3,92,152,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170003__Astart,,A,B,victory,6,"1,2,SQUARE | 3,0,TRIANGLE | 2,1,DIAMOND | 2,3,CIRCLE",0.001770,2.670108,3,3,149,122,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170004__Bstart,,B,B,victory,7,"2,2,CIRCLE | 1,1,CIRCLE | 3,0,DIAMOND | 1,2,SQUARE",0.002034,4.019459,3,4,117,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180003__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,1,SQUARE | 1,2,DIAMOND | 2,0,CIRCLE",0.001675,2.698066,3,3,149,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180004__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 1,2,SQUARE | 2,0,DIAMOND | 2,1,SQUARE",0.001164,4.056443,3,4,110,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190003__Astart,,A,B,victory,8,"1,2,DIAMOND | 2,3,TRIANGLE | 1,1,SQUARE | 0,1,TRIANGLE",0.001501,3.690612,4,4,167,129,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190004__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 1,1,SQUARE | 1,2,CIRCLE | 2,2,DIAMOND",0.003064,5.182079,4,5,134,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200003__Astart,,A,B,victory,10,"2,1,CIRCLE | 1,2,DIAMOND | 1,1,TRIANGLE | 2,2,DIAMOND",0.002566,5.056804,5,5,197,138,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200004__Bstart,,B,B,victory,5,"2,0,TRIANGLE | 2,1,DIAMOND | 1,1,SQUARE | 2,2,SQUARE",0.000809,2.712398,2,3,93,153,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1010005__Astart,,A,B,victory,8,"1,2,DIAMOND | 2,3,CIRCLE | 2,1,SQUARE | 3,1,TRIANGLE",0.001896,3.707950,4,4,164,147,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1010006__Bstart,,B,B,victory,7,"0,2,TRIANGLE | 1,2,CIRCLE | 3,3,DIAMOND | 2,1,SQUARE",0.002111,3.962391,3,4,121,176,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2020005__Astart,,A,B,victory,8,"2,1,CIRCLE | 1,2,TRIANGLE | 2,2,SQUARE | 3,3,CIRCLE",0.001984,3.957331,4,4,171,138,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2020006__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 2,1,DIAMOND | 2,0,SQUARE | 1,2,DIAMOND",0.002571,4.100885,3,4,110,171,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030005__Astart,,A,B,victory,8,"1,2,CIRCLE | 3,1,DIAMOND | 2,1,TRIANGLE | 1,3,DIAMOND",0.002986,4.003028,4,4,174,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030006__Bstart,,B,B,no_move,9,"1,2,TRIANGLE | 1,1,CIRCLE | 3,0,TRIANGLE | 2,1,CIRCLE",0.002260,5.018001,4,5,120,170,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed4040005__Astart,,A,B,victory,10,"2,2,DIAMOND | 1,3,TRIANGLE | 2,1,CIRCLE | 3,2,SQUARE",0.003568,4.670350,5,5,164,144,1,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4040006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,1,TRIANGLE | 1,2,SQUARE | 2,2,CIRCLE",0.002253,5.002819,4,5,136,194,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5050005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,DIAMOND | 2,2,CIRCLE | 3,0,SQUARE",0.003072,5.438396,6,6,159,142,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed5050006__Bstart,,B,B,victory,7,"1,1,SQUARE | 1,2,TRIANGLE | 2,0,DIAMOND | 2,2,SQUARE",0.001588,4.125061,3,4,120,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6060005__Astart,,A,B,victory,10,"2,1,TRIANGLE | 0,2,CIRCLE | 1,1,TRIANGLE | 1,0,SQUARE",0.002444,4.763803,5,5,159,156,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6060006__Bstart,,B,B,victory,7,"2,1,SQUARE | 2,2,DIAMOND | 1,1,SQUARE | 1,2,DIAMOND",0.001599,3.973032,3,4,116,160,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070005__Astart,,A,B,victory,10,"1,1,SQUARE | 2,1,CIRCLE | 2,2,TRIANGLE | 3,3,DIAMOND",0.002434,4.637725,5,5,167,147,1,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070006__Bstart,,B,B,victory,7,"2,1,DIAMOND | 1,2,CIRCLE | 3,1,TRIANGLE | 2,2,SQUARE",0.001349,3.936524,3,4,120,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080005__Astart,,A,B,victory,6,"1,1,CIRCLE | 0,2,DIAMOND | 2,1,SQUARE | 3,1,TRIANGLE",0.001701,2.769910,3,3,149,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080006__Bstart,,B,B,victory,5,"3,1,CIRCLE | 1,2,DIAMOND | 0,2,CIRCLE | 2,2,TRIANGLE",0.001791,2.715457,2,3,94,139,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9090005__Astart,,A,B,victory,8,"1,1,SQUARE | 3,2,CIRCLE | 1,2,DIAMOND | 2,0,TRIANGLE",0.002601,4.010827,4,4,162,149,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9090006__Bstart,,B,B,victory,9,"2,1,DIAMOND | 2,2,CIRCLE | 3,0,TRIANGLE | 1,2,TRIANGLE",0.002605,5.177177,4,5,146,177,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1120005__Astart,,A,B,victory,10,"2,2,CIRCLE | 0,0,DIAMOND | 1,1,SQUARE | 0,3,DIAMOND",0.003457,4.711066,5,5,185,127,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1120006__Bstart,,B,B,victory,9,"0,3,SQUARE | 2,2,CIRCLE | 1,1,TRIANGLE | 1,2,CIRCLE",0.001517,5.056216,4,5,116,184,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130005__Astart,,A,B,victory,8,"1,1,SQUARE | 1,2,DIAMOND | 2,1,SQUARE | 3,3,CIRCLE",0.001997,3.980361,4,4,149,144,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130006__Bstart,,B,B,victory,7,"2,1,TRIANGLE | 1,1,SQUARE | 1,2,TRIANGLE | 2,2,SQUARE",0.001111,3.963733,3,4,111,157,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3140005__Astart,,A,B,victory,10,"2,2,DIAMOND | 1,1,TRIANGLE | 1,2,CIRCLE | 1,3,TRIANGLE",0.002579,5.000339,5,5,192,135,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3140006__Bstart,,B,B,victory,7,"1,1,SQUARE | 2,2,SQUARE | 2,1,TRIANGLE | 1,2,TRIANGLE",0.001643,4.043663,3,4,123,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150005__Astart,,A,B,victory,6,"1,2,CIRCLE | 0,0,TRIANGLE | 2,1,SQUARE | 1,3,DIAMOND",0.002738,2.748032,3,3,148,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150006__Bstart,,B,B,victory,7,"2,2,SQUARE | 1,1,SQUARE | 2,3,DIAMOND | 1,2,CIRCLE",0.001068,3.998709,3,4,122,177,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160005__Astart,,A,B,victory,6,"1,2,SQUARE | 2,1,TRIANGLE | 2,2,SQUARE | 0,1,CIRCLE",0.001598,2.658562,3,3,138,128,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160006__Bstart,,B,B,victory,5,"2,1,TRIANGLE | 1,1,SQUARE | 1,0,TRIANGLE | 1,2,CIRCLE",0.001213,2.718905,2,3,96,141,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170005__Astart,,A,B,victory,8,"2,1,TRIANGLE | 0,3,SQUARE | 2,2,SQUARE | 3,2,CIRCLE",0.002037,3.983599,4,4,168,134,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170006__Bstart,,B,B,victory,7,"1,2,SQUARE | 2,2,CIRCLE | 3,3,TRIANGLE | 2,1,DIAMOND",0.002465,3.998089,3,4,121,170,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180005__Astart,,A,B,victory,8,"1,2,CIRCLE | 2,1,TRIANGLE | 2,2,SQUARE | 0,0,TRIANGLE",0.002223,3.999928,4,4,171,129,0,0,0,0,1,0
