game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (baseline)__vs__Génétique++__seed5050001__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,3,DIAMOND | 2,1,DIAMOND | 3,2,SQUARE",0.001559,1.463699,3,3,148,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5050002__Bstart,,B,B,victory,7,"3,3,DIAMOND | 1,1,SQUARE | 2,2,CIRCLE | 1,2,DIAMOND",0.001637,2.441085,3,4,121,176,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060001__Astart,,A,B,victory,6,"2,1,TRIANGLE | 0,2,CIRCLE | 1,1,DIAMOND | 1,0,CIRCLE",0.001140,1.509977,3,3,152,113,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060002__Bstart,,B,B,victory,5,"1,3,TRIANGLE | 1,1,SQUARE | 2,0,CIRCLE | 1,2,DIAMOND",0.001255,1.972303,2,3,92,152,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7070001__Astart,,A,B,victory,8,"1,1,TRIANGLE | 2,1,SQUARE | 1,2,TRIANGLE | 3,3,SQUARE",0.002032,1.938455,4,4,160,131,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7070002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,1,DIAMOND | 3,3,TRIANGLE | 2,2,CIRCLE",0.003714,3.705487,5,5,150,194,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique++__seed8080001__Astart,,A,B,victory,8,"1,1,DIAMOND | 2,3,SQUARE | 2,1,DIAMOND | 2,2,SQUARE",0.002514,2.026036,4,4,162,130,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8080002__Bstart,,B,B,victory,11,"0,0,SQUARE | 1,2,TRIANGLE | 3,1,TRIANGLE | 2,2,DIAMOND",0.003684,3.492561,5,6,144,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090001__Astart,,A,B,victory,10,"1,1,TRIANGLE | 0,3,TRIANGLE | 1,2,SQUARE | 0,1,SQUARE",0.003052,2.479766,5,5,199,140,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090002__Bstart,,B,B,victory,7,"2,2,CIRCLE | 1,1,CIRCLE | 2,3,DIAMOND | 1,2,TRIANGLE",0.001761,2.503571,3,4,126,172,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1120001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 2,0,CIRCLE | 2,2,DIAMOND | 1,3,SQUARE",0.003379,3.644461,6,6,177,146,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed1120002__Bstart,,B,B,victory,7,"2,3,TRIANGLE | 2,2,DIAMOND | 3,1,SQUARE | 1,2,DIAMOND",0.002236,2.371043,3,4,110,182,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2130001__Astart,,A,B,no_move,8,"1,2,CIRCLE | 0,0,DIAMOND | 2,1,SQUARE | 3,3,DIAMOND",0.001987,2.478785,4,4,164,124,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed2130002__Bstart,,B,A,victory,12,"1,3,DIAMOND | 2,2,SQUARE | 1,0,DIAMOND | 2,1,TRIANGLE",0.002480,3.966560,6,6,150,164,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique++__seed3140001__Astart,,A,B,victory,12,"1,1,CIRCLE | 1,3,DIAMOND | 1,2,CIRCLE | 3,3,SQUARE",0.002707,3.011933,6,6,164,156,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3140002__Bstart,,B,B,victory,13,"3,1,SQUARE | 2,1,DIAMOND | 3,3,CIRCLE | 2,2,DIAMOND",0.004894,3.873143,6,7,125,185,1,1,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150001__Astart,,A,B,victory,8,"2,2,CIRCLE | 3,1,SQUARE | 1,2,SQUARE | 2,3,SQUARE",0.001935,2.006763,4,4,180,133,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150002__Bstart,,B,B,victory,7,"2,1,CIRCLE | 1,2,SQUARE | 3,3,TRIANGLE | 1,1,TRIANGLE",0.002160,2.438459,3,4,120,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5160001__Astart,,A,B,no_move,12,"2,2,TRIANGLE | 3,0,DIAMOND | 1,1,SQUARE | 3,3,SQUARE",0.004492,3.577963,6,6,199,146,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed5160002__Bstart,,B,B,victory,7,"1,2,SQUARE | 2,1,DIAMOND | 1,3,SQUARE | 1,1,DIAMOND",0.002056,2.306625,3,4,118,160,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170001__Astart,,A,B,victory,8,"1,2,TRIANGLE | 0,1,DIAMOND | 2,2,CIRCLE | 3,3,DIAMOND",0.002675,1.943746,4,4,166,128,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170002__Bstart,,B,B,victory,5,"1,0,SQUARE | 1,1,DIAMOND | 2,2,TRIANGLE | 1,2,CIRCLE",0.001267,1.748559,2,3,92,153,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180001__Astart,,A,B,victory,6,"2,2,CIRCLE | 0,3,SQUARE | 1,1,DIAMOND | 2,3,TRIANGLE",0.002109,1.537660,3,3,150,120,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180002__Bstart,,B,B,victory,11,"2,1,TRIANGLE | 2,2,SQUARE | 1,1,DIAMOND | 1,2,TRIANGLE",0.002478,3.302238,5,6,143,183,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8190001__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,2,TRIANGLE | 1,1,SQUARE | 0,0,TRIANGLE",0.002504,2.382173,5,5,169,134,1,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8190002__Bstart,,B,B,victory,9,"2,2,SQUARE | 1,2,DIAMOND | 0,0,TRIANGLE | 1,1,SQUARE",0.002617,2.877564,4,5,131,191,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200001__Astart,,A,B,victory,6,"1,2,CIRCLE | 2,1,SQUARE | 2,2,DIAMOND | 1,1,TRIANGLE",0.002112,1.517488,3,3,151,126,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200002__Bstart,,B,B,victory,7,"2,0,CIRCLE | 2,2,SQUARE | 1,2,CIRCLE | 1,1,SQUARE",0.002221,2.443856,3,4,113,158,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010003__Astart,,A,B,victory,6,"1,1,TRIANGLE | 1,0,DIAMOND | 2,1,DIAMOND | 2,0,TRIANGLE",0.001707,1.567476,3,3,152,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010004__Bstart,,B,A,no_move,12,"3,2,DIAMOND | 1,2,CIRCLE | 0,3,DIAMOND | 2,1,CIRCLE",0.004426,3.699578,6,6,135,170,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed2020003__Astart,,A,B,victory,8,"2,1,DIAMOND | 0,0,SQUARE | 1,2,TRIANGLE | 1,1,SQUARE",0.002552,2.050301,4,4,170,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2020004__Bstart,,B,B,victory,7,"3,2,SQUARE | 2,1,DIAMOND | 1,3,TRIANGLE | 2,2,TRIANGLE",0.002196,2.252486,3,4,121,168,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3030003__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,1,TRIANGLE | 2,1,DIAMOND | 1,3,DIAMOND",0.001952,1.510639,3,3,150,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3030004__Bstart,,B,B,victory,7,"1,0,SQUARE | 1,1,TRIANGLE | 3,2,CIRCLE | 2,2,SQUARE",0.001666,2.120953,3,4,120,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4040003__Astart,,A,B,victory,6,"1,1,TRIANGLE | 2,1,CIRCLE | 2,2,TRIANGLE | 0,2,CIRCLE",0.001606,1.432833,3,3,140,114,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4040004__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,1,TRIANGLE | 0,1,DIAMOND | 2,2,DIAMOND",0.001930,2.797878,4,5,128,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5050003__Astart,,A,B,victory,8,"1,1,CIRCLE | 1,3,DIAMOND | 2,1,DIAMOND | 0,0,TRIANGLE",0.001452,1.779216,4,4,164,136,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5050004__Bstart,,B,B,victory,9,"3,0,DIAMOND | 2,2,DIAMOND | 3,2,SQUARE | 2,1,SQUARE",0.001425,2.773303,4,5,151,186,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060003__Astart,,A,B,victory,6,"2,1,TRIANGLE | 0,3,CIRCLE | 1,2,SQUARE | 3,2,CIRCLE",0.001891,1.386565,3,3,152,111,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060004__Bstart,,B,B,no_move,13,"3,3,TRIANGLE | 1,1,SQUARE | 2,2,TRIANGLE | 2,1,CIRCLE",0.004517,4.092680,6,7,141,163,1,1,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed7070003__Astart,,A,B,victory,8,"2,2,TRIANGLE | 0,1,SQUARE | 1,1,DIAMOND | 3,0,CIRCLE",0.002023,1.890136,4,4,162,137,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7070004__Bstart,,B,B,victory,7,"0,3,SQUARE | 2,1,CIRCLE | 1,1,SQUARE | 2,2,TRIANGLE",0.003101,2.342138,3,4,126,157,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8080003__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,3,DIAMOND | 1,2,CIRCLE | 3,2,SQUARE",0.001659,1.434458,3,3,150,126,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8080004__Bstart,,B,B,victory,5,"2,2,TRIANGLE | 1,1,DIAMOND | 0,2,SQUARE | 1,2,CIRCLE",0.000735,1.787188,2,3,93,151,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090003__Astart,,A,B,victory,8,"1,2,TRIANGLE | 3,2,SQUARE | 1,1,SQUARE | 3,3,SQUARE",0.001899,1.930885,4,4,172,132,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090004__Bstart,,B,A,victory,10,"2,2,TRIANGLE | 2,1,CIRCLE | 2,3,TRIANGLE | 1,1,CIRCLE",0.002537,3.451751,5,5,139,167,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique++__seed1120003__Astart,,A,A,victory,7,"2,2,SQUARE | 3,3,TRIANGLE | 1,2,CIRCLE | 2,1,TRIANGLE",0.002004,1.940087,4,3,176,115,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique++__seed1120004__Bstart,,B,B,victory,5,"0,1,SQUARE | 2,1,TRIANGLE | 2,0,CIRCLE | 1,1,DIAMOND",0.000766,1.680932,2,3,93,153,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2130003__Astart,,A,B,victory,8,"2,2,DIAMOND | 0,0,CIRCLE | 2,1,CIRCLE | 1,3,SQUARE",0.001734,1.955489,4,4,170,134,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2130004__Bstart,,B,B,victory,9,"0,3,CIRCLE | 1,1,CIRCLE | 0,1,TRIANGLE | 1,2,SQUARE",0.001547,2.829680,4,5,134,201,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3140003__Astart,,A,B,victory,4,"2,1,DIAMOND | 0,1,SQUARE | 1,1,CIRCLE | 3,1,TRIANGLE",0.001369,0.853775,2,2,114,95,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3140004__Bstart,,B,B,victory,9,"0,3,DIAMOND | 1,2,CIRCLE | 2,1,SQUARE | 1,1,CIRCLE",0.002011,2.676769,4,5,122,183,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150003__Astart,,A,B,victory,6,"2,1,SQUARE | 2,3,TRIANGLE | 1,1,SQUARE | 0,2,CIRCLE",0.001582,1.346360,3,3,137,128,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150004__Bstart,,B,B,victory,7,"1,2,SQUARE | 2,1,TRIANGLE | 1,1,CIRCLE | 2,2,TRIANGLE",0.001105,2.171635,3,4,114,176,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5160003__Astart,,A,B,victory,6,"1,1,CIRCLE | 1,2,TRIANGLE | 2,2,SQUARE | 2,3,TRIANGLE",0.002128,1.447155,3,3,154,115,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5160004__Bstart,,B,B,victory,7,"1,3,SQUARE | 2,2,SQUARE | 2,3,TRIANGLE | 1,1,TRIANGLE",0.001583,2.388134,3,4,122,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170003__Astart,,A,B,victory,8,"1,2,SQUARE | 2,1,DIAMOND | 2,2,SQUARE | 3,1,DIAMOND",0.002457,1.803437,4,4,162,135,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170004__Bstart,,B,B,victory,7,"2,1,CIRCLE | 1,1,TRIANGLE | 2,2,TRIANGLE | 1,2,CIRCLE",0.001089,2.349619,3,4,123,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180003__Astart,,A,B,victory,6,"2,2,TRIANGLE | 0,3,DIAMOND | 1,1,SQUARE | 3,1,DIAMOND",0.001574,1.433893,3,3,150,111,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180004__Bstart,,B,B,victory,11,"1,2,TRIANGLE | 2,1,TRIANGLE | 0,2,TRIANGLE | 1,1,DIAMOND",0.003150,3.147443,5,6,153,192,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8190003__Astart,,A,B,victory,8,"1,2,DIAMOND | 2,3,DIAMOND | 2,1,TRIANGLE | 3,2,SQUARE",0.003030,1.910981,4,4,171,146,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8190004__Bstart,,B,B,victory,11,"2,2,CIRCLE | 1,2,TRIANGLE | 3,1,DIAMOND | 1,1,TRIANGLE",0.003566,3.221265,5,6,125,199,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200003__Astart,,A,B,victory,6,"2,1,CIRCLE | 0,2,SQUARE | 2,2,DIAMOND | 3,3,TRIANGLE",0.002211,1.412052,3,3,149,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200004__Bstart,,B,B,victory,5,"0,2,TRIANGLE | 2,2,SQUARE | 2,3,DIAMOND | 1,2,CIRCLE",0.001446,1.853087,2,3,93,153,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010005__Astart,,A,B,victory,10,"1,2,DIAMOND | 1,3,CIRCLE | 2,2,TRIANGLE | 1,1,CIRCLE",0.001882,2.416534,5,5,179,139,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1010006__Bstart,,B,B,victory,9,"0,3,DIAMOND | 2,2,TRIANGLE | 3,2,SQUARE | 1,1,DIAMOND",0.002679,2.923462,4,5,133,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2020005__Astart,,A,B,no_move,10,"2,1,CIRCLE | 0,0,DIAMOND | 1,2,CIRCLE | 3,3,DIAMOND",0.003001,2.830906,5,5,153,123,1,1,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed2020006__Bstart,,B,B,victory,7,"2,0,CIRCLE | 1,1,TRIANGLE | 1,2,CIRCLE | 2,1,TRIANGLE",0.001700,2.147420,3,4,110,161,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3030005__Astart,,A,B,victory,8,"1,2,CIRCLE | 3,1,SQUARE | 1,1,CIRCLE | 3,0,DIAMOND",0.002557,1.832727,4,4,154,140,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3030006__Bstart,,B,B,victory,7,"3,2,CIRCLE | 1,1,DIAMOND | 0,0,SQUARE | 1,2,DIAMOND",0.001580,2.256491,3,4,109,182,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4040005__Astart,,A,B,victory,8,"2,2,DIAMOND | 1,1,CIRCLE | 1,2,TRIANGLE | 3,0,TRIANGLE",0.002979,1.896612,4,4,164,149,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4040006__Bstart,,B,B,victory,7,"3,0,TRIANGLE | 1,1,TRIANGLE | 3,1,DIAMOND | 1,2,SQUARE",0.001616,2.470523,3,4,126,166,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5050005__Astart,,A,B,victory,6,"1,1,CIRCLE | 3,2,TRIANGLE | 1,2,CIRCLE | 3,0,TRIANGLE",0.001588,1.357877,3,3,140,116,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5050006__Bstart,,B,B,victory,5,"2,0,SQUARE | 2,1,DIAMOND | 0,2,SQUARE | 2,2,TRIANGLE",0.001544,1.669587,2,3,94,141,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060005__Astart,,A,B,victory,6,"2,1,TRIANGLE | 3,2,DIAMOND | 2,2,SQUARE | 1,1,CIRCLE",0.001866,1.409979,3,3,149,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6060006__Bstart,,B,B,victory,9,"3,0,TRIANGLE | 2,2,SQUARE | 1,1,TRIANGLE | 1,2,DIAMOND",0.002088,2.606974,4,5,139,169,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7070005__Astart,,A,B,victory,6,"1,1,SQUARE | 3,0,DIAMOND | 2,2,DIAMOND | 1,3,DIAMOND",0.001582,1.381878,3,3,150,115,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7070006__Bstart,,B,B,victory,7,"1,2,SQUARE | 1,1,TRIANGLE | 2,1,DIAMOND | 2,2,TRIANGLE",0.001672,2.202981,3,4,110,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8080005__Astart,,A,B,victory,10,"1,1,CIRCLE | 3,2,SQUARE | 2,1,CIRCLE | 3,1,SQUARE",0.002393,2.180305,5,5,160,133,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8080006__Bstart,,B,B,victory,9,"2,2,SQUARE | 2,1,TRIANGLE | 3,3,DIAMOND | 1,1,DIAMOND",0.002037,2.749054,4,5,134,176,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090005__Astart,,A,B,victory,8,"1,1,SQUARE | 0,3,DIAMOND | 2,1,DIAMOND | 2,2,CIRCLE",0.003148,1.886050,4,4,173,135,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9090006__Bstart,,B,B,victory,9,"1,2,SQUARE | 2,2,TRIANGLE | 3,0,DIAMOND | 2,1,SQUARE",0.002507,2.694588,4,5,141,188,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1120005__Astart,,A,B,victory,12,"2,2,CIRCLE | 3,1,DIAMOND | 1,2,CIRCLE | 0,1,DIAMOND",0.004844,2.915236,6,6,169,135,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed1120006__Bstart,,B,A,victory,6,"1,2,SQUARE | 2,2,CIRCLE | 1,3,TRIANGLE | 2,1,SQUARE",0.001660,2.259318,3,3,125,151,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique++__seed2130005__Astart,,A,B,victory,4,"1,1,SQUARE | 3,1,DIAMOND | 2,1,TRIANGLE | 0,1,CIRCLE",0.001281,0.811849,2,2,114,95,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed2130006__Bstart,,B,B,victory,7,"1,2,DIAMOND | 2,1,CIRCLE | 1,1,SQUARE | 2,2,SQUARE",0.001642,2.382083,3,4,123,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3140005__Astart,,A,B,victory,10,"2,2,DIAMOND | 0,0,CIRCLE | 1,2,DIAMOND | 3,1,SQUARE",0.003839,2.268137,5,5,155,143,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed3140006__Bstart,,B,B,victory,7,"0,3,CIRCLE | 1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE",0.001705,2.321287,3,4,119,175,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150005__Astart,,A,B,victory,6,"1,2,CIRCLE | 3,3,TRIANGLE | 2,1,CIRCLE | 0,2,SQUARE",0.001598,1.330047,3,3,136,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed4150006__Bstart,,B,B,victory,7,"0,2,DIAMOND | 1,2,CIRCLE | 2,3,SQUARE | 1,1,TRIANGLE",0.002109,2.172138,3,4,121,173,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5160005__Astart,,A,B,victory,12,"1,2,SQUARE | 2,3,TRIANGLE | 2,1,DIAMOND | 1,0,CIRCLE",0.004106,2.678920,6,6,171,144,1,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed5160006__Bstart,,B,B,victory,7,"1,2,CIRCLE | 2,2,DIAMOND | 3,1,SQUARE | 2,1,CIRCLE",0.002679,2.564638,3,4,121,174,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170005__Astart,,A,B,victory,8,"2,1,TRIANGLE | 0,2,DIAMOND | 1,1,DIAMOND | 1,3,SQUARE",0.001566,1.990675,4,4,168,142,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed6170006__Bstart,,B,B,victory,9,"1,3,DIAMOND | 2,2,TRIANGLE | 3,1,DIAMOND | 2,1,CIRCLE",0.002279,2.669200,4,5,129,170,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180005__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,SQUARE | 1,1,CIRCLE | 2,0,SQUARE",0.003489,2.341126,5,5,161,140,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed7180006__Bstart,,B,B,victory,9,"3,3,CIRCLE | 2,1,SQUARE | 1,2,TRIANGLE | 1,1,SQUARE",0.002755,2.744314,4,5,117,179,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed8190005__Astart,,A,B,no_move,12,"1,2,SQUARE | 0,3,DIAMOND | 1,1,TRIANGLE | 3,0,DIAMOND",0.003369,3.615712,6,6,187,129,1,0,0,0,0,0
Génétique (baseline)__vs__Génétique++__seed8190006__Bstart,,B,B,victory,5,"1,0,SQUARE | 1,2,CIRCLE | 0,1,DIAMOND | 1,1,TRIANGLE",0.001394,1.734344,2,3,94,153,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200005__Astart,,A,B,victory,6,"1,2,TRIANGLE | 3,0,SQUARE | 2,1,DIAMOND | 0,2,DIAMOND",0.002054,1.407753,3,3,149,122,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique++__seed9200006__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 2,2,TRIANGLE | 0,3,DIAMOND | 2,1,DIAMOND",0.001488,2.752520,4,5,133,187,0,0,0,0,1,0
Génétique+__vs__Génétique++__seed1010001__Astart,,A,A,victory,9,"1,2,DIAMOND | 3,3,CIRCLE | 3,1,TRIANGLE | 0,1,CIRCLE",4.757512,2.664761,5,4,189,120,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed1010002__Bstart,,B,A,no_move,10,"1,0,CIRCLE | 1,1,SQUARE | 2,2,CIRCLE | 0,3,DIAMOND",4.562647,3.321343,5,5,134,153,1,1,0,0,0,0
Génétique+__vs__Génétique++__seed2020001__Astart,,A,B,victory,12,"2,2,CIRCLE | 3,3,DIAMOND | 2,1,TRIANGLE | 1,1,DIAMOND",5.467906,3.169231,6,6,187,132,0,0,0,0,1,0
Génétique+__vs__Génétique++__seed2020002__Bstart,,B,A,no_move,8,"0,0,CIRCLE | 1,2,DIAMOND | 2,3,SQUARE | 2,1,TRIANGLE",4.265520,2.756340,4,4,129,164,0,0,0,0,0,0
Génétique+__vs__Génétique++__seed3030001__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,3,DIAMOND | 0,0,TRIANGLE | 0,3,SQUARE",5.312397,3.207109,6,5,182,135,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed3030002__Bstart,,B,A,victory,12,"2,0,CIRCLE | 1,1,DIAMOND | 0,2,SQUARE | 0,3,TRIANGLE",5.328938,3.964421,6,6,142,177,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed4040001__Astart,,A,A,victory,11,"1,1,SQUARE | 0,2,TRIANGLE | 3,3,CIRCLE | 1,2,DIAMOND",5.687827,3.268400,6,5,179,138,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed4040002__Bstart,,B,A,victory,10,"1,2,SQUARE | 2,1,TRIANGLE | 2,2,DIAMOND | 0,0,CIRCLE",4.667527,3.731628,5,5,150,182,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed5050001__Astart,,A,A,no_move,9,"1,2,SQUARE | 0,3,CIRCLE | 2,1,SQUARE | 2,3,DIAMOND",4.907978,2.558909,5,4,163,132,0,0,0,0,0,0
Génétique+__vs__Génétique++__seed5050002__Bstart,,B,A,victory,10,"3,3,DIAMOND | 1,2,TRIANGLE | 2,0,DIAMOND | 1,1,TRIANGLE",4.497549,3.358438,5,5,137,161,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed6060001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 0,3,TRIANGLE | 2,1,CIRCLE | 1,2,DIAMOND",5.766137,3.508948,6,6,158,141,1,1,0,0,0,0
Génétique+__vs__Génétique++__seed6060002__Bstart,,B,A,no_move,10,"1,3,TRIANGLE | 1,1,DIAMOND | 2,2,CIRCLE | 0,3,SQUARE",4.583475,3.482016,5,5,130,173,0,0,0,0,0,0
Génétique+__vs__Génétique++__seed7070001__Astart,,A,A,victory,9,"1,1,SQUARE | 2,2,CIRCLE | 1,2,SQUARE | 3,3,SQUARE",4.785388,3.071423,5,4,186,140,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed7070002__Bstart,,B,A,no_move,12,"1,1,CIRCLE | 3,1,SQUARE | 2,2,DIAMOND | 1,2,SQUARE",5.423228,3.651884,6,6,128,190,0,0,0,0,0,0
Génétique+__vs__Génétique++__seed8080001__Astart,,A,A,victory,9,"2,1,CIRCLE | 1,2,SQUARE | 3,3,TRIANGLE | 0,3,SQUARE",4.643036,2.716923,5,4,191,116,0,0,0,0,0,1
Génétique+__vs__Génétique++__seed8080002__Bstart,,B,B,no_move,9,"0,0,SQUARE | 1,2,TRIANGLE | 1,3,DIAMOND | 2,1,CIRCLE",4.473617,3.519017,4,5,128,170,0,0,0,0,0,0
Génétique+__vs__Génétique++__seed9090001__Astart,,A,B,victory,12,"1,1,SQUARE | 2,1,CIRCLE | 3,2,DIAMOND | 0,3,TRIANGLE",6.093615,2.983804,6,6,186,159,0,0,0,0,1,0
Génétique+__vs__Génétique++__seed9090002__Bstart,,B,A,victory,12,"2,2,CIRCLE | 3,0,SQUARE | 1,3,SQUARE | 1,1,DIAMOND",5.190905,3.823271,6,6,147,179,0,0,0,0,0,1
