game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,0,A,1,1,CIRCLE,1.283195,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,1,B,1,2,SQUARE,1.300466,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,2,A,3,0,SQUARE,1.259970,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,3,B,3,3,CIRCLE,1.300600,39,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,4,A,2,1,DIAMOND,1.254473,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,5,B,0,2,TRIANGLE,0.910439,29,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,6,A,1,0,CIRCLE,0.168715,23,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,7,B,2,2,SQUARE,0.051381,22,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,8,A,0,0,SQUARE,0.021293,14,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,9,B,2,0,TRIANGLE,0.018040,13,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,10,A,2,3,DIAMOND,0.001766,6,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,11,B,3,2,CIRCLE,0.000339,2,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,0,B,1,1,CIRCLE,1.300710,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,1,A,2,2,CIRCLE,1.269154,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,2,B,1,2,SQUARE,1.300565,49,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,3,A,0,3,TRIANGLE,1.265384,41,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,4,B,3,0,DIAMOND,1.300812,36,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,5,A,3,1,SQUARE,0.620410,27,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,6,B,2,1,TRIANGLE,0.670940,23,0,0,1,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,7,A,2,0,CIRCLE,0.000315,20,1,1,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,0,A,1,1,CIRCLE,1.282756,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,1,B,1,2,SQUARE,1.300510,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,2,A,3,0,SQUARE,1.261593,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,3,B,2,2,CIRCLE,1.300648,39,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,4,A,0,0,TRIANGLE,1.259103,37,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,5,B,2,1,TRIANGLE,1.300589,28,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,6,A,0,1,DIAMOND,0.140216,26,0,0,0,0,ok
