game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.989411,3.581266,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.155262,4.573027,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.974642,4.711788,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.861339,4.902514,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.979467,3.580746,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.857753,4.295716,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.993412,3.582211,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,,B,B,victory,9,"1,2,CIRCLE | 2,1,CIRCLE | 0,0,SQUARE | 0,3,TRIANGLE",2.793079,3.554007,4,5,138,188,0,0,0,0,1,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.984978,3.579334,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.859557,4.899563,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.977937,3.578372,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060002__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.858027,4.295557,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.482357,3.929032,5,4,190,139,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070002__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.850285,4.296046,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.984991,3.578325,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.856584,4.296085,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.968937,3.579039,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.031168,4.296990,4,4,147,163,0,0,0,0,0,1
