game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.989411,3.581266,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.976056,3.577765,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.105417,4.552986,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.971615,3.577239,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130002__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.068174,4.541958,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.967618,3.577506,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.855239,4.894367,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.973595,3.577184,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150002__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.855189,4.295635,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.982260,3.577258,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.091381,4.541193,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170001__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.964716,4.711553,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.269057,4.570890,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.951950,3.577912,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.851064,4.295390,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.989670,3.576051,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190002__Bstart,,B,B,victory,11,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,SQUARE",2.877488,4.042226,5,6,148,190,0,0,0,0,1,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200001__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.980323,4.713499,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200002__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.887387,4.296368,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.993606,3.582805,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010004__Bstart,,B,B,victory,9,"1,2,CIRCLE | 2,1,CIRCLE | 0,0,SQUARE | 3,2,SQUARE",2.828218,3.958949,4,5,138,188,0,0,0,0,1,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.973220,3.583586,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.848520,4.891512,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.958451,3.555405,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.835731,4.883849,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.964253,3.560806,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833076,4.295596,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.416833,3.908092,5,4,190,139,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.845105,4.889733,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960557,3.552557,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.830371,4.295791,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.959665,3.556747,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.838240,4.295457,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.986871,3.595067,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.071979,4.529575,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.955379,3.573281,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.844153,4.295821,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.961193,3.555926,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.068515,4.520376,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.961179,3.566952,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.852796,4.295583,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960964,3.558159,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.832649,4.295339,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.967207,3.570574,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.830340,4.295758,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963325,3.554757,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833692,4.295616,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170003__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.943526,5.518763,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.037398,4.531996,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.964838,3.565327,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.843590,4.296034,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.968213,3.565484,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190004__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.075968,4.521016,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200003__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.970541,3.577556,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200004__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.831990,4.295896,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.964544,3.574966,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.064944,4.536635,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020005__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.941687,5.519384,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.840787,4.295690,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.986069,3.578886,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.900503,4.296261,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.999558,3.584283,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.845159,4.295612,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",4.046535,3.577782,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050006__Bstart,,B,B,victory,11,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,SQUARE",2.970354,4.041557,5,6,148,190,0,0,0,0,1,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060005__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.958051,5.524704,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.844274,4.887535,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070005__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.960463,4.711046,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.077801,4.526767,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.984225,3.583012,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.865168,4.900701,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.974902,3.580324,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.861112,4.904036,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.983060,3.598253,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.872729,4.295878,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.998281,3.579768,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.862454,4.901323,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140005__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.984978,4.715811,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.859967,4.296384,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.987505,3.971719,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.888111,4.296656,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.987320,3.582136,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.884763,4.911067,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",4.000316,3.587426,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.136455,4.550166,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.956154,3.582152,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.117231,4.537987,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190005__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.975151,5.524124,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.866516,4.295653,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.984542,3.581657,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.874447,4.904333,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010007__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.990279,4.712855,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010008__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.122707,4.542204,4,4,141,172,0,0,0,0,0,1
